JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.149967430267379E+08,  4.560260917507313E+08, -2.536861672375792E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.144084171243423E+08,  4.568535907911382E+08, -2.528885867564893E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.138176963168993E+08,  4.576791553529432E+08, -2.520842889006680E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.132245705944778E+08,  4.585027870863234E+08, -2.512732853435239E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.126290298767151E+08,  4.593244877194766E+08, -2.504555882281339E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.120310640047905E+08,  4.601442590627701E+08, -2.496312101425281E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.114306627488904E+08,  4.609621030090649E+08, -2.488001641709024E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.108278158031920E+08,  4.617780215360349E+08, -2.479624638757610E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.102225127877690E+08,  4.625920167087004E+08, -2.471181233258897E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.096147432494597E+08,  4.634040906801404E+08, -2.462671571080557E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.090044966608571E+08,  4.642142456925776E+08, -2.454095803279376E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.083917624202387E+08,  4.650224840793487E+08, -2.445454086215693E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.077765298519413E+08,  4.658288082665741E+08, -2.436746581684539E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.071587882058268E+08,  4.666332207744459E+08, -2.427973456969610E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.065385266566344E+08,  4.674357242192175E+08, -2.419134884920928E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.059157343045595E+08,  4.682363213158614E+08, -2.410231044142932E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.052904001762315E+08,  4.690350148798361E+08, -2.401262119166484E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.046625132244238E+08,  4.698318078278360E+08, -2.392228300488782E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.040320623277546E+08,  4.706267031802188E+08, -2.383129784687293E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  6.033990362921267E+08,  4.714197040639926E+08, -2.373966774673912E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  6.027634238492739E+08,  4.722108137097879E+08, -2.364739479487818E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  6.021252136577213E+08,  4.730000354608878E+08, -2.355448114804667E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  6.014843943037204E+08,  4.737873727681789E+08, -2.346092902770138E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  6.008409542971677E+08,  4.745728291984138E+08, -2.336674072144914E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  6.001948820778278E+08,  4.753564084318227E+08, -2.327191858615279E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.995461660119388E+08,  4.761381142668204E+08, -2.317646504799905E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.988947943949087E+08,  4.769179506215286E+08, -2.308038260504720E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.982407554514488E+08,  4.776959215343171E+08, -2.298367382788479E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.975840373343728E+08,  4.784720311660566E+08, -2.288634136006811E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.969246281252326E+08,  4.792462838029822E+08, -2.278838791987813E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.962625158353962E+08,  4.800186838588798E+08, -2.268981630212492E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.955976884060451E+08,  4.807892358770943E+08, -2.259062937921637E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.949301337084235E+08,  4.815579445332147E+08, -2.249083010254389E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.942598395455372E+08,  4.823248146378236E+08, -2.239042150474325E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.935867936534920E+08,  4.830898511380697E+08, -2.228940670140758E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.929109837008466E+08,  4.838530591188954E+08, -2.218778889152300E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.922323972890486E+08,  4.846144438063810E+08, -2.208557135914266E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.915510219550682E+08,  4.853740105708256E+08, -2.198275747628394E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.908668451674660E+08,  4.861317649243804E+08, -2.187935070039809E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.901798543326411E+08,  4.868877125325375E+08, -2.177535458174440E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.894900367920769E+08,  4.876418592063409E+08, -2.167077276003954E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.887973798246456E+08,  4.883942109165893E+08, -2.156560896981397E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.881018706488843E+08,  4.891447737854765E+08, -2.145986704033279E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.874034964225370E+08,  4.898935540950744E+08, -2.135355089776087E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.867022442450069E+08,  4.906405582879089E+08, -2.124666456719366E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.859981011568682E+08,  4.913857929684116E+08, -2.113921217332971E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.852910541400313E+08,  4.921292649071971E+08, -2.103119794202682E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.845810901202477E+08,  4.928709810444039E+08, -2.092262620286977E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.838681959692414E+08,  4.936109484917797E+08, -2.081350139130405E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.831523585054519E+08,  4.943491745353675E+08, -2.070382805014819E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.824335644954792E+08,  4.950856666388505E+08, -2.059361083154351E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.817118006568824E+08,  4.958204324460328E+08, -2.048285449942952E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.809870536595843E+08,  4.965534797824672E+08, -2.037156393119881E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.802593101251911E+08,  4.972848166582742E+08, -2.025974411850455E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.795285566294398E+08,  4.980144512724750E+08, -2.014740016977581E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.787947797067137E+08,  4.987423920157629E+08, -2.003453731349033E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.780579658437197E+08,  4.994686474725245E+08, -1.992116089615884E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.773181014949664E+08,  5.001932264277225E+08, -1.980727639126158E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.765751730737969E+08,  5.009161378634834E+08, -1.969288939544758E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.758291669623144E+08,  5.016373909716628E+08, -1.957800563486239E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.750800695080379E+08,  5.023569951457995E+08, -1.946263096402422E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.743278670281333E+08,  5.030749599918882E+08, -1.934677136933079E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.735725458118855E+08,  5.037912953293570E+08, -1.923043297111797E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.728140921214566E+08,  5.045060111943874E+08, -1.911362202521876E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.720524921950251E+08,  5.052191178455386E+08, -1.899634492561349E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.712877322511151E+08,  5.059306257669791E+08, -1.887860820736679E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.705197984913182E+08,  5.066405456706697E+08, -1.876041854886666E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.697486771019380E+08,  5.073488885000820E+08, -1.864178277374038E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.689743542568057E+08,  5.080556654343522E+08, -1.852270785324201E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.681968161208017E+08,  5.087608878908856E+08, -1.840320090884593E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.674160488514130E+08,  5.094645675279320E+08, -1.828326921415403E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.666320385995717E+08,  5.101667162496650E+08, -1.816292019664860E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.658447715156020E+08,  5.108673462110410E+08, -1.804216144117302E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.650542337557873E+08,  5.115664698192216E+08, -1.792100069344339E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.642604114757745E+08,  5.122640997395717E+08, -1.779944585924029E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.634632908531915E+08,  5.129602488960053E+08, -1.767750501298138E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.626628580690243E+08,  5.136549304733015E+08, -1.755518639364237E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.618590993331749E+08,  5.143481579259071E+08, -1.743249841286513E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.610520008683218E+08,  5.150399449747565E+08, -1.730944965273264E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.602415489264141E+08,  5.157303056171988E+08, -1.718604887136966E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.594277297910348E+08,  5.164192541277959E+08, -1.706230500515059E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.586105297802318E+08,  5.171068050626184E+08, -1.693822717093089E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.577899352542254E+08,  5.177929732645156E+08, -1.681382466941264E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.569659326214792E+08,  5.184777738654002E+08, -1.668910698814631E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.561385083421795E+08,  5.191612222886177E+08, -1.656408380390060E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.553076489326612E+08,  5.198433342537235E+08, -1.643876498520598E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.544733409716327E+08,  5.205241257812203E+08, -1.631316059531182E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.536355711057441E+08,  5.212036131954762E+08, -1.618728089502454E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.527943260540180E+08,  5.218818131287636E+08, -1.606113634525391E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.519495926146390E+08,  5.225587425279654E+08, -1.593473760994214E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.511013576752012E+08,  5.232344186576583E+08, -1.580809555963406E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.502496082193443E+08,  5.239088590993790E+08, -1.568122127439058E+07,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.493943313278799E+08,  5.245820817639996E+08, -1.555412604571995E+07,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.485355141947105E+08,  5.252541048822882E+08, -1.542682138055295E+07,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.476731441160443E+08,  5.259249470198287E+08, -1.529931900279346E+07,
