JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.382588270272909E+08,  9.752103707460375E+08, -4.867857708785260E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.375386367904510E+08,  9.758791314057103E+08, -4.865385337264103E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.368187074760512E+08,  9.765476978077221E+08, -4.862933737593287E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.360990374507662E+08,  9.772160652018068E+08, -4.860502778482056E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.353796250767728E+08,  9.778842288927226E+08, -4.858092329362857E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.346604687123243E+08,  9.785521842394794E+08, -4.855702260396808E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.339415667108040E+08,  9.792199266544366E+08, -4.853332442418355E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.332229174212174E+08,  9.798874516034386E+08, -4.850982746960622E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.325045191906675E+08,  9.805547546048896E+08, -4.848653046330178E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.317863703638746E+08,  9.812218312286155E+08, -4.846343213564092E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.310684692835023E+08,  9.818886770952268E+08, -4.844053122429514E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.303508142904835E+08,  9.825552878754802E+08, -4.841782647423315E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.296334037243441E+08,  9.832216592896409E+08, -4.839531663771755E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.289162359235293E+08,  9.838877871068425E+08, -4.837300047430110E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.281993092257267E+08,  9.845536671444483E+08, -4.835087675082260E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.274826219681914E+08,  9.852192952674102E+08, -4.832894424140453E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.267661724880699E+08,  9.858846673876287E+08, -4.830720172744817E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.260499591227241E+08,  9.865497794633114E+08, -4.828564799763119E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.253339802100548E+08,  9.872146274983313E+08, -4.826428184790331E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.246182340888259E+08,  9.878792075415852E+08, -4.824310208148372E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.239027190989872E+08,  9.885435156863499E+08, -4.822210750885719E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.231874335819982E+08,  9.892075480696409E+08, -4.820129694777077E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.224723758811507E+08,  9.898713008715675E+08, -4.818066922323042E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.217575443418931E+08,  9.905347703146899E+08, -4.816022316749817E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.210429373117049E+08,  9.911979526641086E+08, -4.813995762031704E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.203285531398885E+08,  9.918608442268884E+08, -4.811987142853576E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.196143901786059E+08,  9.925234413504665E+08, -4.809996344594300E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.189004467830406E+08,  9.931857404225097E+08, -4.808023253353912E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.181867213115621E+08,  9.938477378703995E+08, -4.806067755950487E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.174732121258873E+08,  9.945094301607203E+08, -4.804129739917046E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.167599175912453E+08,  9.951708137987428E+08, -4.802209093498307E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.160468360765400E+08,  9.958318853279078E+08, -4.800305705647665E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.153339659545137E+08,  9.964926413293099E+08, -4.798419466023970E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.146213056019115E+08,  9.971530784211779E+08, -4.796550264988536E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.139088533996463E+08,  9.978131932583537E+08, -4.794697993601966E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.131966077329634E+08,  9.984729825317719E+08, -4.792862543621171E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.124845669916093E+08,  9.991324429679339E+08, -4.791043807496274E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.117727295699985E+08,  9.997915713283832E+08, -4.789241678367698E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.110610938673849E+08,  1.000450364409177E+09, -4.787456050063103E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.103496582880352E+08,  1.001108819040355E+09, -4.785686817094570E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.096384212414054E+08,  1.001766932085409E+09, -4.783933874655658E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.089273811423212E+08,  1.002424700440747E+09, -4.782197118618637E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.082165364116879E+08,  1.003082121035247E+09, -4.780476445552379E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.075058854756969E+08,  1.003739190830325E+09, -4.778771752701831E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.067954267656945E+08,  1.004395906819076E+09, -4.777082937965292E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.060851587190579E+08,  1.005052266025624E+09, -4.775409899911016E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.053750797793233E+08,  1.005708265504695E+09, -4.773752537774169E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.046651883963248E+08,  1.006363902341208E+09, -4.772110751453775E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.039554830263437E+08,  1.007019173649867E+09, -4.770484441509676E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.032459621322713E+08,  1.007674076574763E+09, -4.768873509159529E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.025366241837802E+08,  1.008328608288998E+09, -4.767277856275839E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.018274676575049E+08,  1.008982765994321E+09, -4.765697385382771E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.011184910372282E+08,  1.009636546920789E+09, -4.764131999652994E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.004096928140649E+08,  1.010289948326465E+09, -4.762581602904123E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  8.997010714866399E+08,  1.010942967497129E+09, -4.761046099594939E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  8.989926255612481E+08,  1.011595601746042E+09, -4.759525394821209E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  8.982843535519872E+08,  1.012247848413716E+09, -4.758019394310921E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  8.975762539808530E+08,  1.012899704867727E+09, -4.756528004419118E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  8.968683253777894E+08,  1.013551168502526E+09, -4.755051132122135E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  8.961605662806851E+08,  1.014202236739259E+09, -4.753588685011321E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  8.954529752349924E+08,  1.014852907025410E+09, -4.752140571256894E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  8.947455507937498E+08,  1.015503176835228E+09, -4.750706699635154E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  8.940382915177933E+08,  1.016153043669410E+09, -4.749286979545754E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  8.933311959753062E+08,  1.016802505054450E+09, -4.747881320972341E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  8.926242627416056E+08,  1.017451558542335E+09, -4.746489634476799E+07,
2440862.500266204, A.D. 1970-Oct-03 00:00:23.0000,  8.919174903989438E+08,  1.018100201710168E+09, -4.745111831193852E+07,
2440863.500266204, A.D. 1970-Oct-04 00:00:23.0000,  8.912108775363388E+08,  1.018748432159753E+09, -4.743747822826451E+07,
2440864.500266204, A.D. 1970-Oct-05 00:00:23.0000,  8.905044227494459E+08,  1.019396247517139E+09, -4.742397521641904E+07,
2440865.500266204, A.D. 1970-Oct-06 00:00:23.0000,  8.897981246404727E+08,  1.020043645432140E+09, -4.741060840468472E+07,
2440866.500266204, A.D. 1970-Oct-07 00:00:23.0000,  8.890919818181449E+08,  1.020690623577850E+09, -4.739737692692584E+07,
2440867.500266204, A.D. 1970-Oct-08 00:00:23.0000,  8.883859928977143E+08,  1.021337179650163E+09, -4.738427992256331E+07,
2440868.500266204, A.D. 1970-Oct-09 00:00:23.0000,  8.876801565010016E+08,  1.021983311367306E+09, -4.737131653655231E+07,
2440869.500266204, A.D. 1970-Oct-10 00:00:23.0000,  8.869744712564706E+08,  1.022629016469396E+09, -4.735848591936028E+07,
2440870.500266204, A.D. 1970-Oct-11 00:00:23.0000,  8.862689357993207E+08,  1.023274292718015E+09, -4.734578722694558E+07,
2440871.500266204, A.D. 1970-Oct-12 00:00:23.0000,  8.855635487715914E+08,  1.023919137895819E+09, -4.733321962073380E+07,
2440872.500266204, A.D. 1970-Oct-13 00:00:23.0000,  8.848583088222744E+08,  1.024563549806165E+09, -4.732078226759475E+07,
2440873.500266204, A.D. 1970-Oct-14 00:00:23.0000,  8.841532146074238E+08,  1.025207526272756E+09, -4.730847433981591E+07,
2440874.500266204, A.D. 1970-Oct-15 00:00:23.0000,  8.834482647902639E+08,  1.025851065139318E+09, -4.729629501507509E+07,
2440875.500266204, A.D. 1970-Oct-16 00:00:23.0000,  8.827434580408056E+08,  1.026494164269653E+09, -4.728424347634059E+07,
2440876.500266204, A.D. 1970-Oct-17 00:00:23.0000,  8.820387930362866E+08,  1.027136821547308E+09, -4.727231891191047E+07,
2440877.500266204, A.D. 1970-Oct-18 00:00:23.0000,  8.813342684617178E+08,  1.027779034874807E+09, -4.726052051542109E+07,
2440878.500266204, A.D. 1970-Oct-19 00:00:23.0000,  8.806298830094918E+08,  1.028420802173644E+09, -4.724884748573434E+07,
2440879.500266204, A.D. 1970-Oct-20 00:00:23.0000,  8.799256353794218E+08,  1.029062121384062E+09, -4.723729902690107E+07,
2440880.500266204, A.D. 1970-Oct-21 00:00:23.0000,  8.792215242787772E+08,  1.029702990464835E+09, -4.722587434812576E+07,
2440881.500266204, A.D. 1970-Oct-22 00:00:23.0000,  8.785175484223100E+08,  1.030343407393049E+09, -4.721457266372836E+07,
2440882.500266204, A.D. 1970-Oct-23 00:00:23.0000,  8.778137065322769E+08,  1.030983370163883E+09, -4.720339319310760E+07,
2440883.500266204, A.D. 1970-Oct-24 00:00:23.0000,  8.771099973384567E+08,  1.031622876790393E+09, -4.719233516070235E+07,
2440884.500266204, A.D. 1970-Oct-25 00:00:23.0000,  8.764064195781634E+08,  1.032261925303292E+09, -4.718139779595304E+07,
2440885.500266204, A.D. 1970-Oct-26 00:00:23.0000,  8.757029719962533E+08,  1.032900513750733E+09, -4.717058033326381E+07,
2440886.500266204, A.D. 1970-Oct-27 00:00:23.0000,  8.749996533451347E+08,  1.033538640198087E+09, -4.715988201196259E+07,
2440887.500266204, A.D. 1970-Oct-28 00:00:23.0000,  8.742964623847686E+08,  1.034176302727722E+09, -4.714930207626313E+07,
2440888.500266204, A.D. 1970-Oct-29 00:00:23.0000,  8.735933978826720E+08,  1.034813499438780E+09, -4.713883977522492E+07,
2440889.500266204, A.D. 1970-Oct-30 00:00:23.0000,  8.728904586139166E+08,  1.035450228446954E+09, -4.712849436271513E+07,
2440890.500266204, A.D. 1970-Oct-31 00:00:23.0000,  8.721876433611286E+08,  1.036086487884261E+09, -4.711826509736848E+07,
2440891.500266204, A.D. 1970-Nov-01 00:00:23.0000,  8.714849509144835E+08,  1.036722275898816E+09, -4.710815124254882E+07,
2440892.500266204, A.D. 1970-Nov-02 00:00:23.0000,  8.707823800717044E+08,  1.037357590654605E+09, -4.709815206630933E+07,
2440893.500266204, A.D. 1970-Nov-03 00:00:23.0000,  8.700799296383636E+08,  1.037992430331465E+09, -4.708826684161377E+07,
2440894.500266204, A.D. 1970-Nov-04 00:00:23.0000,  8.693775984274462E+08,  1.038626793124915E+09, -4.707849484601718E+07,
2440895.500266204, A.D. 1970-Nov-05 00:00:23.0000,  8.686753852590704E+08,  1.039260677245659E+09, -4.706883536138463E+07,
2440896.500266204, A.D. 1970-Nov-06 00:00:23.0000,  8.679732889608227E+08,  1.039894080919498E+09, -4.705928767412466E+07,
2440897.500266204, A.D. 1970-Nov-07 00:00:23.0000,  8.672713083677300E+08,  1.040527002387149E+09, -4.704985107515311E+07,
2440898.500266204, A.D. 1970-Nov-08 00:00:23.0000,  8.665694423222319E+08,  1.041159439904068E+09, -4.704052485985464E+07,
2440899.500266204, A.D. 1970-Nov-09 00:00:23.0000,  8.658676896741512E+08,  1.041791391740270E+09, -4.703130832804644E+07,
2440900.500266204, A.D. 1970-Nov-10 00:00:23.0000,  8.651660492806664E+08,  1.042422856180149E+09, -4.702220078394085E+07,
2440901.500266204, A.D. 1970-Nov-11 00:00:23.0000,  8.644645200062811E+08,  1.043053831522296E+09, -4.701320153610820E+07,
2440902.500266204, A.D. 1970-Nov-12 00:00:23.0000,  8.637631007227954E+08,  1.043684316079316E+09, -4.700430989743954E+07,
2440903.500266204, A.D. 1970-Nov-13 00:00:23.0000,  8.630617903092754E+08,  1.044314308177649E+09, -4.699552518511009E+07,
2440904.500266204, A.D. 1970-Nov-14 00:00:23.0000,  8.623605876520237E+08,  1.044943806157384E+09, -4.698684672054148E+07,
2440905.500266204, A.D. 1970-Nov-15 00:00:23.0000,  8.616594916445490E+08,  1.045572808372078E+09, -4.697827382936561E+07,
2440906.500266204, A.D. 1970-Nov-16 00:00:23.0000,  8.609585011875358E+08,  1.046201313188567E+09, -4.696980584138680E+07,
2440907.500266204, A.D. 1970-Nov-17 00:00:23.0000,  8.602576151888130E+08,  1.046829318986786E+09, -4.696144209054559E+07,
