JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.870769882138211E+08,  4.237879494497854E+08, -6.556462438348383E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.862916705193104E+08,  4.249383085658392E+08, -6.506582503865749E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.855058218309385E+08,  4.260890667577084E+08, -6.457469382079303E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.847194644267035E+08,  4.272402204334224E+08, -6.409135231962383E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.839326208721929E+08,  4.283917657452882E+08, -6.361592337138176E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.831453140343544E+08,  4.295436985839770E+08, -6.314853114810377E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.823575670736004E+08,  4.306960145630137E+08, -6.268930105565459E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.815694034514858E+08,  4.318487090127046E+08, -6.223835979360461E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.807808469306004E+08,  4.330017769669236E+08, -6.179583531861126E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.799919215739160E+08,  4.341552131528698E+08, -6.136185682805091E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.792026517466006E+08,  4.353090119818240E+08, -6.093655476675749E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.784130621173061E+08,  4.364631675376188E+08, -6.052006081474811E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.776231776582218E+08,  4.376176735649455E+08, -6.011250786795139E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.768330236456410E+08,  4.387725234589877E+08, -5.971403003415704E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.760426256614922E+08,  4.399277102541465E+08, -5.932476263047934E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.752520095940684E+08,  4.410832266103182E+08, -5.894484215931982E+06,
