JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.098707794772292E+08,  4.565975722825061E+08, -1.531773398728910E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.093742992654808E+08,  4.574689405499095E+08, -1.521989006782705E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.088749969635563E+08,  4.583373649411643E+08, -1.512201048368934E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.083728607295718E+08,  4.592028670944047E+08, -1.502410592938972E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.078678791371309E+08,  4.600654686790080E+08, -1.492618696639764E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.073600411441704E+08,  4.609251913806667E+08, -1.482826402405518E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.068493361120106E+08,  4.617820569045070E+08, -1.473034739816260E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.063357537858257E+08,  4.626360869606582E+08, -1.463244725132182E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.058192842946575E+08,  4.634873032633225E+08, -1.453457361253905E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.052999181506090E+08,  4.643357275238540E+08, -1.443673637707454E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.047776462421129E+08,  4.651813814409025E+08, -1.433894530650091E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.042524598285909E+08,  4.660242866942192E+08, -1.424121002866194E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.037243505365381E+08,  4.668644649390050E+08, -1.414354003772393E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.031933103535415E+08,  4.677019377981223E+08, -1.404594469446278E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.026593316213169E+08,  4.685367268556057E+08, -1.394843322655505E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.021224070313613E+08,  4.693688536536667E+08, -1.385101472868773E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.015825296223938E+08,  4.701983396885186E+08, -1.375369816274405E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.010396927752076E+08,  4.710252064019561E+08, -1.365649235832363E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.004938902058865E+08,  4.718494751766027E+08, -1.355940601320219E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.999451159629723E+08,  4.726711673352473E+08, -1.346244769349360E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.993933644220769E+08,  4.734903041224568E+08, -1.336562583468890E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.988386302778436E+08,  4.743069067184173E+08, -1.326894874208146E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.982809085437421E+08,  4.751209962168908E+08, -1.317242459093621E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.977201945353029E+08,  4.759325936314869E+08, -1.307606142860931E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.971564838789802E+08,  4.767417198879277E+08, -1.297986717348251E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.965897724980066E+08,  4.775483958215151E+08, -1.288384961674502E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.960200566125071E+08,  4.783526421744229E+08, -1.278801642244679E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.954473327347853E+08,  4.791544795889515E+08, -1.269237512855670E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.948715976606480E+08,  4.799539286025177E+08, -1.259693314835468E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.942928484640487E+08,  4.807510096455038E+08, -1.250169777118686E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.937110824932020E+08,  4.815457430386150E+08, -1.240667616319323E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.931262973646845E+08,  4.823381489889897E+08, -1.231187536847574E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.925384909574473E+08,  4.831282475874427E+08, -1.221730231015617E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.919476614095014E+08,  4.839160588070729E+08, -1.212296379096493E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.913538071146308E+08,  4.847016024999912E+08, -1.202886649410850E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.907569267154877E+08,  4.854848983919901E+08, -1.193501698490250E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.901570190974663E+08,  4.862659660812533E+08, -1.184142171186408E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.895540833869020E+08,  4.870448250385516E+08, -1.174808700707990E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.889481189398558E+08,  4.878214945941806E+08, -1.165501908942226E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.883391253433094E+08,  4.885959939537354E+08, -1.156222406314960E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.877271024068304E+08,  4.893683421778108E+08, -1.146970792104432E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.871120501570648E+08,  4.901385581973466E+08, -1.137747654433641E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.864939688382506E+08,  4.909066607983868E+08, -1.128553570416421E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.858728589032204E+08,  4.916726686269158E+08, -1.119389106294334E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.852487210114189E+08,  4.924366001854473E+08, -1.110254817523357E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.846215560223715E+08,  4.931984738293924E+08, -1.101151248971191E+07,
