JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.763565865203911E+08,  4.342482394450531E+08, -2.257358435357958E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.756135677517568E+08,  4.353692289453092E+08, -2.253550074377567E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.748701873841213E+08,  4.364894055380177E+08, -2.250423665863156E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.741264502627176E+08,  4.376087580184593E+08, -2.247978398061574E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.733823612133627E+08,  4.387272752008275E+08, -2.246213439680785E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.726379250415415E+08,  4.398449459133435E+08, -2.245127937580228E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.718931465324732E+08,  4.409617590028330E+08, -2.244721017795473E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.711480304515051E+08,  4.420777033315751E+08, -2.244991785245955E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.704025815436089E+08,  4.431927677783485E+08, -2.245939323308706E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.696568045339968E+08,  4.443069412389911E+08, -2.247562694629461E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.689107041287003E+08,  4.454202126257325E+08, -2.249860941598296E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.681642850145578E+08,  4.465325708670446E+08, -2.252833086217970E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.674175518594011E+08,  4.476440049078326E+08, -2.256478130304843E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.666705093126132E+08,  4.487545037090223E+08, -2.260795056032717E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.659231620052698E+08,  4.498640562468354E+08, -2.265782825912505E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.651755145496932E+08,  4.509726515127248E+08, -2.271440382188588E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.644275715394732E+08,  4.520802785138543E+08, -2.277766646896809E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.636793375503061E+08,  4.531869262729967E+08, -2.284760522800654E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.629308171399634E+08,  4.542925838279330E+08, -2.292420893195033E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.621820148477241E+08,  4.553972402317815E+08, -2.300746621231824E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.614329351975378E+08,  4.565008845528646E+08, -2.309736553598672E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.606835826937670E+08,  4.576035058730925E+08, -2.319389515266865E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.599339618257953E+08,  4.587050932899826E+08, -2.329704314968109E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.591840770641046E+08,  4.598056359126546E+08, -2.340679740358204E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.584339328633651E+08,  4.609051228658409E+08, -2.352314561763078E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.576835336610101E+08,  4.620035432869020E+08, -2.364607530275673E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.569328838775003E+08,  4.631008863269498E+08, -2.377557378069073E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.561819879172983E+08,  4.641971411507621E+08, -2.391162819465846E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.554308501690142E+08,  4.652922969356403E+08, -2.405422550978601E+06,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.546794750052404E+08,  4.663863428711200E+08, -2.420335251032114E+06,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.539278667827209E+08,  4.674792681589385E+08, -2.435899580093354E+06,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.531760298425684E+08,  4.685710620123808E+08, -2.452114180825651E+06,
