JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.735739817815868E+08,  4.575443886636428E+08, -7.560058257597148E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.729559010839154E+08,  4.586272278897122E+08, -7.558317775547534E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.723371822248343E+08,  4.597083629563627E+08, -7.556808364223480E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.717178248865695E+08,  4.607877886713080E+08, -7.555529475157112E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.710978287651414E+08,  4.618654998546759E+08, -7.554480562588066E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.704771935685340E+08,  4.629414913417391E+08, -7.553661082084209E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.698559190187854E+08,  4.640157579795936E+08, -7.553070492086887E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.692340048501158E+08,  4.650882946285605E+08, -7.552708252845764E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.686114508096532E+08,  4.661590961612383E+08, -7.552573826862991E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.679882566572300E+08,  4.672281574614906E+08, -7.552666679055065E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.673644221646023E+08,  4.682954734241945E+08, -7.552986276507854E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.667399471152774E+08,  4.693610389548534E+08, -7.553532088469118E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.661148313043760E+08,  4.704248489689401E+08, -7.554303586432725E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.654890745379848E+08,  4.714868983914980E+08, -7.555300243985832E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.648626766326454E+08,  4.725471821570460E+08, -7.556521536609888E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.642356374155314E+08,  4.736056952092372E+08, -7.557966941771895E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.636079567245513E+08,  4.746624325000333E+08, -7.559635939134181E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.629796344076269E+08,  4.757173889889970E+08, -7.561528010468125E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.623506703223307E+08,  4.767705596431767E+08, -7.563642639507681E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.617210643363452E+08,  4.778219394365605E+08, -7.565979312189549E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.610908163252769E+08,  4.788715233486276E+08, -7.568537516324282E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.604599261746030E+08,  4.799193063660083E+08, -7.571316741679668E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.598283937775584E+08,  4.809652834794813E+08, -7.574316480095625E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.591962190353310E+08,  4.820094496868106E+08, -7.577536224687517E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.585634018573097E+08,  4.830517999890571E+08, -7.580975470907480E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.579299421602256E+08,  4.840923293921584E+08, -7.584633715760946E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.572958398685206E+08,  4.851310329056376E+08, -7.588510458221853E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.566610949136779E+08,  4.861679055417298E+08, -7.592605199226439E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.560257072334182E+08,  4.872029423154097E+08, -7.596917441359371E+06,
