JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.062129094583476E+08,  4.395653134962822E+08, -1.989585639091173E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.055553289205695E+08,  4.408676949773457E+08, -1.985917382211506E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.048871195105903E+08,  4.421699624960864E+08, -1.981720084557855E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.042081971313576E+08,  4.434717326746398E+08, -1.976993492750266E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.035184928922249E+08,  4.447726158717134E+08, -1.971738273616350E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.028179536075678E+08,  4.460722173487389E+08, -1.965956040384990E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.021065423273087E+08,  4.473701382161107E+08, -1.959649361179641E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.013842387611386E+08,  4.486659767289109E+08, -1.952821774661687E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.006510396584612E+08,  4.499593294211358E+08, -1.945477797468972E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.999069590272477E+08,  4.512497923157989E+08, -1.937622918078026E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.991520282793863E+08,  4.525369622378646E+08, -1.929263588825491E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.983862963332996E+08,  4.538204381142151E+08, -1.920407217304614E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.976098296074649E+08,  4.550998222428058E+08, -1.911062150521666E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.968227118825113E+08,  4.563747215772728E+08, -1.901237651011562E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.960250440869399E+08,  4.576447490228921E+08, -1.890943870357323E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.952169440328708E+08,  4.589095246838605E+08, -1.880191821277502E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.943985460412331E+08,  4.601686770337886E+08, -1.868993341971561E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.935700004202631E+08,  4.614218440519773E+08, -1.857361051002166E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.927314728988692E+08,  4.626686743501121E+08, -1.845308303657246E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.918831440475209E+08,  4.639088282033634E+08, -1.832849149497828E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.910252084490466E+08,  4.651419784358835E+08, -1.819998266197073E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.901578740546421E+08,  4.663678113062354E+08, -1.806770924195826E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.892813612224480E+08,  4.675860273742443E+08, -1.793182914643288E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.883959018181483E+08,  4.687963420436440E+08, -1.779250495675960E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.875017383994398E+08,  4.699984862874560E+08, -1.764990338475546E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.865991231486894E+08,  4.711922070854160E+08, -1.750419462976021E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.856883169698491E+08,  4.723772678820812E+08, -1.735555183336905E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.847695885293272E+08,  4.735534488448349E+08, -1.720415047976211E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.838432132089823E+08,  4.747205470124000E+08, -1.705016777416840E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.829094720833611E+08,  4.758783764269106E+08, -1.689378207150227E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.819686509512252E+08,  4.770267681841213E+08, -1.673517234042519E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.810210393766342E+08,  4.781655703472416E+08, -1.657451762860140E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.800669297267233E+08,  4.792946477798394E+08, -1.641199654275876E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.791066162529255E+08,  4.804138819573494E+08, -1.624778677425873E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.781403942475377E+08,  4.815231707092489E+08, -1.608206466024169E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.771685592320135E+08,  4.826224278260791E+08, -1.591500474983913E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.761914061271790E+08,  4.837115826191762E+08, -1.574677939745957E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.752092284922014E+08,  4.847905795289675E+08, -1.557755841977537E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.742223179275383E+08,  4.858593775556073E+08, -1.540750874054646E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.732309633142755E+08,  4.869179497510815E+08, -1.523679413344526E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.722354502528819E+08,  4.879662826782146E+08, -1.506557490566459E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.712360605354071E+08,  4.890043756349361E+08, -1.489400770045432E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.702330716254834E+08,  4.900322403244882E+08, -1.472224528698596E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.692267562338626E+08,  4.910499000547338E+08, -1.455043638910222E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.682173819070475E+08,  4.920573891879189E+08, -1.437872554104996E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.672052107245796E+08,  4.930547525423402E+08, -1.420725296745524E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.661904990200129E+08,  4.940420446942276E+08, -1.403615449196720E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.651734970937698E+08,  4.950193293252937E+08, -1.386556147166100E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.641544489797750E+08,  4.959866786383004E+08, -1.369560075216359E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.631335922905867E+08,  4.969441727695485E+08, -1.352639464331588E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.621111580924665E+08,  4.978918991812409E+08, -1.335806091604191E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.610873707817056E+08,  4.988299520885185E+08, -1.319071281520951E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.600624480086430E+08,  4.997584319438034E+08, -1.302445908188644E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.590366006766889E+08,  5.006774449184158E+08, -1.285940399004132E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.580100329299109E+08,  5.015871023455918E+08, -1.269564740985265E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.569829421169190E+08,  5.024875202268006E+08, -1.253328487837759E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.559555189428853E+08,  5.033788188376839E+08, -1.237240764319462E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.549279473502500E+08,  5.042611221806664E+08, -1.221310279821867E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.539004047386991E+08,  5.051345576215598E+08, -1.205545333389014E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.528730620079993E+08,  5.059992554536338E+08, -1.189953826487300E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.518460836031290E+08,  5.068553485846406E+08, -1.174543269874001E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.508196276898528E+08,  5.077029721562626E+08, -1.159320795773226E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.497938462486901E+08,  5.085422632182069E+08, -1.144293168258759E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.487688852115545E+08,  5.093733604458927E+08, -1.129466793152389E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.477448846293408E+08,  5.101964038435481E+08, -1.114847730024025E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.467219788139979E+08,  5.110115344498432E+08, -1.100441704832795E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.457002964669544E+08,  5.118188940879370E+08, -1.086254121146622E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.446799608284686E+08,  5.126186251558573E+08, -1.072290070458090E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.436610898435286E+08,  5.134108704213499E+08, -1.058554343309149E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.426437963160515E+08,  5.141957728154734E+08, -1.045051441020757E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.416281880514710E+08,  5.149734752593508E+08, -1.031785586070067E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.406143680173134E+08,  5.157441205288633E+08, -1.018760731334913E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.396024345202783E+08,  5.165078510963843E+08, -1.005980571680403E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.385924813556255E+08,  5.172648089606216E+08, -9.934485562712401E+06,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.375845979494536E+08,  5.180151356068121E+08, -9.811678932895094E+06,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.365788695213798E+08,  5.187589717904179E+08, -9.691415665319026E+06,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.355753772319773E+08,  5.194964574969925E+08, -9.573723419027001E+06,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.345741983385541E+08,  5.202277318757787E+08, -9.458627749338269E+06,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.335754062924147E+08,  5.209529331059859E+08, -9.346152221306533E+06,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.325790709109288E+08,  5.216721983833697E+08, -9.236318469396174E+06,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.315852585117159E+08,  5.223856638399720E+08, -9.129146294147938E+06,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.305940320355135E+08,  5.230934644953990E+08, -9.024653735189527E+06,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.296054511846522E+08,  5.237957342263497E+08, -8.922857144501895E+06,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.286195725572712E+08,  5.244926057187502E+08, -8.823771274673164E+06,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.276364497606457E+08,  5.251842104232509E+08, -8.727409356245100E+06,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.266561335156339E+08,  5.258706785370373E+08, -8.633783153968811E+06,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.256786717698759E+08,  5.265521389959471E+08, -8.542903024432093E+06,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.247041098139105E+08,  5.272287194551105E+08, -8.454777986788929E+06,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.237324903804213E+08,  5.279005462719340E+08, -8.369415783108771E+06,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.227638537327148E+08,  5.285677445136053E+08, -8.286822916885227E+06,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.217982377760867E+08,  5.292304379626475E+08, -8.207004713132232E+06,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.208356781680151E+08,  5.298887490982768E+08, -8.129965397945106E+06,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.198762083517393E+08,  5.305427991323998E+08, -8.055708083455950E+06,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.189198597224963E+08,  5.311927079665641E+08, -7.984234911963910E+06,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.179666616477602E+08,  5.318385942392445E+08, -7.915547029781759E+06,
2447308.500092593, A.D. 1988-May-27 00:00:08.0000,  5.170166415610081E+08,  5.324805753434476E+08, -7.849644634464294E+06,
