JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.579275288377366E+08,  9.811688453131359E+08, -5.550849889857548E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.571403170715947E+08,  9.820822847079980E+08, -5.565003077040517E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.562599366239408E+08,  9.829536886860790E+08, -5.575989482384825E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.553009145502769E+08,  9.837630552346876E+08, -5.582930636228460E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.542824409478753E+08,  9.844925765703394E+08, -5.585112324009383E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.532286478406717E+08,  9.851274192057679E+08, -5.582028019218838E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.521687997587627E+08,  9.856570711781499E+08, -5.573450734131640E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.511369545028260E+08,  9.860773913075256E+08, -5.559535484880590E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.501704230948374E+08,  9.863932895248493E+08, -5.540941414678580E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.493062361900951E+08,  9.866214869990567E+08, -5.518936420766455E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.485751916104852E+08,  9.867920545420517E+08, -5.495412255288297E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.479943376745030E+08,  9.869468547179443E+08, -5.472722273989892E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.475606686668508E+08,  9.871336094837850E+08, -5.453305752608079E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.472496731363430E+08,  9.873966592576411E+08, -5.439193480438507E+07,
