JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.778154047199911E+08,  9.780011906902952E+08, -5.279262027522248E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.771976886558416E+08,  9.784944979125112E+08, -5.272799424371141E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.765790222614104E+08,  9.789875208855605E+08, -5.266341506564516E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.759594083338022E+08,  9.794802612581851E+08, -5.259888372059715E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.753388496533979E+08,  9.799727206552079E+08, -5.253440117591244E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.747173489839326E+08,  9.804649006779877E+08, -5.246996838694835E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.740949090729971E+08,  9.809568029042327E+08, -5.240558629690391E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.734715326518980E+08,  9.814484288883641E+08, -5.234125583705461E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.728472224352773E+08,  9.819397801627867E+08, -5.227697792750037E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.722219811215556E+08,  9.824308582379131E+08, -5.221275347711533E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.715958113930362E+08,  9.829216646024950E+08, -5.214858338372183E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.709687159160092E+08,  9.834122007239561E+08, -5.208446853426498E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.703406973408537E+08,  9.839024680487232E+08, -5.202040980498612E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.697117583021425E+08,  9.843924680025566E+08, -5.195640806159753E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.690819014187438E+08,  9.848822019908807E+08, -5.189246415945649E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.684511292939242E+08,  9.853716713991127E+08, -5.182857894373959E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.678194445154511E+08,  9.858608775929927E+08, -5.176475324961680E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.671868496556947E+08,  9.863498219189119E+08, -5.170098790242612E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.665533472717311E+08,  9.868385057042410E+08, -5.163728371784741E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.659189399054433E+08,  9.873269302576573E+08, -5.157364150207734E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.652836300836229E+08,  9.878150968694723E+08, -5.151006205200338E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.646474203180726E+08,  9.883030068119590E+08, -5.144654615537852E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.640103131057072E+08,  9.887906613396776E+08, -5.138309459099543E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.633723109286551E+08,  9.892780616898016E+08, -5.131970812886149E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.627334162537007E+08,  9.897652090822421E+08, -5.125638753035074E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.620936315330222E+08,  9.902521047196480E+08, -5.119313354811275E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.614529592049114E+08,  9.907387497880833E+08, -5.112994692636001E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.608114016932149E+08,  9.912251454573066E+08, -5.106682840110826E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.601689614074388E+08,  9.917112928810058E+08, -5.100377870030332E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.595256407428546E+08,  9.921971931970336E+08, -5.094079854394776E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.588814420806055E+08,  9.926828475276371E+08, -5.087788864422601E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.582363677878120E+08,  9.931682569796928E+08, -5.081504970563257E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.575904202176777E+08,  9.936534226449349E+08, -5.075228242509729E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.569436017095969E+08,  9.941383456001855E+08, -5.068958749211317E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.562959145892615E+08,  9.946230269075810E+08, -5.062696558886284E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.556473611687691E+08,  9.951074676147987E+08, -5.056441739034635E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.549979437467328E+08,  9.955916687552807E+08, -5.050194356450808E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.543476646083926E+08,  9.960756313484550E+08, -5.043954477236533E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.536965260257279E+08,  9.965593563999556E+08, -5.037722166813612E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.530445302575737E+08,  9.970428449018414E+08, -5.031497489936793E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.523916795497404E+08,  9.975260978328093E+08, -5.025280510706705E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.517379761351362E+08,  9.980091161584097E+08, -5.019071292582792E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.510834222339404E+08,  9.984919008315121E+08, -5.012869898411888E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.504280200535941E+08,  9.989744527919316E+08, -5.006676390408349E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.497717717889391E+08,  9.994567729665153E+08, -5.000490830158901E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.491146796224492E+08,  9.999388622697114E+08, -4.994313278657001E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.484567457243799E+08,  1.000420721603724E+09, -4.988143796312904E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.477979722529283E+08,  1.000902351858673E+09, -4.981982442963964E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.471383613544043E+08,  1.001383753912759E+09, -4.975829277884841E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.464779151634139E+08,  1.001864928632446E+09, -4.969684359797758E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.458166358030516E+08,  1.002345876872649E+09, -4.963547746882778E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.451545253851030E+08,  1.002826599476947E+09, -4.957419496787912E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.444915860102518E+08,  1.003307097277824E+09, -4.951299666639215E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.438278197682849E+08,  1.003787371096929E+09, -4.945188313050497E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.431632287382923E+08,  1.004267421745371E+09, -4.939085492132789E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.424978149888471E+08,  1.004747250024049E+09, -4.932991259503448E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.418315805781603E+08,  1.005226856724001E+09, -4.926905670294654E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.411645275541974E+08,  1.005706242626785E+09, -4.920828779161501E+07,
