JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.585958718492355E+08,  9.833272856820016E+08, -5.623161769816518E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.577353662515574E+08,  9.840953023164940E+08, -5.621857595066804E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.568610839331592E+08,  9.848452956982499E+08, -5.619850506678778E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.559746291438025E+08,  9.855762278449477E+08, -5.617147199895054E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.550776712419505E+08,  9.862872020013353E+08, -5.613759140178674E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.541719305782796E+08,  9.869774665919007E+08, -5.609702374560136E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.532591644931356E+08,  9.876464176277347E+08, -5.604997306327659E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.523411535348680E+08,  9.882935997093191E+08, -5.599668440771079E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.514196881067667E+08,  9.889187056641206E+08, -5.593744106738311E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.504965556427510E+08,  9.895215749246433E+08, -5.587256159528041E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.495735284331897E+08,  9.901021907659870E+08, -5.580239670756775E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.486523521861248E+08,  9.906606765155945E+08, -5.572732610034120E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.477347353593727E+08,  9.911972908660724E+08, -5.564775522425258E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.468223392920907E+08,  9.917124224432267E+08, -5.556411204842490E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.459167690628103E+08,  9.922065837362288E+08, -5.547684380552167E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.450195650052054E+08,  9.926804047756479E+08, -5.538641369469023E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.441321949351152E+08,  9.931346268149745E+08, -5.529329754297978E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.432560475792326E+08,  9.935700960686158E+08, -5.519798068092328E+07,
