JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.682518645892347E+08,  9.784264800804914E+08, -5.649839631999791E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.676561872673404E+08,  9.790884337723740E+08, -5.659478992531723E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.670583047250792E+08,  9.797503810207484E+08, -5.669094201894206E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.664582290211428E+08,  9.804123054072949E+08, -5.678683777562612E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.658559722396632E+08,  9.810741907859067E+08, -5.688246269903541E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.652515464812354E+08,  9.817360212772090E+08, -5.697780261215132E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.646449638774832E+08,  9.823977812572322E+08, -5.707284365208316E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.640362365966599E+08,  9.830594553615115E+08, -5.716757227388531E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.634253768035829E+08,  9.837210284825884E+08, -5.726197523094177E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.628123966636635E+08,  9.843824857572972E+08, -5.735603956454253E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.621973083398269E+08,  9.850438125622778E+08, -5.744975259750336E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.615801239894317E+08,  9.857049945094861E+08, -5.754310192778671E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.609608557611876E+08,  9.863660174417050E+08, -5.763607542212135E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.603395157920755E+08,  9.870268674280541E+08, -5.772866120962387E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.597161162042651E+08,  9.876875307594991E+08, -5.782084767541796E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.590906691020327E+08,  9.883479939443600E+08, -5.791262345425552E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.584631865686800E+08,  9.890082437038206E+08, -5.800397742413735E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.578336806634514E+08,  9.896682669674349E+08, -5.809489869993317E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.572021634184517E+08,  9.903280508686355E+08, -5.818537662700224E+07,
