JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.125436697579628E+08,  4.252165169433881E+08, -2.786406536398566E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.117230223306566E+08,  4.260706836738432E+08, -2.783407576143558E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.109000113808007E+08,  4.269248160496249E+08, -2.780322451367094E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.100746440630547E+08,  4.277789204966869E+08, -2.777151084257746E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.092469275914881E+08,  4.286330034659137E+08, -2.773893398402262E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.084168692367752E+08,  4.294870714272937E+08, -2.770549319099468E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.075844763296040E+08,  4.303411308765550E+08, -2.767118772989847E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.067497562606672E+08,  4.311951883320585E+08, -2.763601688352300E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.059127164814447E+08,  4.320492503370959E+08, -2.759997994936988E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.050733645064908E+08,  4.329033234613262E+08, -2.756307623995250E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.042317079151115E+08,  4.337574143006475E+08, -2.752530508415428E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.033877543523909E+08,  4.346115294778062E+08, -2.748666582736394E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.025415115306453E+08,  4.354656756434296E+08, -2.744715783149499E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.016929872312297E+08,  4.363198594763295E+08, -2.740678047598052E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.008421893057631E+08,  4.371740876835443E+08, -2.736553315860057E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.999891256768695E+08,  4.380283670012292E+08, -2.732341529509863E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.991338043397112E+08,  4.388827041959718E+08, -2.728042631891122E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.982762333643516E+08,  4.397371060652328E+08, -2.723656568233883E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.974164208968360E+08,  4.405915794375853E+08, -2.719183285702369E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.965543751600102E+08,  4.414461311742302E+08, -2.714622733294845E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.956901044591655E+08,  4.423007681687736E+08, -2.709974862246302E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.948236171778089E+08,  4.431554973473711E+08, -2.705239625723198E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.939549217853385E+08,  4.440103256708674E+08, -2.700416979105547E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.930840268323724E+08,  4.448652601309731E+08, -2.695506880088523E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.922109409576460E+08,  4.457203077562445E+08, -2.690509288483134E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.913356728868670E+08,  4.465754756092016E+08, -2.685424166448677E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.904582314352075E+08,  4.474307707885401E+08, -2.680251478416848E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.895786255103797E+08,  4.482862004295278E+08, -2.674991191231561E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.886968641141456E+08,  4.491417717032394E+08, -2.669643274315125E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.878129563436909E+08,  4.499974918171180E+08, -2.664207699688619E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.869269113937232E+08,  4.508533680158052E+08, -2.658684442002976E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.860387385585523E+08,  4.517094075810311E+08, -2.653073478664702E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.851484472335789E+08,  4.525656178316269E+08, -2.647374789917767E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.842560469169724E+08,  4.534220061246790E+08, -2.641588358818105E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.833615472124428E+08,  4.542785798564453E+08, -2.635714171286097E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.824649578321925E+08,  4.551353464616846E+08, -2.629752216326392E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.815662885982665E+08,  4.559923134136497E+08, -2.623702486097318E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.806655494443578E+08,  4.568494882255573E+08, -2.617564975849947E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.797627504212503E+08,  4.577068784469808E+08, -2.611339684557414E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.788579016922956E+08,  4.585644916687603E+08, -2.605026614199933E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.779510135431812E+08,  4.594223355195730E+08, -2.598625770556718E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.770420963761834E+08,  4.602804176676166E+08, -2.592137162813640E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.761311607203602E+08,  4.611387458210659E+08, -2.585560803927296E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.752182172293571E+08,  4.619973277270800E+08, -2.578896710653055E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.743032766855149E+08,  4.628561711727042E+08, -2.572144903620082E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.733863500030756E+08,  4.637152839837472E+08, -2.565305407569849E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.724674482294080E+08,  4.645746740239162E+08, -2.558378251494575E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.715465825471838E+08,  4.654343491953325E+08, -2.551363468673351E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.706237642774520E+08,  4.662943174387522E+08, -2.544261096768788E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.696990048821555E+08,  4.671545867328729E+08, -2.537071177991426E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.687723159663345E+08,  4.680151650940470E+08, -2.529793759209520E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.678437092813071E+08,  4.688760605767477E+08, -2.522428892013639E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.669131967285160E+08,  4.697372812729440E+08, -2.514976632904726E+07,
