JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.788069406657212E+08,  4.228918576704488E+08, -1.909958181361163E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.779905004791253E+08,  4.239713417834238E+08, -1.912241148177516E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.771734850320834E+08,  4.250505795732380E+08, -1.914499216636968E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.763559005859364E+08,  4.261295599200086E+08, -1.916732256899622E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.755377533489201E+08,  4.272082717125109E+08, -1.918940140936533E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.747190494817410E+08,  4.282867038465943E+08, -1.921122742459193E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.738997950920123E+08,  4.293648452258301E+08, -1.923279937020335E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.730799962383490E+08,  4.304426847623813E+08, -1.925411601933789E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.722596589287878E+08,  4.315202113766230E+08, -1.927517616317254E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.714387891203861E+08,  4.325974139983973E+08, -1.929597861086398E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.706173927203541E+08,  4.336742815681955E+08, -1.931652218923041E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.697954755862328E+08,  4.347508030374569E+08, -1.933680574275890E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.689730435256910E+08,  4.358269673691386E+08, -1.935682813362584E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.681501022972432E+08,  4.369027635388611E+08, -1.937658824144426E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.673266576111985E+08,  4.379781805355048E+08, -1.939608496306023E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.665027151295362E+08,  4.390532073609403E+08, -1.941531721269640E+07,
