JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.565039620962869E+08,  9.809150693368369E+08, -5.522080743332481E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.555728594689965E+08,  9.814470909084170E+08, -5.515313949255246E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.552234449047188E+08,  9.819762885081745E+08, -5.513890288685137E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.543251318536986E+08,  9.826993397337362E+08, -5.517448009549153E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.538637006381170E+08,  9.830629997360620E+08, -5.506366835893548E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.531379672858753E+08,  9.838980046129351E+08, -5.517438804242510E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.524639409586399E+08,  9.842148808112013E+08, -5.501955041040057E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.519557153489221E+08,  9.850214155430084E+08, -5.513627488941658E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.510858215644124E+08,  9.854356795478976E+08, -5.501433960402989E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.507207376363688E+08,  9.860881556806952E+08, -5.506440846822959E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.497791921469550E+08,  9.866893009190848E+08, -5.503387266487890E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.494032718846794E+08,  9.871458592155157E+08, -5.498088977106768E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.485524682035197E+08,  9.879200531727146E+08, -5.504981348428833E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.480166455608683E+08,  9.882466016069286E+08, -5.491422300968933E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.473685132350681E+08,  9.890852091392965E+08, -5.503629905643922E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.466117001190865E+08,  9.894192557569802E+08, -5.488431819899803E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.461671646948147E+08,  9.901778869575121E+08, -5.498404957135421E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.452500611958606E+08,  9.906519165340893E+08, -5.489075691673249E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.448977934461064E+08,  9.912290296662492E+08, -5.490449247278225E+07,
