JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.422039228767899E+08,  9.732731587750306E+08, -5.146070830233574E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.415135125895873E+08,  9.739799929688966E+08, -5.148334115967542E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.408236298325558E+08,  9.746869142665538E+08, -5.150618714030218E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.401342819978490E+08,  9.753939164712232E+08, -5.152924486181092E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.394454764509174E+08,  9.761009932853563E+08, -5.155251290544134E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.387572205289240E+08,  9.768081383101526E+08, -5.157598981577599E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.380695215363555E+08,  9.775153450438240E+08, -5.159967409987503E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.373823867432843E+08,  9.782226068848220E+08, -5.162356422814524E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.366958233873953E+08,  9.789299171315243E+08, -5.164765863429618E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.360098386705112E+08,  9.796372689797324E+08, -5.167195571428204E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.353244397565823E+08,  9.803446555226965E+08, -5.169645382613283E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.346396337696724E+08,  9.810520697511373E+08, -5.172115128978616E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.339554277919469E+08,  9.817595045532682E+08, -5.174604638691783E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.332718288616595E+08,  9.824669527148165E+08, -5.177113736077404E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.325888439711391E+08,  9.831744069190450E+08, -5.179642241600198E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.319064800647753E+08,  9.838818597467721E+08, -5.182189971848226E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.312247440370063E+08,  9.845893036763899E+08, -5.184756739515942E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.305436427303032E+08,  9.852967310838869E+08, -5.187342353387421E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.298631829331572E+08,  9.860041342428637E+08, -5.189946618319458E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.291833713780655E+08,  9.867115053245537E+08, -5.192569335224760E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.285042147395155E+08,  9.874188363978393E+08, -5.195210301055110E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.278257196319718E+08,  9.881261194292710E+08, -5.197869308784509E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.271478926078609E+08,  9.888333462830833E+08, -5.200546147392327E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.264707401555566E+08,  9.895405087212121E+08, -5.203240601846582E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.257942686962534E+08,  9.902475984055018E+08, -5.205952453179687E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.251184845816406E+08,  9.909546068998715E+08, -5.208681478517330E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.244433940932586E+08,  9.916615256665671E+08, -5.211427450918305E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.237690034397557E+08,  9.923683460670120E+08, -5.214190139406669E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.230953187546450E+08,  9.930750593625939E+08, -5.216969308979261E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.224223460940633E+08,  9.937816567154490E+08, -5.219764720613170E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.217500914345282E+08,  9.944881291892459E+08, -5.222576131273139E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.210785606706978E+08,  9.951944677499691E+08, -5.225403293919104E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.204077596131279E+08,  9.959006632666997E+08, -5.228245957513630E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.197376939860315E+08,  9.966067065123956E+08, -5.231103867029494E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.190683694250391E+08,  9.973125881646708E+08, -5.233976763457114E+07,
