JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717607369253993E+09, -2.212941624720260E+09,  1.403145317126012E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717157520935008E+09, -2.213329281693596E+09,  1.401929601158667E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716708202310386E+09, -2.213716446750493E+09,  1.400901013422227E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716259081646994E+09, -2.214103181957518E+09,  1.400066971992946E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715809817328635E+09, -2.214489556029933E+09,  1.399431648264015E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715360062152369E+09, -2.214875650946799E+09,  1.398990585973001E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714909505979009E+09, -2.215261545538766E+09,  1.398735738912868E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714457812776589E+09, -2.215647332205634E+09,  1.398653387352908E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.714004708331729E+09, -2.216033103286865E+09,  1.398720172067094E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713549973621085E+09, -2.216418940269085E+09,  1.398911853390336E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.713093418077010E+09, -2.216804925990165E+09,  1.399198739141560E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712634927344442E+09, -2.217191128958833E+09,  1.399549481376779E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712174411433095E+09, -2.217577614780312E+09,  1.399931035017717E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711711870574151E+09, -2.217964434628331E+09,  1.400306519136834E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711247362410899E+09, -2.218351620116758E+09,  1.400644094901669E+07,
