JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.733637171439046E+08,  4.508863802728409E+08, -1.875476968897596E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.727580078037251E+08,  4.519908685400392E+08, -1.878139938650057E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.721520296248249E+08,  4.530937054500884E+08, -1.880780825804472E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.715457833663667E+08,  4.541948815075328E+08, -1.883399417164528E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.709392697636540E+08,  4.552943872155676E+08, -1.885995499254218E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.703324895216477E+08,  4.563922130793345E+08, -1.888568858477938E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.697254433214090E+08,  4.574883496029350E+08, -1.891119280931205E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.691181318153917E+08,  4.585827872905197E+08, -1.893646552506104E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.685105556290166E+08,  4.596755166459150E+08, -1.896150458836073E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.679027153611680E+08,  4.607665281712802E+08, -1.898630785259402E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.672946115829841E+08,  4.618558123664996E+08, -1.901087316828182E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.666862448375868E+08,  4.629433597288969E+08, -1.903519838295951E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.660776156401772E+08,  4.640291607525077E+08, -1.905928134092617E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.654687244771391E+08,  4.651132059273042E+08, -1.908311988323158E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.648595718049121E+08,  4.661954857390848E+08, -1.910671184777370E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.642501580500554E+08,  4.672759906695985E+08, -1.913005506912041E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.636404836098386E+08,  4.683547111957549E+08, -1.915314737811634E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.630305488516297E+08,  4.694316377882360E+08, -1.917598660173157E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.624203541119530E+08,  4.705067609114608E+08, -1.919857056311119E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.618098996971147E+08,  4.715800710235853E+08, -1.922089708122495E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.611991858816200E+08,  4.726515585723830E+08, -1.924296397066176E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.605882129078444E+08,  4.737212140006803E+08, -1.926476904209340E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.599769809864680E+08,  4.747890277392617E+08, -1.928631010113570E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.593654902927159E+08,  4.758549902131040E+08, -1.930758494996196E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.587537409703169E+08,  4.769190918350872E+08, -1.932859138521829E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.581417331279196E+08,  4.779813230087831E+08, -1.934932719916096E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.575294668404449E+08,  4.790416741269376E+08, -1.936979017888790E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.569169421485331E+08,  4.801001355697805E+08, -1.938997810606208E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.563041590567784E+08,  4.811566977048818E+08, -1.940988875715533E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.556911175331812E+08,  4.822113508869165E+08, -1.942951990334076E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.550778175088875E+08,  4.832640854569088E+08, -1.944886931024313E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.544642588771228E+08,  4.843148917417488E+08, -1.946793473794922E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.538504414923332E+08,  4.853637600540712E+08, -1.948671394100171E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.532363651704354E+08,  4.864106806916300E+08, -1.950520466800570E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.526220296887690E+08,  4.874556439358799E+08, -1.952340466119933E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.520074347844104E+08,  4.884986400509136E+08, -1.954131165652534E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.513925801530778E+08,  4.895396592835942E+08, -1.955892338370946E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.507774654497305E+08,  4.905786918630137E+08, -1.957623756576476E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.501620902846413E+08,  4.916157279982085E+08, -1.959325191947427E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.495464542263491E+08,  4.926507578812154E+08, -1.960996415485737E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.489305567988765E+08,  4.936837716816859E+08, -1.962637197466832E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.483143974800677E+08,  4.947147595526138E+08, -1.964247307581106E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.476979757035595E+08,  4.957437116229635E+08, -1.965826514704788E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.470812908558449E+08,  4.967706180010849E+08, -1.967374587027177E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.464643422766894E+08,  4.977954687724646E+08, -1.968891291969347E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.458471292574439E+08,  4.988182539984596E+08, -1.970376396183008E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.452296510390539E+08,  4.998389637168830E+08, -1.971829665593284E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.446119068116914E+08,  5.008575879417319E+08, -1.973250865376791E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.439938957144799E+08,  5.018741166620924E+08, -1.974639759921035E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.433756168342508E+08,  5.028885398415035E+08, -1.975996112821165E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.427570692044637E+08,  5.039008474175771E+08, -1.977319686876234E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.421382518049349E+08,  5.049110293008906E+08, -1.978610244046488E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.415191635607835E+08,  5.059190753735942E+08, -1.979867545428130E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.408998033399265E+08,  5.069249754891871E+08, -1.981091351294470E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.402801699523045E+08,  5.079287194728951E+08, -1.982281421097904E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.396602621505954E+08,  5.089302971204725E+08, -1.983437513394579E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.390400786242070E+08,  5.099296981976528E+08, -1.984559385977596E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.384196180060204E+08,  5.109269124408270E+08, -1.985646795672011E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.377988788643554E+08,  5.119219295534936E+08, -1.986699498442605E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.371778597064612E+08,  5.129147392106932E+08, -1.987717249386033E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.365565589747689E+08,  5.139053310524683E+08, -1.988699802633399E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.359349750462517E+08,  5.148936946876190E+08, -1.989646911431810E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.353131062313468E+08,  5.158798196916559E+08, -1.990558328084201E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.346909507715463E+08,  5.168636956067120E+08, -1.991433803976834E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.340685068380218E+08,  5.178453119426519E+08, -1.992273089604121E+07,
