JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.043618329060056E+08,  4.185658373659447E+08, -1.012974004598323E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.035010976189966E+08,  4.194541220052673E+08, -1.007879617041257E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.026384170428296E+08,  4.203429545138315E+08, -1.002819511295047E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.017738064011382E+08,  4.212323306031854E+08, -9.977938318205625E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.009072808501307E+08,  4.221222458924359E+08, -9.928027194954664E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.000388554697021E+08,  4.230126959157705E+08, -9.878463119708121E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.991685452720205E+08,  4.239036761217471E+08, -9.829247435502797E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.982963651970638E+08,  4.247951818756933E+08, -9.780381453187943E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.974223301151844E+08,  4.256872084624504E+08, -9.731866452158809E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.965464548288844E+08,  4.265797510862919E+08, -9.683703680015057E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.956687540724550E+08,  4.274728048713837E+08, -9.635894352676779E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.947892425124171E+08,  4.283663648636122E+08, -9.588439654987127E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.939079347486234E+08,  4.292604260318409E+08, -9.541340740994185E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.930248453145107E+08,  4.301549832683271E+08, -9.494598733965367E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.921399886768500E+08,  4.310500313900280E+08, -9.448214726844281E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.912533792364446E+08,  4.319455651410573E+08, -9.402189783113807E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.903650313295991E+08,  4.328415791940416E+08, -9.356524937119305E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.894749592287371E+08,  4.337380681498079E+08, -9.311221193767399E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.885831771424359E+08,  4.346350265390431E+08, -9.266279529120505E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.876896992169303E+08,  4.355324488248567E+08, -9.221700891238809E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.867945395365617E+08,  4.364303293970929E+08, -9.177486197606474E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.858977121224811E+08,  4.373286625827396E+08, -9.133636339460731E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.849992309362118E+08,  4.382274426377850E+08, -9.090152178133428E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.840991098743649E+08,  4.391266637567005E+08, -9.047034549226433E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.831973627760375E+08,  4.400263200672522E+08, -9.004284259855419E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.822940034190975E+08,  4.409264056346610E+08, -8.961902090553164E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.813890455226928E+08,  4.418269144620551E+08, -8.919888795223087E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.804825027479366E+08,  4.427278404895777E+08, -8.878245100546837E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.795743886970487E+08,  4.436291775953662E+08, -8.836971706339091E+06,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.786647169139001E+08,  4.445309195971304E+08, -8.796069286128998E+06,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.777535008849887E+08,  4.454330602528653E+08, -8.755538487308890E+06,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.768407540394056E+08,  4.463355932613640E+08, -8.715379931225896E+06,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.759264897488359E+08,  4.472385122635751E+08, -8.675594213685334E+06,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.750107213288304E+08,  4.481418108440554E+08, -8.636181905460715E+06,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.740934620400409E+08,  4.490454825309509E+08, -8.597143552098066E+06,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.731747250878035E+08,  4.499495207953331E+08, -8.558479673466116E+06,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.722545236221399E+08,  4.508539190528046E+08, -8.520190764388978E+06,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.713328707393775E+08,  4.517586706650748E+08, -8.482277295218199E+06,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.704097794790643E+08,  4.526637689356778E+08, -8.444739709738255E+06,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.694852628287231E+08,  4.535692071199906E+08, -8.407578429656595E+06,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.685593337210673E+08,  4.544749784163528E+08, -8.370793850405574E+06,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.676320050352830E+08,  4.553810759757041E+08, -8.334386345495522E+06,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.667032895986320E+08,  4.562874928941614E+08, -8.298356262850732E+06,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.657732001853113E+08,  4.571942222181446E+08, -8.262703927149832E+06,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.648417495178738E+08,  4.581012569434517E+08, -8.227429639266282E+06,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.639089502668108E+08,  4.590085900147500E+08, -8.192533675865591E+06,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.629748150500311E+08,  4.599162143272667E+08, -8.158016290087759E+06,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.620393564336636E+08,  4.608241227279425E+08, -8.123877712000102E+06,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.611025869328196E+08,  4.617323080156035E+08, -8.090118148557156E+06,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.601645190115572E+08,  4.626407629414713E+08, -8.056737783713877E+06,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.592251650831436E+08,  4.635494802101359E+08, -8.023736778797567E+06,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.582845375110940E+08,  4.644584524797999E+08, -7.991115272545755E+06,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.573426486094615E+08,  4.653676723616483E+08, -7.958873380655676E+06,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.563995106417238E+08,  4.662771324200949E+08, -7.927011195707947E+06,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.554551358211167E+08,  4.671868251746968E+08, -7.895528788003296E+06,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.545095363124945E+08,  4.680967431008461E+08, -7.864426205851167E+06,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.535627242286459E+08,  4.690068786284109E+08, -7.833703474541813E+06,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.526147116369685E+08,  4.699172241467389E+08, -7.803360599024415E+06,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.516655105541772E+08,  4.708277719986298E+08, -7.773397560445130E+06,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.507151329503704E+08,  4.717385144889866E+08, -7.743814320561826E+06,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.497635907467934E+08,  4.726494438767668E+08, -7.714610817264408E+06,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.488108958167727E+08,  4.735605523811195E+08, -7.685786967528522E+06,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.478570599861183E+08,  4.744718321802257E+08, -7.657342666593969E+06,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.469020950323751E+08,  4.753832754116361E+08, -7.629277787776142E+06,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.459460126849078E+08,  4.762948741745350E+08, -7.601592183349401E+06,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.449888246256696E+08,  4.772066205304641E+08, -7.574285684726626E+06,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.440305424893843E+08,  4.781185065030978E+08, -7.547358102103919E+06,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.430711778630881E+08,  4.790305240788480E+08, -7.520809224477649E+06,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.421107422859197E+08,  4.799426652077442E+08, -7.494638819861650E+06,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.411492472491460E+08,  4.808549218033570E+08, -7.468846635071337E+06,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.401867041954315E+08,  4.817672857427142E+08, -7.443432395449340E+06,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.392231245177507E+08,  4.826797488677999E+08, -7.418395805397451E+06,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.382585195602744E+08,  4.835923029868066E+08, -7.393736549064845E+06,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.372929006195867E+08,  4.845049398731204E+08, -7.369454289937973E+06,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.363262789405221E+08,  4.854176512673349E+08, -7.345548671303570E+06,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.353586657230017E+08,  4.863304288750820E+08, -7.322019315944165E+06,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.343900721148246E+08,  4.872432643676225E+08, -7.298865825500727E+06,
