JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.931226740762638E+08,  4.210559574524438E+08, -9.335737148368627E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.922395995252993E+08,  4.221171652330233E+08, -9.341732490990579E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.913555197653909E+08,  4.231792637127656E+08, -9.348296744611800E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.904704602322850E+08,  4.242422535154973E+08, -9.355432293422431E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.895844466398324E+08,  4.253061350091298E+08, -9.363141455725342E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.886975049859579E+08,  4.263709083165649E+08, -9.371426491546690E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.878096615483230E+08,  4.274365732908911E+08, -9.380289591456026E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.869209428843497E+08,  4.285031295180281E+08, -9.389732879626751E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.860313758308669E+08,  4.295705763043348E+08, -9.399758409409672E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.851409875001138E+08,  4.306389126660434E+08, -9.410368159249187E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.842498052765001E+08,  4.317081373229437E+08, -9.421564030921429E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.833578568146993E+08,  4.327782486900281E+08, -9.433347847027510E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.824651700365462E+08,  4.338492448677835E+08, -9.445721347602755E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.815717731267312E+08,  4.349211236344972E+08, -9.458686187560409E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.806776945296574E+08,  4.359938824395425E+08, -9.472243934937745E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.797829629474785E+08,  4.370675183942968E+08, -9.486396068263382E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.788876073361176E+08,  4.381420282612376E+08, -9.501143972659171E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.779916568987913E+08,  4.392174084450085E+08, -9.516488936465740E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.770951410821326E+08,  4.402936549847587E+08, -9.532432149066269E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.761980895727459E+08,  4.413707635430458E+08, -9.548974697152764E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.753005322817540E+08,  4.424487293975382E+08, -9.566117560022593E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.744024993546538E+08,  4.435275474372932E+08, -9.583861612053812E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.735040211472888E+08,  4.446072121449078E+08, -9.602207612102568E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.726051282404022E+08,  4.456877176032654E+08, -9.621156211999059E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.717058514143028E+08,  4.467690574691737E+08, -9.640707941446990E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.708062216519219E+08,  4.478512249755853E+08, -9.660863212308675E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.699062701285682E+08,  4.489342129174649E+08, -9.681622312536001E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.690060282006646E+08,  4.500180136432397E+08, -9.702985402301997E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.681055273987832E+08,  4.511026190499255E+08, -9.724952512929022E+06,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.672047994198344E+08,  4.521880205743179E+08, -9.747523543978125E+06,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.663038761171353E+08,  4.532742091836273E+08, -9.770698259555608E+06,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.654027894910561E+08,  4.543611753690898E+08, -9.794476286093414E+06,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.645015716807253E+08,  4.554489091389444E+08, -9.818857110258698E+06,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.636002549539251E+08,  4.565374000077366E+08, -9.843840074905574E+06,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.626988716938852E+08,  4.576266369867393E+08, -9.869424374656379E+06,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.617974543864490E+08,  4.587166085798540E+08, -9.895609053914487E+06,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.608960356106638E+08,  4.598073027774268E+08, -9.922393005094767E+06,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.599946480272242E+08,  4.608987070454232E+08, -9.949774964406848E+06,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.590933243611525E+08,  4.619908083310980E+08, -9.977753512734503E+06,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.581920974020356E+08,  4.630835930394222E+08, -1.000632706952041E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.572909999742258E+08,  4.641770470405328E+08, -1.003549389127386E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.563900649437852E+08,  4.652711556571106E+08, -1.006525207192764E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.554893251834607E+08,  4.663659036596003E+08, -1.009559953462955E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.545888135717512E+08,  4.674612752625945E+08, -1.012653403387299E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.536885629728540E+08,  4.685572541177881E+08, -1.015805315080756E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.527886062209800E+08,  4.696538233127443E+08, -1.019015429180869E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.518889761093483E+08,  4.707509653688341E+08, -1.022283468830496E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.509897053750845E+08,  4.718486622357500E+08, -1.025609139432099E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.500908266820184E+08,  4.729468952870843E+08, -1.028992128374565E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.491923726055264E+08,  4.740456453183804E+08, -1.032432104909801E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.482943756170456E+08,  4.751448925443898E+08, -1.035928720007792E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.473968680649924E+08,  4.762446165953473E+08, -1.039481606073341E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.464998821558093E+08,  4.773447965172404E+08, -1.043090376781014E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.456034499402945E+08,  4.784454107758984E+08, -1.046754627193412E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.447076032996163E+08,  4.795464372544916E+08, -1.050473933694282E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.438123739243261E+08,  4.806478532482562E+08, -1.054247853621531E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.429177933022403E+08,  4.817496354815423E+08, -1.058075925803578E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.420238926963047E+08,  4.828517600806909E+08, -1.061957669581953E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.411307031253343E+08,  4.839542026072286E+08, -1.065892585522455E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.402382553537488E+08,  4.850569380307510E+08, -1.069880154945672E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.393465798630519E+08,  4.861599407574520E+08, -1.073919840094563E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.384557068432014E+08,  4.872631846209328E+08, -1.078011084173894E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.375656661698679E+08,  4.883666428894619E+08, -1.082153311267340E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.366764873893942E+08,  4.894702882745296E+08, -1.086345926529604E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.357881997045799E+08,  4.905740929333808E+08, -1.090588316302860E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.349008319540143E+08,  4.916780284725270E+08, -1.094879848055452E+07,
