JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.704478268661684E+08,  9.886179238859099E+08, -6.089977734070623E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.699159079632854E+08,  9.891283233626152E+08, -6.094291641739315E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.693828314584215E+08,  9.896379242910225E+08, -6.098570806833607E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.688486024322768E+08,  9.901467363141721E+08, -6.102815351674718E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.683132259541439E+08,  9.906547688734591E+08, -6.107025400201172E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.677767070793091E+08,  9.911620312138438E+08, -6.111201077791399E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.672390508525870E+08,  9.916685323872428E+08, -6.115342511446786E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.667002623108778E+08,  9.921742812500226E+08, -6.119449829892582E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.661603464721668E+08,  9.926792864729085E+08, -6.123523162903941E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.656193083359544E+08,  9.931835565471551E+08, -6.127562641311634E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.650771528824358E+08,  9.936870997880564E+08, -6.131568396926516E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.645338850716791E+08,  9.941899243384551E+08, -6.135540562463784E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.639895098428040E+08,  9.946920381722528E+08, -6.139479271467453E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.634440321131600E+08,  9.951934490979164E+08, -6.143384658234638E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.628974567775044E+08,  9.956941647619870E+08, -6.147256857739931E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.623497887071794E+08,  9.961941926525865E+08, -6.151096005559862E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.618010327492901E+08,  9.966935401029241E+08, -6.154902237797153E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.612511937258818E+08,  9.971922142948030E+08, -6.158675691005206E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.607002764331168E+08,  9.976902222621258E+08, -6.162416502112395E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.601482856404520E+08,  9.981875708943995E+08, -6.166124808346504E+07,
