JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.582884356939926E+08,  9.723267057949210E+08, -6.510451269802654E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.577777286312472E+08,  9.729210544856572E+08, -6.507526920727354E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.572663995986819E+08,  9.735160689098028E+08, -6.504478912686831E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.567544327767895E+08,  9.741117470396377E+08, -6.501307430968010E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.562418123614072E+08,  9.747080867870802E+08, -6.498012667985409E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.557285225625666E+08,  9.753050860037601E+08, -6.494594823273879E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.552145476026855E+08,  9.759027424794952E+08, -6.491054103384751E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.546998717164060E+08,  9.765010539403955E+08, -6.487390722271878E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.541844791499188E+08,  9.771000180518119E+08, -6.483604901244581E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.536683541590670E+08,  9.776996324179820E+08, -6.479696868770289E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.531514810083027E+08,  9.782998945815381E+08, -6.475666860529959E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.526338439696410E+08,  9.789008020230136E+08, -6.471515119473606E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.521154273216146E+08,  9.795023521603492E+08, -6.467241895875752E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.515962153482295E+08,  9.801045423483983E+08, -6.462847447390944E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.510761923379174E+08,  9.807073698784311E+08, -6.458332039109194E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.505553425824904E+08,  9.813108319776400E+08, -6.453695943611538E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.500336503760948E+08,  9.819149258086427E+08, -6.448939441025466E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.495111000141642E+08,  9.825196484689858E+08, -6.444062819080460E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.489876757923735E+08,  9.831249969906474E+08, -6.439066373163474E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.484633620055921E+08,  9.837309683395401E+08, -6.433950406374460E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.479381429468359E+08,  9.843375594150120E+08, -6.428715229581845E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.474120029062215E+08,  9.849447670493493E+08, -6.423361161478096E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.468849261699182E+08,  9.855525880072763E+08, -6.417888528635138E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.463568970191016E+08,  9.861610189854568E+08, -6.412297665560013E+07,
