JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.278825823072877E+08,  4.314491026080711E+08, -3.408927767821422E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.271972819487970E+08,  4.322996488936434E+08, -3.406565534449267E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.265099989560689E+08,  4.331494106011099E+08, -3.404158998639694E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.258207354584754E+08,  4.339983873372603E+08, -3.401708253879863E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.251294935763577E+08,  4.348465787011963E+08, -3.399213393026823E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.244362754221600E+08,  4.356939842840315E+08, -3.396674508458592E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.237410830994213E+08,  4.365406036692684E+08, -3.394091691943809E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.230439187035439E+08,  4.373864364329444E+08, -3.391465034731865E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.223447843215417E+08,  4.382314821436631E+08, -3.388794627527054E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.216436820319555E+08,  4.390757403629668E+08, -3.386080560466854E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.209406139050620E+08,  4.399192106456576E+08, -3.383322923137520E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.202355820029343E+08,  4.407618925399441E+08, -3.380521804581062E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.195285883794209E+08,  4.416037855876407E+08, -3.377677293289645E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  6.188196350802593E+08,  4.424448893244646E+08, -3.374789477211475E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  6.181087241432371E+08,  4.432852032802244E+08, -3.371858443767476E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  6.173958575981863E+08,  4.441247269788620E+08, -3.368884279855354E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  6.166810374668921E+08,  4.449634599386255E+08, -3.365867071837166E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  6.159642657631667E+08,  4.458014016724430E+08, -3.362806905536744E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  6.152455444929708E+08,  4.466385516880463E+08, -3.359703866254616E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  6.145248756542889E+08,  4.474749094879539E+08, -3.356558038760987E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  6.138022612372952E+08,  4.483104745704684E+08, -3.353369507275340E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  6.130777032244486E+08,  4.491452464287907E+08, -3.350138355523032E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  6.123512035902909E+08,  4.499792245521750E+08, -3.346864666670078E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  6.116227643022448E+08,  4.508124084254019E+08, -3.343548523438874E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  6.108923873196794E+08,  4.516447975293489E+08, -3.340190007987061E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  6.101600745945723E+08,  4.524763913409734E+08, -3.336789201986983E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  6.094258280712340E+08,  4.533071893334733E+08, -3.333346186595061E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  6.086896496863096E+08,  4.541371909766835E+08, -3.329861042439473E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  6.079515413690296E+08,  4.549663957373030E+08, -3.326333849643767E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  6.072115050412512E+08,  4.557948030789750E+08, -3.322764687834936E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  6.064695426174160E+08,  4.566224124624500E+08, -3.319153636137861E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  6.057256560046524E+08,  4.574492233458214E+08, -3.315500773181546E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  6.049798471028892E+08,  4.582752351846588E+08, -3.311806177112007E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  6.042321178047820E+08,  4.591004474320689E+08, -3.308069925589043E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  6.034824699956163E+08,  4.599248595389294E+08, -3.304292095771524E+07,
