JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.328728466282803E+09, -1.238739916922440E+09,  1.196484294102834E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.328621630482888E+09, -1.239172393894842E+09,  1.196754938686807E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.328514788780592E+09, -1.239604889519523E+09,  1.197025681541756E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.328407941176802E+09, -1.240037403861791E+09,  1.197296522420013E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.328301087671489E+09, -1.240469936986989E+09,  1.197567461072416E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.328194228263643E+09, -1.240902488960345E+09,  1.197838497248372E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.328087362951231E+09, -1.241335059846783E+09,  1.198109630695956E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.327980491731195E+09, -1.241767649710733E+09,  1.198380861162078E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.327873614599508E+09, -1.242200258615915E+09,  1.198652188392688E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.327766731551274E+09, -1.242632886625145E+09,  1.198923612133036E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.327659842580886E+09, -1.243065533800152E+09,  1.199195132127948E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.327552947682220E+09, -1.243498200201436E+09,  1.199466748122130E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.327446046848870E+09, -1.243930885888186E+09,  1.199738459860438E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.327339140074402E+09, -1.244363590918248E+09,  1.200010267088133E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.327232227352585E+09, -1.244796315348153E+09,  1.200282169551072E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.327125308677634E+09, -1.245229059233211E+09,  1.200554166995847E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.327018384044391E+09, -1.245661822627641E+09,  1.200826259169840E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.326911453448470E+09, -1.246094605584736E+09,  1.201098445821225E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.326804516886374E+09, -1.246527408157049E+09,  1.201370726698908E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.326697574355538E+09, -1.246960230396575E+09,  1.201643101552426E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.326590625854339E+09, -1.247393072354931E+09,  1.201915570131805E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.326483671382086E+09, -1.247825934083513E+09,  1.202188132187411E+08,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.326376710938968E+09, -1.248258815633636E+09,  1.202460787469794E+08,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.326269744525990E+09, -1.248691717056644E+09,  1.202733535729532E+08,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.326162772144902E+09, -1.249124638404002E+09,  1.203006376717091E+08,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.326055793798122E+09, -1.249557579727355E+09,  1.203279310182696E+08,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.325948809488655E+09, -1.249990541078581E+09,  1.203552335876225E+08,
