JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.352136094059090E+09, -1.257926956897210E+09,  1.261606113237379E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352011781665889E+09, -1.258455344298954E+09,  1.261394696513918E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.351960147403106E+09, -1.258935122120171E+09,  1.261648929561653E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.351877642106050E+09, -1.259322934191657E+09,  1.262110753221318E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351702388913454E+09, -1.259699623021345E+09,  1.262241816096335E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351497488110810E+09, -1.260160680683948E+09,  1.261950939908861E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351365651710043E+09, -1.260688078874005E+09,  1.261713815226935E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351311415566621E+09, -1.261174435524617E+09,  1.261934833714502E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351234444008100E+09, -1.261567407677559E+09,  1.262400842263347E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.351065055995461E+09, -1.261940779961564E+09,  1.262567671078940E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.350858150968173E+09, -1.262394441124675E+09,  1.262295755949997E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350718831654577E+09, -1.262920221729702E+09,  1.262035086742783E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350661419560100E+09, -1.263412853958561E+09,  1.262221577098920E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350589585875180E+09, -1.263811424876421E+09,  1.262688760895721E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350426389844728E+09, -1.264182060953372E+09,  1.262890826073809E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350218082683152E+09, -1.264628254184110E+09,  1.262640636892577E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.350071332458394E+09, -1.265151781957385E+09,  1.262358767801939E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.350010158158307E+09, -1.265650354437449E+09,  1.262509349698752E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.349943038135996E+09, -1.266054958583061E+09,  1.262974356088673E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.349786360015308E+09, -1.266423477433257E+09,  1.263210882934590E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.349577296840013E+09, -1.266862167014643E+09,  1.262985372800992E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.349423207082361E+09, -1.267382785369843E+09,  1.262685121321368E+08,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.349357662234459E+09, -1.267886896364474E+09,  1.262798654855252E+08,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.349294758837950E+09, -1.268297943585297E+09,  1.263257777906837E+08,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.349144891324802E+09, -1.268665021927958E+09,  1.263527417086083E+08,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.348935774619118E+09, -1.269096248183964E+09,  1.263329413219838E+08,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.348774525751685E+09, -1.269613294151720E+09,  1.263014135330868E+08,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.348704011951230E+09, -1.270122454113231E+09,  1.263090063606536E+08,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.348644736283006E+09, -1.270540288848887E+09,  1.263539526608315E+08,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.348501889668513E+09, -1.270906648488956E+09,  1.263840265451486E+08,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.348293448611990E+09, -1.271330551360808E+09,  1.263672120278965E+08,
2433313.500000000, A.D. 1950-Feb-01 00:00:00.0000, -4.348125332438275E+09, -1.271843399883117E+09,  1.263345436731392E+08,
2433314.500000000, A.D. 1950-Feb-02 00:00:00.0000, -4.348049313023931E+09, -1.272357042572964E+09,  1.263383908906149E+08,
2433315.500000000, A.D. 1950-Feb-03 00:00:00.0000, -4.347993011218877E+09, -1.272781911688930E+09,  1.263820244272714E+08,
2433316.500000000, A.D. 1950-Feb-04 00:00:00.0000, -4.347857280792128E+09, -1.273148276281402E+09,  1.264149627677555E+08,
2433317.500000000, A.D. 1950-Feb-05 00:00:00.0000, -4.347650222410904E+09, -1.273565091617067E+09,  1.264013063539455E+08,
2433318.500000000, A.D. 1950-Feb-06 00:00:00.0000, -4.347475619861382E+09, -1.274073189970067E+09,  1.263678478393431E+08,
2433319.500000000, A.D. 1950-Feb-07 00:00:00.0000, -4.347393654169564E+09, -1.274590711648131E+09,  1.263680158712431E+08,
2433320.500000000, A.D. 1950-Feb-08 00:00:00.0000, -4.347339659393554E+09, -1.275022766176323E+09,  1.264100400727326E+08,
2433321.500000000, A.D. 1950-Feb-09 00:00:00.0000, -4.347211040842570E+09, -1.275389822642410E+09,  1.264455913672487E+08,
2433322.500000000, A.D. 1950-Feb-10 00:00:00.0000, -4.347006007817188E+09, -1.275799847456864E+09,  1.264352158637725E+08,
2433323.500000000, A.D. 1950-Feb-11 00:00:00.0000, -4.346825342073367E+09, -1.276302718021804E+09,  1.264012853606256E+08,
2433324.500000000, A.D. 1950-Feb-12 00:00:00.0000, -4.346737079184618E+09, -1.276823517975223E+09,  1.263978555700130E+08,
