JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.090230381205150E+08,  4.398544038797346E+08, -1.046968975943106E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.083458157061564E+08,  4.410752272362472E+08, -1.053773898619363E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.076610598096216E+08,  4.422953620796386E+08, -1.060836887668642E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.069687091970392E+08,  4.435146634268835E+08, -1.068155966177955E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.062687043403872E+08,  4.447329831842926E+08, -1.075728990301302E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.055609875700153E+08,  4.459501701789140E+08, -1.083553636695659E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.048455031901956E+08,  4.471660700186920E+08, -1.091627400173444E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.041221976422962E+08,  4.483805251261275E+08, -1.099947583301196E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.033910196692728E+08,  4.495933746672040E+08, -1.108511288819885E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  6.026519204456166E+08,  4.508044545099354E+08, -1.117315414460358E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  6.019048537314888E+08,  4.520135972235628E+08, -1.126356645937753E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  6.011497760584807E+08,  4.532206320655764E+08, -1.135631448560220E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  6.003866469119982E+08,  4.544253849621885E+08, -1.145136059525529E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.996154289074364E+08,  4.556276785114124E+08, -1.154866480706495E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.988360879908407E+08,  4.568273320036672E+08, -1.164818470338261E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.980485936678104E+08,  4.580241614346228E+08, -1.174987533843365E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.972529192212851E+08,  4.592179795140184E+08, -1.185368915950280E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.964490419085433E+08,  4.604085957018395E+08, -1.195957594153252E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.956369432024552E+08,  4.615958162707779E+08, -1.206748269997835E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.948166090679021E+08,  4.627794443542201E+08, -1.217735359486324E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.939880301128570E+08,  4.639592800056847E+08, -1.228912990839508E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.931512019411730E+08,  4.651351202833282E+08, -1.240274989991385E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.923061253727179E+08,  4.663067593963652E+08, -1.251814878419712E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.914528066449739E+08,  4.674739887868832E+08, -1.263525863864323E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.905912578054827E+08,  4.686365972787757E+08, -1.275400832879603E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.897214969177207E+08,  4.697943712453618E+08, -1.287432344671986E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.888435484017422E+08,  4.709470947778574E+08, -1.299612623993996E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.879574433073987E+08,  4.720945498427804E+08, -1.311933556697941E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.870632195591003E+08,  4.732365164922434E+08, -1.324386685722160E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.861609222538857E+08,  4.743727731231945E+08, -1.336963206143090E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.852506039749261E+08,  4.755030967398874E+08, -1.349653960885671E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.843323250702684E+08,  4.766272632196651E+08, -1.362449438176236E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.834061539228935E+08,  4.777450476215899E+08, -1.375339769827089E+07,
