JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.651507039014429E+08,  1.001743848288620E+09, -6.067431849978352E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.645961727703407E+08,  1.002257626041448E+09, -6.066709529414022E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.640410894029070E+08,  1.002770569928895E+09, -6.065972642070198E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.634854513866736E+08,  1.003282679798087E+09, -6.065221131403428E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.629292562979717E+08,  1.003793955508720E+09, -6.064454940864670E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.623725017019471E+08,  1.004304396933227E+09, -6.063674013902056E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.618151851522157E+08,  1.004814003957070E+09, -6.062878293969786E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.612573041912950E+08,  1.005322776478839E+09, -6.062067724532229E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.606988563509337E+08,  1.005830714410279E+09, -6.061242249058145E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.601398391517539E+08,  1.006337817676558E+09, -6.060401811027157E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.595802501032866E+08,  1.006844086216445E+09, -6.059546353933358E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.590200867040056E+08,  1.007349519982466E+09, -6.058675821288967E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.584593464413615E+08,  1.007854118941081E+09, -6.057790156627929E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.578980267918166E+08,  1.008357883072839E+09, -6.056889303509647E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.573361252208767E+08,  1.008860812372554E+09, -6.055973205522507E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.567736391831261E+08,  1.009362906849459E+09, -6.055041806287646E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.562105661222599E+08,  1.009864166527378E+09, -6.054095049462491E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.556469034711174E+08,  1.010364591444885E+09, -6.053132878744531E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.550826486517149E+08,  1.010864181655471E+09, -6.052155237874848E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.545177990752785E+08,  1.011362937227703E+09, -6.051162070641899E+07,
