JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.890671926464944E+08,  4.467308350951807E+08, -1.027939308302906E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.881874753826584E+08,  4.475007872461234E+08, -1.032299843498856E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.873114399382852E+08,  4.482664034130666E+08, -1.036929861904311E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.864391526100698E+08,  4.490278130655290E+08, -1.041824092382050E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.855706760319130E+08,  4.497851453263065E+08, -1.046977203524125E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.847060692030286E+08,  4.505385288942195E+08, -1.052383805593780E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.838453876455250E+08,  4.512880919909532E+08, -1.058038460923773E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.829886834170561E+08,  4.520339623136656E+08, -1.063935683505121E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.821360052143376E+08,  4.527762669938368E+08, -1.070069944848830E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.812873984578919E+08,  4.535151325371108E+08, -1.076435679139695E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.804429053485315E+08,  4.542506847753690E+08, -1.083027286033309E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.796025649393187E+08,  4.549830488347553E+08, -1.089839133979714E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.787664132161691E+08,  4.557123490976621E+08, -1.096865564259064E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.779344831603777E+08,  4.564387091583295E+08, -1.104100894016847E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.771068047990460E+08,  4.571622517938561E+08, -1.111539418159518E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.762834052710863E+08,  4.578830989533331E+08, -1.119175411809540E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.754643089103118E+08,  4.586013717367534E+08, -1.127003134050098E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.746495373143209E+08,  4.593171903537673E+08, -1.135016831227097E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.738391093911972E+08,  4.600306741046936E+08, -1.143210738428825E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.730330414278486E+08,  4.607419413823868E+08, -1.151579081808648E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.722313471709993E+08,  4.614511095930085E+08, -1.160116083144933E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.714340378371739E+08,  4.621582952166722E+08, -1.168815957626370E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.706411222187588E+08,  4.628636137446309E+08, -1.177672919854259E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.698526066593966E+08,  4.635671796640459E+08, -1.186681181127110E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.690684951974927E+08,  4.642691064817354E+08, -1.195834955532095E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.682887895555494E+08,  4.649695066832769E+08, -1.205128458799735E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.675134892035301E+08,  4.656684917484879E+08, -1.214555910364208E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.667425914307313E+08,  4.663661721396062E+08, -1.224111535839924E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.659760913845371E+08,  4.670626572797064E+08, -1.233789568107882E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.652139821060489E+08,  4.677580555505503E+08, -1.243584248194733E+07,
