JDTDB,Calendar Date (TDB),X,Y,Z,
2446431.500000000, A.D. 1986-Jan-01 00:00:00.0000, -5.623027836031994E+08, -2.804200559922266E+09, -3.023052504181027E+06,
2446432.500000000, A.D. 1986-Jan-02 00:00:00.0000, -5.616973727591815E+08, -2.804355115149909E+09, -3.068178006422877E+06,
2446433.500000000, A.D. 1986-Jan-03 00:00:00.0000, -5.611150211409235E+08, -2.804506075539786E+09, -3.125122245812893E+06,
2446434.500000000, A.D. 1986-Jan-04 00:00:00.0000, -5.605580993663552E+08, -2.804651125682198E+09, -3.180811588545918E+06,
2446435.500000000, A.D. 1986-Jan-05 00:00:00.0000, -5.600222589453049E+08, -2.804789478211672E+09, -3.222499245843649E+06,
2446436.500000000, A.D. 1986-Jan-06 00:00:00.0000, -5.594974952469655E+08, -2.804922097150105E+09, -3.241107555816770E+06,
2446437.500000000, A.D. 1986-Jan-07 00:00:00.0000, -5.589707642539690E+08, -2.805051458851852E+09, -3.233697870903373E+06,
2446438.500000000, A.D. 1986-Jan-08 00:00:00.0000, -5.584294641187152E+08, -2.805180899991928E+09, -3.204320874173403E+06,
2446439.500000000, A.D. 1986-Jan-09 00:00:00.0000, -5.578648350816720E+08, -2.805313732551270E+09, -3.163034858005643E+06,
2446440.500000000, A.D. 1986-Jan-10 00:00:00.0000, -5.572744885079715E+08, -2.805452313001839E+09, -3.123186358332753E+06,
2446441.500000000, A.D. 1986-Jan-11 00:00:00.0000, -5.566630082613906E+08, -2.805597398725845E+09, -3.097683766656280E+06,
2446442.500000000, A.D. 1986-Jan-12 00:00:00.0000, -5.560406771302109E+08, -2.805747953937808E+09, -3.095528597750664E+06,
2446443.500000000, A.D. 1986-Jan-13 00:00:00.0000, -5.554206500401660E+08, -2.805901436354396E+09, -3.119354900977492E+06,
2446444.500000000, A.D. 1986-Jan-14 00:00:00.0000, -5.548153468728247E+08, -2.806054513484450E+09, -3.164846315747738E+06,
2446445.500000000, A.D. 1986-Jan-15 00:00:00.0000, -5.542332338305998E+08, -2.806203937137470E+09, -3.221933589984179E+06,
2446446.500000000, A.D. 1986-Jan-16 00:00:00.0000, -5.536765601838688E+08, -2.806347410544212E+09, -3.277478555661321E+06,
2446447.500000000, A.D. 1986-Jan-17 00:00:00.0000, -5.531408085660070E+08, -2.806484189224664E+09, -3.318772821916819E+06,
2446448.500000000, A.D. 1986-Jan-18 00:00:00.0000, -5.526158929255053E+08, -2.806615270586197E+09, -3.336851709858775E+06,
2446449.500000000, A.D. 1986-Jan-19 00:00:00.0000, -5.520887232469773E+08, -2.806743159096252E+09, -3.328911794865489E+06,
2446450.500000000, A.D. 1986-Jan-20 00:00:00.0000, -5.515467488557714E+08, -2.806871202048375E+09, -3.299169557069182E+06,
