JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.198065566112591E+09, -2.032854947105669E+09, -5.134875004716527E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.198474524343262E+09, -2.032441903777146E+09, -5.137562194671154E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.198883397707638E+09, -2.032028723583899E+09, -5.140243447306871E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.199292186137150E+09, -2.031615406661186E+09, -5.142918762834167E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.199700889563243E+09, -2.031201953144002E+09, -5.145588141454649E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.200109507917412E+09, -2.030788363167116E+09, -5.148251583361185E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.200518041131229E+09, -2.030374636865114E+09, -5.150909088739038E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.200926489136402E+09, -2.029960774372431E+09, -5.153560657766020E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.201334851864830E+09, -2.029546775823384E+09, -5.156206290613437E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.201743129248674E+09, -2.029132641352188E+09, -5.158845987446570E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.202151321220435E+09, -2.028718371092968E+09, -5.161479748425686E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.202559427713048E+09, -2.028303965179761E+09, -5.164107573706758E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.202967448659981E+09, -2.027889423746488E+09, -5.166729463442230E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.203375383995344E+09, -2.027474746926911E+09, -5.169345417781401E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.203783233653996E+09, -2.027059934854560E+09, -5.171955436870825E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.204190997571636E+09, -2.026644987662619E+09, -5.174559520854092E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.204598675684892E+09, -2.026229905483792E+09, -5.177157669871378E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.205006267931365E+09, -2.025814688450137E+09, -5.179749884058583E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.205413774249642E+09, -2.025399336692876E+09, -5.182336163545704E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.205821194579268E+09, -2.024983850342199E+09, -5.184916508455122E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.206228528860660E+09, -2.024568229527074E+09, -5.187490918899059E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.206635777034970E+09, -2.024152474375056E+09, -5.190059394976854E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.207042939043904E+09, -2.023736585012144E+09, -5.192621936771464E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.207450014829505E+09, -2.023320561562682E+09, -5.195178544347191E+07,
2420979.500370370, A.D. 1916-Apr-26 00:00:32.0000,  2.207857004333901E+09, -2.022904404149321E+09, -5.197729217746592E+07,
2420980.500370370, A.D. 1916-Apr-27 00:00:32.0000,  2.208263907499065E+09, -2.022488112893034E+09, -5.200273956988621E+07,
2420981.500370370, A.D. 1916-Apr-28 00:00:32.0000,  2.208670724266589E+09, -2.022071687913203E+09, -5.202812762067187E+07,
2420982.500370370, A.D. 1916-Apr-29 00:00:32.0000,  2.209077454577485E+09, -2.021655129327747E+09, -5.205345632949996E+07,
2420983.500370370, A.D. 1916-Apr-30 00:00:32.0000,  2.209484098372025E+09, -2.021238437253277E+09, -5.207872569578552E+07,
2420984.500370370, A.D. 1916-May-01 00:00:32.0000,  2.209890655589638E+09, -2.020821611805285E+09, -5.210393571868360E+07,
2420985.500370370, A.D. 1916-May-02 00:00:32.0000,  2.210297126168836E+09, -2.020404653098333E+09, -5.212908639709854E+07,
2420986.500370370, A.D. 1916-May-03 00:00:32.0000,  2.210703510047199E+09, -2.019987561246238E+09, -5.215417772969854E+07,
2420987.500370370, A.D. 1916-May-04 00:00:32.0000,  2.211109807161392E+09, -2.019570336362249E+09, -5.217920971492910E+07,
2420988.500370370, A.D. 1916-May-05 00:00:32.0000,  2.211516017447204E+09, -2.019152978559190E+09, -5.220418235102880E+07,
2420989.500370370, A.D. 1916-May-06 00:00:32.0000,  2.211922140839621E+09, -2.018735487949587E+09, -5.222909563604546E+07,
2420990.500370370, A.D. 1916-May-07 00:00:32.0000,  2.212328177272899E+09, -2.018317864645770E+09, -5.225394956784797E+07,
2420991.500370370, A.D. 1916-May-08 00:00:32.0000,  2.212734126680644E+09, -2.017900108759942E+09, -5.227874414414060E+07,
