JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.714851949885386E+08,  4.570744341921349E+08, -2.205637876972556E+04,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.708730980666820E+08,  4.581213791967350E+08,  2.634093919038773E+03,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.702601577298249E+08,  4.591667938959975E+08,  2.698046812960505E+04,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.696463754513985E+08,  4.602106742320295E+08,  5.098207427090406E+04,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.690317527145427E+08,  4.612530161456971E+08,  7.463823662868142E+04,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.684162910111897E+08,  4.622938155777552E+08,  9.794827466487885E+04,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.677999918430675E+08,  4.633330684674254E+08,  1.209115013979971E+05,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.671828567207863E+08,  4.643707707528530E+08,  1.435272243440449E+05,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.665648871641728E+08,  4.654069183707035E+08,  1.657947449944019E+05,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.659460847021661E+08,  4.664415072555885E+08,  1.877133585379422E+05,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.653264508724313E+08,  4.674745333398088E+08,  2.092823539855480E+05,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.647059872212625E+08,  4.685059925531123E+08,  2.305010140741765E+05,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.640846953035065E+08,  4.695358808223101E+08,  2.513686150710881E+05,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.634625766822413E+08,  4.705641940709432E+08,  2.718844268004298E+05,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.628396329285096E+08,  4.715909282191279E+08,  2.920477127318680E+05,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.622158656213820E+08,  4.726160791833718E+08,  3.118577297971845E+05,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.615912763479941E+08,  4.736396428761241E+08,  3.313137280699015E+05,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.609658667031966E+08,  4.746616152052625E+08,  3.504149507074654E+05,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.603396382893620E+08,  4.756819920739340E+08,  3.691606339854300E+05,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.597125927165842E+08,  4.767007693802909E+08,  3.875500069592893E+05,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.590847316016586E+08,  4.777179430163647E+08,  4.055822915531099E+05,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.584560565688994E+08,  4.787335088691363E+08,  4.232567025505602E+05,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.578265692492462E+08,  4.797474628186455E+08,  4.405724471162558E+05,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.571962712801740E+08,  4.807598007394012E+08,  4.575287257321179E+05,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.565651643059540E+08,  4.817705184984503E+08,  4.741247307747304E+05,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.559332499771357E+08,  4.827796119559885E+08,  4.903596472968459E+05,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.553005299507390E+08,  4.837870769646856E+08,  5.062326524452269E+05,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.546670058899277E+08,  4.847929093690408E+08,  5.217429152949452E+05,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.540326794635866E+08,  4.857971050051883E+08,  5.368895970437825E+05,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.533975523462212E+08,  4.867996597006253E+08,  5.516718509160876E+05,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.527616262178632E+08,  4.878005692737799E+08,  5.660888219600618E+05,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.521249027637891E+08,  4.887998295336665E+08,  5.801396470445395E+05,
