JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.565421652090170E+08,  9.807898517840399E+08, -5.515937583763409E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.558949294150044E+08,  9.813609657007453E+08, -5.513877522762805E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.552466614882590E+08,  9.819320259262278E+08, -5.511825794338769E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.545973875588717E+08,  9.825030517559887E+08, -5.509783680599129E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.539471371760482E+08,  9.830740867387347E+08, -5.507753744724888E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.532959501215273E+08,  9.836451214578853E+08, -5.505735961505425E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.526438387958274E+08,  9.842161657126665E+08, -5.503730940794182E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.519908582003262E+08,  9.847872400000095E+08, -5.501740314709121E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513370613862278E+08,  9.853583743548326E+08, -5.499766177512681E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.506824960806935E+08,  9.859295963493557E+08, -5.497810444738811E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.500272068964180E+08,  9.865009483897723E+08, -5.495875762030137E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.493712231236159E+08,  9.870724545679560E+08, -5.493963681454659E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.487145931269732E+08,  9.876441528976085E+08, -5.492076665162635E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.480573296839474E+08,  9.882160691353295E+08, -5.490216185116756E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.473994679750891E+08,  9.887882310082150E+08, -5.488384041345632E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.467410198777254E+08,  9.893606479425817E+08, -5.486580851522982E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.460820161692679E+08,  9.899333238403352E+08, -5.484807133970147E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.454224831510432E+08,  9.905062579746033E+08, -5.483063122983646E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.447624737504818E+08,  9.910794529761951E+08, -5.481349501255882E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.441020287611012E+08,  9.916528817951107E+08, -5.479665295432359E+07,
