JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.979797576564902E+08,  4.408104092075106E+08, -1.521684024880564E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.974156874595190E+08,  4.415634569352514E+08, -1.521121850340000E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.967645878723733E+08,  4.427627694465036E+08, -1.519068470511365E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.958987258216845E+08,  4.435586849475376E+08, -1.518771429780051E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.954495150418541E+08,  4.445337114731686E+08, -1.517212182353470E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.945598279442868E+08,  4.456287663907630E+08, -1.515853645942143E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.939355679313600E+08,  4.463535662799191E+08, -1.515431804632890E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.933329382451413E+08,  4.475319688158739E+08, -1.513333733540756E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.924261662475193E+08,  4.483691565221209E+08, -1.512902487656665E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.919671401901808E+08,  4.492813196810256E+08, -1.511532148292771E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.911087355730945E+08,  4.504142105254148E+08, -1.509946834571946E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.904203831497039E+08,  4.511241141708826E+08, -1.509622090419576E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.898609041151557E+08,  4.522690284698212E+08, -1.507533413421309E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.889251452240090E+08,  4.531543528774028E+08, -1.506924629458764E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.884424658418483E+08,  4.540057565456325E+08, -1.505756408010307E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.876244059291185E+08,  4.551658129089587E+08, -1.503969344523478E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.868714697625862E+08,  4.558744343621942E+08, -1.503692834638146E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.863471230579926E+08,  4.569747820400023E+08, -1.501666112573066E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.853957692209903E+08,  4.579117849613194E+08, -1.500846243294975E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.848767484903184E+08,  4.587078072830764E+08, -1.499880420503405E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.841053605051086E+08,  4.598828449626728E+08, -1.497925205504549E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.832903412012513E+08,  4.606034868179283E+08, -1.497645435726112E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.827907952527406E+08,  4.616499888503598E+08, -1.495729738702655E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.818380277085012E+08,  4.626387607628334E+08, -1.494676506732142E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.812718895964023E+08,  4.633878582153249E+08, -1.493899872468993E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.805507128108779E+08,  4.645646565257887E+08, -1.491817700747851E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.796795040370333E+08,  4.653099702500139E+08, -1.491481301471770E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.791924117623618E+08,  4.662966176805689E+08, -1.489716137533674E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.782514153232051E+08,  4.673341819556568E+08, -1.488420109439909E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.776294201652850E+08,  4.680469120562162E+08, -1.487808822275624E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.769587873477833E+08,  4.692115349610858E+08, -1.485647755319899E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.760400776925037E+08,  4.699923664209568E+08, -1.485204249694896E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.755519489468701E+08,  4.709161035411401E+08, -1.483619770569694E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.746350361506299E+08,  4.719964920733309E+08, -1.482084174488643E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.739512560838159E+08,  4.726853835248134E+08, -1.481602581212178E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.733277404093759E+08,  4.738241778125214E+08, -1.479415173696920E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.723723640659117E+08,  4.746485554847767E+08, -1.478821278979743E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.718696581450737E+08,  4.755092976230811E+08, -1.477436421562290E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.709877834344363E+08,  4.766237511806592E+08, -1.475677154740784E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.702397024787337E+08,  4.773022595227879E+08, -1.475280963692224E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.696571198623896E+08,  4.784029775929074E+08, -1.473119353591469E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.686777233746412E+08,  4.792767131615621E+08, -1.472336877139941E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.681469628034469E+08,  4.800780216818078E+08, -1.471157139841458E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.673084090648185E+08,  4.812152743202567E+08, -1.469203563323385E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.664967288545182E+08,  4.818969398103849E+08, -1.468842710344198E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.659462058964394E+08,  4.829493277501679E+08, -1.466756413016018E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.649564185980005E+08,  4.838750682966595E+08, -1.465756877314153E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.643854796196491E+08,  4.846236096195635E+08, -1.464774872224084E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.635955328891004E+08,  4.857710267619894E+08, -1.462665705357406E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.627236143043169E+08,  4.864690830324519E+08, -1.462286656612790E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.621937393387004E+08,  4.874649012538803E+08, -1.460322315780285E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.612074915270702E+08,  4.884414517508280E+08, -1.459089791694567E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.605863762035929E+08,  4.891463201976812E+08, -1.458286640822986E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.598473099749320E+08,  4.902901891543683E+08, -1.456069001069161E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.589220512581952E+08,  4.910166558003771E+08, -1.455617339923295E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.584001938045437E+08,  4.919508669222997E+08, -1.453812368261749E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.574305646454879E+08,  4.929741268429402E+08, -1.452341841236374E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.567514628791451E+08,  4.936464576401511E+08, -1.451688844237798E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.560623675178251E+08,  4.947728068036332E+08, -1.449414974794897E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.550936158871763E+08,  4.955377961922620E+08, -1.448838829621693E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.545663167101133E+08,  4.964085511892269E+08, -1.447220937669325E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.536251918983549E+08,  4.974715854933006E+08, -1.445518978406736E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.528832666038820E+08,  4.981245083924495E+08, -1.444976534981874E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.522395782819916E+08,  4.992204446959665E+08, -1.442699398809877E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.512387249037727E+08,  5.000312322398163E+08, -1.441955171843675E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.506922168562276E+08,  5.008395422383174E+08, -1.440542073746431E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.497895714417168E+08,  5.019326066980252E+08, -1.438627645670664E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.489832829995238E+08,  5.025797912216542E+08, -1.438150081021130E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.483778081476474E+08,  5.036335805205866E+08, -1.435921861646080E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.473579413766867E+08,  5.044946162130349E+08, -1.434974133599427E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.467790267048049E+08,  5.052451120018665E+08, -1.433769238046315E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.459220399156003E+08,  5.063562575731933E+08, -1.431673358990198E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.450532617947538E+08,  5.070110023697114E+08, -1.431211594872376E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.444765300825723E+08,  5.080128524428798E+08, -1.429080182810089E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.434515660070100E+08,  5.089254661306317E+08, -1.427904361136404E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.428289110400776E+08,  5.096258819146287E+08, -1.426896943824267E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.420220759244958E+08,  5.107421674816339E+08, -1.424658501122648E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.410955974994885E+08,  5.114175652087049E+08, -1.424159805781326E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.405354909034468E+08,  5.123603939598166E+08, -1.422166955618834E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.395190077446256E+08,  5.133224481579331E+08, -1.420751860520634E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.388434581767551E+08,  5.139828248630059E+08, -1.419918889758518E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.380878904388634E+08,  5.150904829265628E+08, -1.417585312132192E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.371114957109568E+08,  5.157979108581876E+08, -1.416998586916247E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.365547863456399E+08,  5.166777984368776E+08, -1.415176329113171E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.355594517842807E+08,  5.176842912504967E+08, -1.413522516090411E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.348240669148358E+08,  5.183163840693212E+08, -1.412830972552538E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.341174344868744E+08,  5.194013712023203E+08, -1.410456319765282E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.331016578326777E+08,  5.201497870937579E+08, -1.409734356421471E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.325348199935622E+08,  5.209659657550058E+08, -1.408104284696653E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.315721328177096E+08,  5.220088291794553E+08, -1.406225299299607E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.307733880652352E+08,  5.226259013290931E+08, -1.405631538942820E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.301102486392292E+08,  5.236757980351338E+08, -1.403269100483730E+07,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.290671385596368E+08,  5.244717178382512E+08, -1.402370590667355E+07,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.284766490669965E+08,  5.252265359975023E+08, -1.400943723179486E+07,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.275558397968069E+08,  5.262951327179437E+08, -1.398865139438635E+07,
2447308.500092593, A.D. 1988-May-27 00:00:08.0000,  5.266933442288852E+08,  5.269110468186601E+08, -1.398318815481779E+07,
2447309.500092593, A.D. 1988-May-28 00:00:08.0000,  5.260655156043278E+08,  5.279149961536031E+08, -1.396020882229140E+07,
2447310.500092593, A.D. 1988-May-29 00:00:08.0000,  5.250085102129087E+08,  5.287619269433808E+08, -1.394912739315715E+07,
2447311.500092593, A.D. 1988-May-30 00:00:08.0000,  5.243816884763926E+08,  5.294612365000734E+08, -1.393686825311115E+07,
2447312.500092593, A.D. 1988-May-31 00:00:08.0000,  5.235086164104028E+08,  5.305431717646794E+08, -1.391444787153631E+07,
2447313.500092593, A.D. 1988-Jun-01 00:00:08.0000,  5.225849950808569E+08,  5.311711507420208E+08, -1.390893700680435E+07,
2447314.500092593, A.D. 1988-Jun-02 00:00:08.0000,  5.219820418688886E+08,  5.321200871728157E+08, -1.388709227944043E+07,
2447315.500092593, A.D. 1988-Jun-03 00:00:08.0000,  5.209250885623972E+08,  5.330179913144596E+08, -1.387369919241682E+07,
2447316.500092593, A.D. 1988-Jun-04 00:00:08.0000,  5.202512095191797E+08,  5.336701725042237E+08, -1.386331634433708E+07,
2447317.500092593, A.D. 1988-Jun-05 00:00:08.0000,  5.194291554790821E+08,  5.347520021863242E+08, -1.383969265284094E+07,
2447318.500092593, A.D. 1988-Jun-06 00:00:08.0000,  5.184505190401862E+08,  5.354046418415395E+08, -1.383358864387259E+07,
2447319.500092593, A.D. 1988-Jun-07 00:00:08.0000,  5.178599326683767E+08,  5.362924913314024E+08, -1.381328808349219E+07,
2447320.500092593, A.D. 1988-Jun-08 00:00:08.0000,  5.168164041322306E+08,  5.372379712100477E+08, -1.379749697714198E+07,
2447321.500092593, A.D. 1988-Jun-09 00:00:08.0000,  5.160871954439336E+08,  5.378536594294944E+08, -1.378874289174205E+07,
2447322.500092593, A.D. 1988-Jun-10 00:00:08.0000,  5.153163105228378E+08,  5.389216787832997E+08, -1.376439603000247E+07,
2447323.500092593, A.D. 1988-Jun-11 00:00:08.0000,  5.142916645995928E+08,  5.396096902017809E+08, -1.375718811475828E+07,
2447324.500092593, A.D. 1988-Jun-12 00:00:08.0000,  5.137000529448486E+08,  5.404336787230995E+08, -1.373873200174570E+07,
2447325.500092593, A.D. 1988-Jun-13 00:00:08.0000,  5.126822462746186E+08,  5.414208355148385E+08, -1.372056397370568E+07,
2447326.500092593, A.D. 1988-Jun-14 00:00:08.0000,  5.118917435840420E+08,  5.420127281134670E+08, -1.371308331669489E+07,
2447327.500092593, A.D. 1988-Jun-15 00:00:08.0000,  5.111684457733575E+08,  5.430534014749858E+08, -1.368853793727255E+07,
2447328.500092593, A.D. 1988-Jun-16 00:00:08.0000,  5.101088557749913E+08,  5.437847152665906E+08, -1.367978876879644E+07,
2447329.500092593, A.D. 1988-Jun-17 00:00:08.0000,  5.095024655186516E+08,  5.445452083486377E+08, -1.366336198883441E+07,
2447330.500092593, A.D. 1988-Jun-18 00:00:08.0000,  5.085209798808664E+08,  5.455650486900878E+08, -1.364298114757890E+07,
2447331.500092593, A.D. 1988-Jun-19 00:00:08.0000,  5.076667585066887E+08,  5.461466170381262E+08, -1.363633765363038E+07,
2447332.500092593, A.D. 1988-Jun-20 00:00:08.0000,  5.069846742585618E+08,  5.471478103723966E+08, -1.361210750901157E+07,
2447333.500092593, A.D. 1988-Jun-21 00:00:08.0000,  5.059025817449514E+08,  5.479278201469573E+08, -1.360145379657936E+07,
2447334.500092593, A.D. 1988-Jun-22 00:00:08.0000,  5.052680144066718E+08,  5.486283176510346E+08, -1.358711802849570E+07,
