JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.562619403845989E+08,  9.807337040324171E+08, -5.510381140944946E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.556857393445033E+08,  9.812888465515981E+08, -5.507939461044073E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.551146033202571E+08,  9.818672216263824E+08, -5.506807602644807E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.545377468691516E+08,  9.824693938904662E+08, -5.506945897696525E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.539449544070052E+08,  9.830921037398036E+08, -5.508110729036605E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.533283952918448E+08,  9.837286759948018E+08, -5.509888311321980E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.526840173611461E+08,  9.843701750193300E+08, -5.511766444336736E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.520121817122163E+08,  9.850069804003603E+08, -5.513224336783946E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513174087240572E+08,  9.856304126312457E+08, -5.513819559153926E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.506074090409455E+08,  9.862340385641701E+08, -5.513253032880074E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.498917344433651E+08,  9.868144533209993E+08, -5.511403137155277E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.491803381003304E+08,  9.873715286684076E+08, -5.508330090864241E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.484822696413792E+08,  9.879082329262245E+08, -5.504257717708057E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.478045993539500E+08,  9.884301309311289E+08, -5.499539034920740E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.471516247284714E+08,  9.889446479055072E+08, -5.494610681431156E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.465243539392394E+08,  9.894601871083869E+08, -5.489940933702844E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.459202815919299E+08,  9.899851416590981E+08, -5.485973588420707E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.453335391591392E+08,  9.905267905784240E+08, -5.483067966112405E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.447554701457717E+08,  9.910902199047885E+08, -5.481443055607760E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.441757139207469E+08,  9.916773817274305E+08, -5.481132890088803E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.435837657077706E+08,  9.922865507557156E+08, -5.481967315820670E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.429707153535814E+08,  9.929124128867694E+08, -5.483588946836704E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.423308713906602E+08,  9.935468339701436E+08, -5.485507259760004E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.416627942681415E+08,  9.941802589196405E+08, -5.487183455868858E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.409694743304557E+08,  9.948033697235281E+08, -5.488123730209768E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.402576736667159E+08,  9.954086357790439E+08, -5.487960763663936E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.395366266274184E+08,  9.959914049533205E+08, -5.486504963031495E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.388164892770014E+08,  9.965503793412044E+08, -5.483759896703559E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.381068788834572E+08,  9.970875575957379E+08, -5.479908643157816E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.374156640030951E+08,  9.976077718079920E+08, -5.475279199122167E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.367480740337151E+08,  9.981179461597950E+08, -5.470296644419408E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.361061476103555E+08,  9.986262408713655E+08, -5.465431069982284E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.354884760448889E+08,  9.991410563670269E+08, -5.461139857061207E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.348903012230287E+08,  9.996700146294464E+08, -5.457811260584527E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.343039648942658E+08,  1.000218951838913E+09, -5.455711150336450E+07,
