JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.197561694440723E+09, -2.016283293820740E+09, -3.616955405319548E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.197938232022653E+09, -2.015828382769937E+09, -3.597310020884383E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.198141669278357E+09, -2.015394425536345E+09, -3.605472754502332E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.198650892501700E+09, -2.015048997853020E+09, -3.621722812457371E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.199171217660134E+09, -2.014635596885317E+09, -3.605881032729471E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.199380056442263E+09, -2.014169391267907E+09, -3.598888818293166E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.199741819235676E+09, -2.013798854346200E+09, -3.619339024653769E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.200334234793253E+09, -2.013430422807928E+09, -3.616416816713130E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.200651789282619E+09, -2.012965089243060E+09, -3.598432024839580E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.200883367262001E+09, -2.012548489710958E+09, -3.611748557318032E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.201435313045648E+09, -2.012203006646579E+09, -3.623606924980605E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.201903471338436E+09, -2.011770989415343E+09, -3.604943772075689E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.202095561258833E+09, -2.011313311805752E+09, -3.603826915116227E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.202516938100070E+09, -2.010955609878624E+09, -3.624000181833768E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.203092977984827E+09, -2.010570515156429E+09, -3.615347114489686E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.203358152242409E+09, -2.010099802770843E+09, -3.600649877648830E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.203632264433447E+09, -2.009701402889338E+09, -3.617967554037035E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.204212644854980E+09, -2.009350344884764E+09, -3.624411130931211E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.204621899489035E+09, -2.008901786509437E+09, -3.604610915156758E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.204815103517497E+09, -2.008457073555143E+09, -3.609506217513645E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.205293406269406E+09, -2.008107778451972E+09, -3.627639867363191E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.205836693026845E+09, -2.007703964404810E+09, -3.614061811351323E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.206060762894439E+09, -2.007233390729452E+09, -3.603993411625803E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.206387839109242E+09, -2.006852346231250E+09, -3.623798836251390E+07,
2420979.500370370, A.D. 1916-Apr-26 00:00:32.0000,  2.206979758130471E+09, -2.006490626586285E+09, -3.624286254469013E+07,
2420980.500370370, A.D. 1916-Apr-27 00:00:32.0000,  2.207328586188064E+09, -2.006029042538195E+09, -3.605140382872617E+07,
2420981.500370370, A.D. 1916-Apr-28 00:00:32.0000,  2.207540567456774E+09, -2.005600536131669E+09, -3.615647943987703E+07,
2420982.500370370, A.D. 1916-Apr-29 00:00:32.0000,  2.208067995562677E+09, -2.005254387036794E+09, -3.630146478469753E+07,
2420983.500370370, A.D. 1916-Apr-30 00:00:32.0000,  2.208565111296197E+09, -2.004831410036058E+09, -3.612883803186786E+07,
2420984.500370370, A.D. 1916-May-01 00:00:32.0000,  2.208762906280186E+09, -2.004366450335618E+09, -3.608384739486265E+07,
2420985.500370370, A.D. 1916-May-02 00:00:32.0000,  2.209148673453770E+09, -2.004000337902867E+09, -3.628938473899734E+07,
2420986.500370370, A.D. 1916-May-03 00:00:32.0000,  2.209734299946032E+09, -2.003623787370006E+09, -3.623460990020919E+07,
2420987.500370370, A.D. 1916-May-04 00:00:32.0000,  2.210026403129439E+09, -2.003153798568457E+09, -3.606710380347133E+07,
2420988.500370370, A.D. 1916-May-05 00:00:32.0000,  2.210273076680375E+09, -2.002743259410340E+09, -3.621928379221702E+07,
2420989.500370370, A.D. 1916-May-06 00:00:32.0000,  2.210837410942379E+09, -2.002394700992717E+09, -3.631534902997589E+07,
2420990.500370370, A.D. 1916-May-07 00:00:32.0000,  2.211278885626891E+09, -2.001953748731058E+09, -3.612157978596187E+07,
2420991.500370370, A.D. 1916-May-08 00:00:32.0000,  2.211467517810256E+09, -2.001499320529718E+09, -3.613658819575822E+07,
2420992.500370370, A.D. 1916-May-09 00:00:32.0000,  2.211912346275226E+09, -2.001144325509505E+09, -3.633152996905422E+07,
2420993.500370370, A.D. 1916-May-10 00:00:32.0000,  2.212474298214625E+09, -2.000750026177860E+09, -3.622235967008376E+07,
2420994.500370370, A.D. 1916-May-11 00:00:32.0000,  2.212718384791834E+09, -2.000276935990778E+09, -3.609395418938684E+07,
2420995.500370370, A.D. 1916-May-12 00:00:32.0000,  2.213012667214402E+09, -1.999884494982223E+09, -3.627988940259254E+07,
2420996.500370370, A.D. 1916-May-13 00:00:32.0000,  2.213598401777413E+09, -1.999528140985177E+09, -3.631884991063416E+07,
2420997.500370370, A.D. 1916-May-14 00:00:32.0000,  2.213979668815669E+09, -1.999071927992039E+09, -3.612146776773930E+07,
2420998.500370370, A.D. 1916-May-15 00:00:32.0000,  2.214177199812138E+09, -1.998632048951065E+09, -3.619554279522717E+07,
2420999.500370370, A.D. 1916-May-16 00:00:32.0000,  2.214676196096901E+09, -1.998283360110433E+09, -3.636290339490759E+07,
2421000.500370370, A.D. 1916-May-17 00:00:32.0000,  2.215199132736429E+09, -1.997869898747343E+09, -3.620941668533158E+07,
2421001.500370370, A.D. 1916-May-18 00:00:32.0000,  2.215408088624548E+09, -1.997399275143451E+09, -3.613196280318046E+07,
2421002.500370370, A.D. 1916-May-19 00:00:32.0000,  2.215758403126335E+09, -1.997023406383643E+09, -3.633543236417675E+07,
2421003.500370370, A.D. 1916-May-20 00:00:32.0000,  2.216347952018220E+09, -1.996654464866443E+09, -3.631412011202526E+07,
2421004.500370370, A.D. 1916-May-21 00:00:32.0000,  2.216669732229732E+09, -1.996186996119589E+09, -3.613090005697334E+07,
2421005.500370370, A.D. 1916-May-22 00:00:32.0000,  2.216893243683334E+09, -1.995764304152325E+09, -3.625771751773763E+07,
2421006.500370370, A.D. 1916-May-23 00:00:32.0000,  2.217436553607236E+09, -1.995416449241674E+09, -3.638280183817613E+07,
2421007.500370370, A.D. 1916-May-24 00:00:32.0000,  2.217908735513047E+09, -1.994984076171408E+09, -3.619888969919348E+07,
2421008.500370370, A.D. 1916-May-25 00:00:32.0000,  2.218098728323365E+09, -1.994521270894975E+09, -3.617965812472749E+07,
2421009.500370370, A.D. 1916-May-26 00:00:32.0000,  2.218508532089014E+09, -1.994158933884955E+09, -3.638281709749067E+07,
2421010.500370370, A.D. 1916-May-27 00:00:32.0000,  2.219084114950079E+09, -1.993773725022919E+09, -3.630351041159940E+07,
2421011.500370370, A.D. 1916-May-28 00:00:32.0000,  2.219352387183469E+09, -1.993300018438568E+09, -3.615122695357430E+07,
2421012.500370370, A.D. 1916-May-29 00:00:32.0000,  2.219616586307353E+09, -1.992895609426898E+09, -3.631987760113108E+07,
2421013.500370370, A.D. 1916-May-30 00:00:32.0000,  2.220190373116798E+09, -1.992543010119033E+09, -3.639187156030643E+07,
2421014.500370370, A.D. 1916-May-31 00:00:32.0000,  2.220604275351493E+09, -1.992093564697320E+09, -3.619425779024565E+07,
2421015.500370370, A.D. 1916-Jun-01 00:00:32.0000,  2.220792876727575E+09, -1.991643150389877E+09, -3.623529775281537E+07,
2421016.500370370, A.D. 1916-Jun-02 00:00:32.0000,  2.221260241169668E+09, -1.991290036520163E+09, -3.642023958504558E+07,
2421017.500370370, A.D. 1916-Jun-03 00:00:32.0000,  2.221805219760480E+09, -1.990886237271206E+09, -3.629029460199261E+07,
2421018.500370370, A.D. 1916-Jun-04 00:00:32.0000,  2.222030601265670E+09, -1.990411766284259E+09, -3.618275618657410E+07,
2421019.500370370, A.D. 1916-Jun-05 00:00:32.0000,  2.222346611607488E+09, -1.990025058987410E+09, -3.637839234230173E+07,
2421020.500370370, A.D. 1916-Jun-06 00:00:32.0000,  2.222934400980674E+09, -1.989662542223562E+09, -3.639124971784878E+07,
2421021.500370370, A.D. 1916-Jun-07 00:00:32.0000,  2.223287793377123E+09, -1.989199354604050E+09, -3.619783385887337E+07,
2421022.500370370, A.D. 1916-Jun-08 00:00:32.0000,  2.223492854233902E+09, -1.988764813808309E+09, -3.629580559138143E+07,
2421023.500370370, A.D. 1916-Jun-09 00:00:32.0000,  2.224010691575318E+09, -1.988415783777008E+09, -3.644642451605785E+07,
