JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.969056866360846E+08,  4.605388572743632E+08, -2.715264157882288E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.963995321858259E+08,  4.614516747877099E+08, -2.717905461913317E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.958920770745025E+08,  4.623619158332869E+08, -2.720448949119350E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.953833098564625E+08,  4.632695767714619E+08, -2.722893966581285E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.948732189601939E+08,  4.641746540321931E+08, -2.725239861902547E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.943617926933693E+08,  4.650771441109399E+08, -2.727485982541746E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.938490192344054E+08,  4.659770435747051E+08, -2.729631676452971E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.933348866357317E+08,  4.668743490611897E+08, -2.731676291799513E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.928193828200347E+08,  4.677690572807236E+08, -2.733619177042636E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.923024955783601E+08,  4.686611650191851E+08, -2.735459681180418E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.917842125699306E+08,  4.695506691399513E+08, -2.737197153841388E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.912645213206965E+08,  4.704375665856796E+08, -2.738830945341820E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.907434092216935E+08,  4.713218543805383E+08, -2.740360406811073E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.902208635285356E+08,  4.722035296323384E+08, -2.741784890305758E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.896968713606762E+08,  4.730825895341058E+08, -2.743103748830515E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.891714196991346E+08,  4.739590313657413E+08, -2.744316336359796E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.886444953843275E+08,  4.748328524966331E+08, -2.745422008009189E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.881160851157690E+08,  4.757040503885738E+08, -2.746420120263124E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.875861754510500E+08,  4.765726225974316E+08, -2.747310030990681E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.870547528029070E+08,  4.774385667751927E+08, -2.748091099501184E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.865218034421886E+08,  4.783018806753515E+08, -2.748762687183234E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.859873134919041E+08,  4.791625621499068E+08, -2.749324156761384E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.854512689300990E+08,  4.800206091578692E+08, -2.749774873373759E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.849136555878701E+08,  4.808760197609676E+08, -2.750114203680041E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.843744591468418E+08,  4.817287921320916E+08, -2.750341516885352E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.838336651393851E+08,  4.825789245543045E+08, -2.750456184337613E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.832912589460161E+08,  4.834264154249431E+08, -2.750457579867727E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.827472257954332E+08,  4.842712632591511E+08, -2.750345080118284E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.822015507648683E+08,  4.851134666917919E+08, -2.750118064603528E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.816542187788575E+08,  4.859530244798921E+08, -2.749775915801105E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.811052146080071E+08,  4.867899355056808E+08, -2.749318019345677E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.805545228686463E+08,  4.876241987792689E+08, -2.748743764187071E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.800021280220721E+08,  4.884558134412099E+08, -2.748052542698079E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.794480143728713E+08,  4.892847787658228E+08, -2.747243750870281E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.788921660682193E+08,  4.901110941649548E+08, -2.746316788628781E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.783345670988928E+08,  4.909347591909198E+08, -2.745271060074228E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.777752012985485E+08,  4.917557735389183E+08, -2.744105973549369E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.772140523415545E+08,  4.925741370507003E+08, -2.742820941860634E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.766511037482119E+08,  4.933898497177198E+08, -2.741415382748127E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.760863388762540E+08,  4.942029116827289E+08, -2.739888718436220E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.755197409284391E+08,  4.950133232461269E+08, -2.738240376761469E+07,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.749512929454267E+08,  4.958210848644740E+08, -2.736469790156785E+07,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.743809778104793E+08,  4.966261971593946E+08, -2.734576397180656E+07,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.738087782472612E+08,  4.974286609175594E+08, -2.732559641996771E+07,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.732346768201638E+08,  4.982284770956995E+08, -2.730418974922299E+07,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.726586559361310E+08,  4.990256468236947E+08, -2.728153852733836E+07,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.720806978447430E+08,  4.998201714067901E+08, -2.725763738674363E+07,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.715007846374377E+08,  5.006120523294818E+08, -2.723248102685651E+07,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.709188982476985E+08,  5.014012912597870E+08, -2.720606421781987E+07,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.703350204519840E+08,  5.021878900525559E+08, -2.717838180301511E+07,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.697491328701680E+08,  5.029718507528684E+08, -2.714942870121101E+07,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.691612169658060E+08,  5.037531756004509E+08, -2.711919991033861E+07,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.685712540477327E+08,  5.045318670336434E+08, -2.708769051156309E+07,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.679792252723269E+08,  5.053079276918271E+08, -2.705489567105231E+07,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.673851116433494E+08,  5.060813604190924E+08, -2.702081064166972E+07,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.667888940117575E+08,  5.068521682696166E+08, -2.698543076762423E+07,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.661905530825224E+08,  5.076203545071719E+08, -2.694875148480687E+07,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.655900694057802E+08,  5.083859226154352E+08, -2.691076832622135E+07,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.649874233892075E+08,  5.091488762969080E+08, -2.687147692630440E+07,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.643825952894089E+08,  5.099092194796753E+08, -2.683087301877227E+07,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.637755652231550E+08,  5.106669563204851E+08, -2.678895244855484E+07,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.631663131641176E+08,  5.114220912083288E+08, -2.674571116859061E+07,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.625548189463291E+08,  5.121746287690541E+08, -2.670114524573326E+07,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.619410622669218E+08,  5.129245738684924E+08, -2.665525086340120E+07,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.613250226866639E+08,  5.136719316164688E+08, -2.660802432306468E+07,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.607066796316335E+08,  5.144167073720007E+08, -2.655946204890457E+07,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.600860123962865E+08,  5.151589067477944E+08, -2.650956059293944E+07,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.594630001461736E+08,  5.158985356137193E+08, -2.645831663804314E+07,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.588376219200943E+08,  5.166356001006963E+08, -2.640572700090483E+07,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.582098566329805E+08,  5.173701066051788E+08, -2.635178863685861E+07,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.575796830795689E+08,  5.181020617924474E+08, -2.629649864398581E+07,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.569470799370761E+08,  5.188314725988576E+08, -2.623985426437819E+07,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.563120257666115E+08,  5.195583462367543E+08, -2.618185288767016E+07,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.556744990166591E+08,  5.202826902002380E+08, -2.612249205831110E+07,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.550344780283751E+08,  5.210045122626118E+08, -2.606176947270212E+07,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.543919410348053E+08,  5.217238204912086E+08, -2.599968299355265E+07,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.537468661729954E+08,  5.224406232380074E+08, -2.593623064693853E+07,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.530992314780540E+08,  5.231549291555535E+08, -2.587141062831688E+07,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.524490148978994E+08,  5.238667471887442E+08, -2.580522130677086E+07,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.517961942902271E+08,  5.245760865847660E+08, -2.573766122658899E+07,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.511407474294788E+08,  5.252829568955829E+08, -2.566872911351773E+07,
2447294.500092593, A.D. 1988-May-13 00:00:08.0000,  5.504826520117661E+08,  5.259873679802752E+08, -2.559842387774661E+07,
2447295.500092593, A.D. 1988-May-14 00:00:08.0000,  5.498218856582657E+08,  5.266893300099617E+08, -2.552674461756423E+07,
2447296.500092593, A.D. 1988-May-15 00:00:08.0000,  5.491584259212660E+08,  5.273888534718373E+08, -2.545369062545165E+07,
2447297.500092593, A.D. 1988-May-16 00:00:08.0000,  5.484922502909184E+08,  5.280859491715305E+08, -2.537926139310780E+07,
2447298.500092593, A.D. 1988-May-17 00:00:08.0000,  5.478233362002716E+08,  5.287806282356578E+08, -2.530345661426592E+07,
2447299.500092593, A.D. 1988-May-18 00:00:08.0000,  5.471516610301203E+08,  5.294729021152819E+08, -2.522627618818456E+07,
2447300.500092593, A.D. 1988-May-19 00:00:08.0000,  5.464772021154923E+08,  5.301627825889881E+08, -2.514772022486460E+07,
2447301.500092593, A.D. 1988-May-20 00:00:08.0000,  5.457999367518736E+08,  5.308502817650414E+08, -2.506778904876366E+07,
2447302.500092593, A.D. 1988-May-21 00:00:08.0000,  5.451198421993874E+08,  5.315354120844654E+08, -2.498648320044303E+07,
2447303.500092593, A.D. 1988-May-22 00:00:08.0000,  5.444368956890556E+08,  5.322181863261279E+08, -2.490380344281352E+07,
2447304.500092593, A.D. 1988-May-23 00:00:08.0000,  5.437510744324088E+08,  5.328986176098040E+08, -2.481975076982668E+07,
2447305.500092593, A.D. 1988-May-24 00:00:08.0000,  5.430623556228583E+08,  5.335767193949649E+08, -2.473432640006736E+07,
2447306.500092593, A.D. 1988-May-25 00:00:08.0000,  5.423707164512898E+08,  5.342525054896691E+08, -2.464753179803732E+07,
2447307.500092593, A.D. 1988-May-26 00:00:08.0000,  5.416761341065464E+08,  5.349259900412661E+08, -2.455936866114703E+07,
2447308.500092593, A.D. 1988-May-27 00:00:08.0000,  5.409785857834660E+08,  5.355971875541657E+08, -2.446983893476933E+07,
2447309.500092593, A.D. 1988-May-28 00:00:08.0000,  5.402780486909815E+08,  5.362661128764282E+08, -2.437894480780533E+07,
2447310.500092593, A.D. 1988-May-29 00:00:08.0000,  5.395745000579244E+08,  5.369327812129686E+08, -2.428668872163737E+07,
2447311.500092593, A.D. 1988-May-30 00:00:08.0000,  5.388679171427501E+08,  5.375972081242332E+08, -2.419307337474722E+07,
2447312.500092593, A.D. 1988-May-31 00:00:08.0000,  5.381582772407722E+08,  5.382594095269406E+08, -2.409810172522151E+07,
2447313.500092593, A.D. 1988-Jun-01 00:00:08.0000,  5.374455576919340E+08,  5.389194016978579E+08, -2.400177699571142E+07,
2447314.500092593, A.D. 1988-Jun-02 00:00:08.0000,  5.367297358904564E+08,  5.395772012744813E+08, -2.390410267877004E+07,
2447315.500092593, A.D. 1988-Jun-03 00:00:08.0000,  5.360107892935802E+08,  5.402328252542665E+08, -2.380508253995875E+07,
2447316.500092593, A.D. 1988-Jun-04 00:00:08.0000,  5.352886954286819E+08,  5.408862909960376E+08, -2.370472062000182E+07,
2447317.500092593, A.D. 1988-Jun-05 00:00:08.0000,  5.345634319012846E+08,  5.415376162223669E+08, -2.360302123852056E+07,
2447318.500092593, A.D. 1988-Jun-06 00:00:08.0000,  5.338349764048300E+08,  5.421868190201170E+08, -2.349998899880803E+07,
2447319.500092593, A.D. 1988-Jun-07 00:00:08.0000,  5.331033067295827E+08,  5.428339178404986E+08, -2.339562879106891E+07,
2447320.500092593, A.D. 1988-Jun-08 00:00:08.0000,  5.323684007703679E+08,  5.434789315014391E+08, -2.328994579524988E+07,
2447321.500092593, A.D. 1988-Jun-09 00:00:08.0000,  5.316302365384686E+08,  5.441218791887448E+08, -2.318294548808801E+07,
2447322.500092593, A.D. 1988-Jun-10 00:00:08.0000,  5.308887921745588E+08,  5.447627804522022E+08, -2.307463364872229E+07,
2447323.500092593, A.D. 1988-Jun-11 00:00:08.0000,  5.301440459475517E+08,  5.454016552077771E+08, -2.296501635059863E+07,
2447324.500092593, A.D. 1988-Jun-12 00:00:08.0000,  5.293959762810673E+08,  5.460385237347720E+08, -2.285409998211163E+07,
