JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.471371581944532E+08,  9.913766479100909E+08, -5.785285366565877E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.466090896372271E+08,  9.920634179048220E+08, -5.783596410628569E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.460815523534827E+08,  9.927487683156856E+08, -5.781879083596110E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.455545343039852E+08,  9.934326898526571E+08, -5.780133434636492E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.450280233101683E+08,  9.941151734059631E+08, -5.778359517236716E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.445020070541416E+08,  9.947962100460942E+08, -5.776557389202797E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.439764732801814E+08,  9.954757911095991E+08, -5.774727111093307E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.434514096224900E+08,  9.961539081582980E+08, -5.772868747980618E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.429268034450301E+08,  9.968305528927267E+08, -5.770982370440000E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.424026420466087E+08,  9.975057172225082E+08, -5.769068052729511E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.418789126608822E+08,  9.981793932663602E+08, -5.767125872789949E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.413556024563578E+08,  9.988515733521001E+08, -5.765155912244815E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.408326985363948E+08,  9.995222500166512E+08, -5.763158256400234E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.403101879392077E+08,  1.000191416006046E+09, -5.761132994244999E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.397880576378666E+08,  1.000859064275432E+09, -5.759080218450421E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.392662945402989E+08,  1.001525187989074E+09, -5.757000025370419E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.387448854892906E+08,  1.002189780520358E+09, -5.754892515041381E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.382238172624865E+08,  1.002852835451792E+09, -5.752757791182238E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.377030765723919E+08,  1.003514346575011E+09, -5.750595961194336E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.371826500663726E+08,  1.004174307890777E+09, -5.748407136161524E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.366625243266551E+08,  1.004832713608979E+09, -5.746191430850077E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.361426858703279E+08,  1.005489558148638E+09, -5.743948963708669E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.356231211493405E+08,  1.006144836137901E+09, -5.741679856868404E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.351038165505043E+08,  1.006798542414047E+09, -5.739384236142826E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.345847585960927E+08,  1.007450672016452E+09, -5.737062228118551E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.340659337881941E+08,  1.008101220219783E+09, -5.734713962795383E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.335473284410063E+08,  1.008750182524052E+09, -5.732339575812936E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.330289288770001E+08,  1.009397554633233E+09, -5.729939205409712E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.325107214269192E+08,  1.010043332455256E+09, -5.727512992423224E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.319926924297794E+08,  1.010687512102007E+09, -5.725061080289996E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.314748282328686E+08,  1.011330089889321E+09, -5.722583615045565E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.309571151917471E+08,  1.011971062336973E+09, -5.720080745324600E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.304395396702470E+08,  1.012610426168671E+09, -5.717552622360909E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.299220880404737E+08,  1.013248178312050E+09, -5.714999399987596E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.294047466828071E+08,  1.013884315898655E+09, -5.712421234637046E+07,
