JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.352175335502342E+09, -1.258008204682499E+09,  1.261425712178400E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352056527807483E+09, -1.258374638151216E+09,  1.261896869198755E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.351970833306931E+09, -1.258901667889453E+09,  1.261803916183991E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.351764514498588E+09, -1.259304247218862E+09,  1.261706463039693E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351717486981137E+09, -1.259744657321089E+09,  1.262179197028122E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351537154902474E+09, -1.260249000666982E+09,  1.261746851163341E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351409706931451E+09, -1.260613530910836E+09,  1.262192246094338E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351331086179838E+09, -1.261136740766251E+09,  1.262138790408566E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351121279778628E+09, -1.261546933391342E+09,  1.262005087221835E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.351071772069949E+09, -1.261978693177208E+09,  1.262495797653504E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.350897936068300E+09, -1.262489025635612E+09,  1.262069792686893E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350761841345338E+09, -1.262852531276580E+09,  1.262485785513130E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350689857978274E+09, -1.263371195291635E+09,  1.262472638298364E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350477410065743E+09, -1.263789339232765E+09,  1.262305052382749E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350424611820226E+09, -1.264212572208122E+09,  1.262810155699277E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350257674343408E+09, -1.264728241451267E+09,  1.262394778280437E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.350112950674672E+09, -1.265091589206795E+09,  1.262777981362007E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.350047075261683E+09, -1.265605041057341E+09,  1.262805255227118E+08,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.349832867762128E+09, -1.266031449620768E+09,  1.262606113354704E+08,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.349776048168694E+09, -1.266446367857163E+09,  1.263121946958669E+08,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.349616380174757E+09, -1.266966648426360E+09,  1.262721760472865E+08,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.349463105395993E+09, -1.267330663879180E+09,  1.263069415434309E+08,
