JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.314464889989386E+08,  9.860101443324647E+08, -5.814375600696838E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.308290248711309E+08,  9.866521004475273E+08, -5.807405727970421E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.302116135261213E+08,  9.872935790379488E+08, -5.800428649052662E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.295942556953346E+08,  9.879345786583879E+08, -5.793444448417485E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.289769521117524E+08,  9.885750978591310E+08, -5.786453210872883E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.283597035099198E+08,  9.892151351861057E+08, -5.779455021561050E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.277425106255592E+08,  9.898546891779056E+08, -5.772449966218102E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.271253741960888E+08,  9.904937583683974E+08, -5.765438130944258E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.265082949608768E+08,  9.911323412890240E+08, -5.758419601998144E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.258912736607684E+08,  9.917704364657331E+08, -5.751394466064197E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.252743110380882E+08,  9.924080424189825E+08, -5.744362810252613E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.246574078366435E+08,  9.930451576637474E+08, -5.737324722099358E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.240405648017246E+08,  9.936817807095249E+08, -5.730280289566016E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.234237826801083E+08,  9.943179100603386E+08, -5.723229601039898E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.228070622200586E+08,  9.949535442147434E+08, -5.716172745333868E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.221904041713276E+08,  9.955886816658282E+08, -5.709109811686426E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.215738092851572E+08,  9.962233209012196E+08, -5.702040889761579E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.209572783142797E+08,  9.968574604030842E+08, -5.694966069648886E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.203408120129187E+08,  9.974910986481307E+08, -5.687885441863406E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.197244111367899E+08,  9.981242341076117E+08, -5.680799097345680E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.191080764431009E+08,  9.987568652473252E+08, -5.673707127461737E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.184918086905520E+08,  9.993889905276146E+08, -5.666609624003053E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.178756086393362E+08,  1.000020608403370E+09, -5.659506679186541E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.172594770511398E+08,  1.000651717324027E+09, -5.652398385654593E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.166434146888156E+08,  1.001282315729772E+09, -5.645284836779302E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.160274223167671E+08,  1.001912402054823E+09, -5.638166126390982E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.154115007010781E+08,  1.002541974730427E+09, -5.631042348542172E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.147956506091024E+08,  1.003171032180973E+09, -5.623913597823268E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.141798728094640E+08,  1.003799572823990E+09, -5.616779969362557E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.135641680720562E+08,  1.004427595070143E+09, -5.609641558826256E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.129485371680417E+08,  1.005055097323226E+09, -5.602498462418514E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.123329808698528E+08,  1.005682077980156E+09, -5.595350776881516E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.117174999511904E+08,  1.006308535430967E+09, -5.588198599495506E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.111020951870260E+08,  1.006934468058795E+09, -5.581042028078926E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.104867673536031E+08,  1.007559874239876E+09, -5.573881160988414E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.098715172284380E+08,  1.008184752343523E+09, -5.566716097119081E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.092563455903246E+08,  1.008809100732121E+09, -5.559546935904545E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.086412532193395E+08,  1.009432917761104E+09, -5.552373777317148E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.080262408968482E+08,  1.010056201778938E+09, -5.545196721868235E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.074113094055159E+08,  1.010678951127105E+09, -5.538015870608324E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.067964595293204E+08,  1.011301164140071E+09, -5.530831325127500E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.061816920535692E+08,  1.011922839145270E+09, -5.523643187555760E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.055670077637361E+08,  1.012543974458353E+09, -5.516451560929608E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.049524074466554E+08,  1.013164568387331E+09, -5.509256548867738E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.043378918914224E+08,  1.013784619236271E+09, -5.502058255289370E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.037234618881550E+08,  1.014404125300413E+09, -5.494856784794509E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.031091182280468E+08,  1.015023084866141E+09, -5.487652242664593E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.024948617034329E+08,  1.015641496210965E+09, -5.480444734863377E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.018806931078657E+08,  1.016259357603509E+09, -5.473234368037617E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.012666132362032E+08,  1.016876667303512E+09, -5.466021249517995E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.006526228847067E+08,  1.017493423561838E+09, -5.458805487319916E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.000387228511484E+08,  1.018109624620509E+09, -5.451587190144169E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  8.994249139349223E+08,  1.018725268712769E+09, -5.444366467377609E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  8.988111969371558E+08,  1.019340354063160E+09, -5.437143429093379E+07,
