JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.354888843375201E+09, -1.254007146526960E+09,  1.263045024932842E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.354774653191737E+09, -1.254564123678972E+09,  1.263024382311087E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.354659097361406E+09, -1.255122965268635E+09,  1.263003100759422E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.354542096847886E+09, -1.255683717196443E+09,  1.262981189136623E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.354423566124176E+09, -1.256246427085340E+09,  1.262958658500348E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.354303412469819E+09, -1.256811144280142E+09,  1.262935522383605E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.354181535170984E+09, -1.257377919853971E+09,  1.262911797238112E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.354057824591717E+09, -1.257946806568840E+09,  1.262887502999460E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.353932161140590E+09, -1.258517858791005E+09,  1.262862663580269E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.353804414076266E+09, -1.259091132388172E+09,  1.262837307612240E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.353674440120505E+09, -1.259666684534420E+09,  1.262811469357050E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.353542081899549E+09, -1.260244573425796E+09,  1.262785189557880E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.353407166118201E+09, -1.260824857921506E+09,  1.262758516752544E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.353269501447443E+09, -1.261407596986515E+09,  1.262731508786024E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.353128876116164E+09, -1.261992848954936E+09,  1.262704234406367E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.352985055070204E+09, -1.262580670568910E+09,  1.262676775559939E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.352837776682768E+09, -1.263171115601846E+09,  1.262649230057659E+08,
