JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.374731979573099E+09, -1.206788066236441E+09,  7.305568059612387E+07,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.374588204751054E+09, -1.207238803327092E+09,  7.306659000278223E+07,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.374444382020275E+09, -1.207689532504586E+09,  7.307750456052577E+07,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.374300511375114E+09, -1.208140253773942E+09,  7.308842427000582E+07,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.374156592809021E+09, -1.208590967140102E+09,  7.309934913178349E+07,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.374012626314464E+09, -1.209041672607771E+09,  7.311027914633566E+07,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.373868611882896E+09, -1.209492370181242E+09,  7.312121431406516E+07,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.373724549504753E+09, -1.209943059864194E+09,  7.313215463531804E+07,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.373580439169508E+09, -1.210393741659481E+09,  7.314310011040491E+07,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.373436280865771E+09, -1.210844415568935E+09,  7.315405073962539E+07,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.373292074581446E+09, -1.211295081593184E+09,  7.316500652329838E+07,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.373147820303930E+09, -1.211745739731511E+09,  7.317596746179062E+07,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.373003518020348E+09, -1.212196389981770E+09,  7.318693355554557E+07,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.372859167717793E+09, -1.212647032340349E+09,  7.319790480510819E+07,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.372714769383582E+09, -1.213097666802210E+09,  7.320888121114510E+07,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.372570323005477E+09, -1.213548293360968E+09,  7.321986277445787E+07,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.372425828571877E+09, -1.213998912009032E+09,  7.323084949598950E+07,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.372281286071963E+09, -1.214449522737763E+09,  7.324184137682492E+07,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.372136695495811E+09, -1.214900125537661E+09,  7.325283841818482E+07,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.371992056834438E+09, -1.215350720398551E+09,  7.326384062141627E+07,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.371847370079811E+09, -1.215801307309753E+09,  7.327484798797828E+07,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.371702635224839E+09, -1.216251886260251E+09,  7.328586051942807E+07,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.371557852263319E+09, -1.216702457238821E+09,  7.329687821740478E+07,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.371413021189872E+09, -1.217153020234149E+09,  7.330790108361512E+07,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.371268141999877E+09, -1.217603575234917E+09,  7.331892911981851E+07,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.371123214689384E+09, -1.218054122229868E+09,  7.332996232781577E+07,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.370978239255047E+09, -1.218504661207849E+09,  7.334100070943749E+07,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.370833215694040E+09, -1.218955192157842E+09,  7.335204426653534E+07,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.370688144004010E+09, -1.219405715068982E+09,  7.336309300097585E+07,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.370543024182998E+09, -1.219856229930553E+09,  7.337414691463333E+07,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.370397856229402E+09, -1.220306736731994E+09,  7.338520600938559E+07,
2433313.500000000, A.D. 1950-Feb-01 00:00:00.0000, -4.370252640141929E+09, -1.220757235462885E+09,  7.339627028711170E+07,
2433314.500000000, A.D. 1950-Feb-02 00:00:00.0000, -4.370107375919556E+09, -1.221207726112938E+09,  7.340733974968916E+07,
2433315.500000000, A.D. 1950-Feb-03 00:00:00.0000, -4.369962063561507E+09, -1.221658208671982E+09,  7.341841439899230E+07,
2433316.500000000, A.D. 1950-Feb-04 00:00:00.0000, -4.369816703067224E+09, -1.222108683129947E+09,  7.342949423689139E+07,
2433317.500000000, A.D. 1950-Feb-05 00:00:00.0000, -4.369671294436352E+09, -1.222559149476851E+09,  7.344057926525295E+07,
2433318.500000000, A.D. 1950-Feb-06 00:00:00.0000, -4.369525837668718E+09, -1.223009607702783E+09,  7.345166948593867E+07,
2433319.500000000, A.D. 1950-Feb-07 00:00:00.0000, -4.369380332764332E+09, -1.223460057797890E+09,  7.346276490080684E+07,
2433320.500000000, A.D. 1950-Feb-08 00:00:00.0000, -4.369234779723365E+09, -1.223910499752365E+09,  7.347386551171243E+07,
2433321.500000000, A.D. 1950-Feb-09 00:00:00.0000, -4.369089178546155E+09, -1.224360933556433E+09,  7.348497132050741E+07,
2433322.500000000, A.D. 1950-Feb-10 00:00:00.0000, -4.368943529233200E+09, -1.224811359200343E+09,  7.349608232904196E+07,
2433323.500000000, A.D. 1950-Feb-11 00:00:00.0000, -4.368797831785160E+09, -1.225261776674358E+09,  7.350719853916550E+07,
2433324.500000000, A.D. 1950-Feb-12 00:00:00.0000, -4.368652086202848E+09, -1.225712185968747E+09,  7.351831995272666E+07,
2433325.500000000, A.D. 1950-Feb-13 00:00:00.0000, -4.368506292487245E+09, -1.226162587073779E+09,  7.352944657157505E+07,
2433326.500000000, A.D. 1950-Feb-14 00:00:00.0000, -4.368360450639490E+09, -1.226612979979718E+09,  7.354057839756215E+07,
2433327.500000000, A.D. 1950-Feb-15 00:00:00.0000, -4.368214560660890E+09, -1.227063364676818E+09,  7.355171543254143E+07,
2433328.500000000, A.D. 1950-Feb-16 00:00:00.0000, -4.368068622552921E+09, -1.227513741155321E+09,  7.356285767836958E+07,
2433329.500000000, A.D. 1950-Feb-17 00:00:00.0000, -4.367922636317233E+09, -1.227964109405455E+09,  7.357400513690770E+07,
2433330.500000000, A.D. 1950-Feb-18 00:00:00.0000, -4.367776601955654E+09, -1.228414469417430E+09,  7.358515781002116E+07,
2433331.500000000, A.D. 1950-Feb-19 00:00:00.0000, -4.367630519470191E+09, -1.228864821181443E+09,  7.359631569958127E+07,
2433332.500000000, A.D. 1950-Feb-20 00:00:00.0000, -4.367484388863041E+09, -1.229315164687675E+09,  7.360747880746549E+07,
2433333.500000000, A.D. 1950-Feb-21 00:00:00.0000, -4.367338210136587E+09, -1.229765499926292E+09,  7.361864713555771E+07,
2433334.500000000, A.D. 1950-Feb-22 00:00:00.0000, -4.367191983293415E+09, -1.230215826887449E+09,  7.362982068574959E+07,
2433335.500000000, A.D. 1950-Feb-23 00:00:00.0000, -4.367045708336303E+09, -1.230666145561290E+09,  7.364099945994079E+07,
2433336.500000000, A.D. 1950-Feb-24 00:00:00.0000, -4.366899385268241E+09, -1.231116455937956E+09,  7.365218346003902E+07,
2433337.500000000, A.D. 1950-Feb-25 00:00:00.0000, -4.366753014092423E+09, -1.231566758007583E+09,  7.366337268796146E+07,
2433338.500000000, A.D. 1950-Feb-26 00:00:00.0000, -4.366606594812263E+09, -1.232017051760310E+09,  7.367456714563453E+07,
2433339.500000000, A.D. 1950-Feb-27 00:00:00.0000, -4.366460127431392E+09, -1.232467337186284E+09,  7.368576683499396E+07,
2433340.500000000, A.D. 1950-Feb-28 00:00:00.0000, -4.366313611953659E+09, -1.232917614275665E+09,  7.369697175798583E+07,
