JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.197027615719067E+09, -2.016197565735425E+09, -3.644904884663427E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.197310152665133E+09, -2.015732770490338E+09, -3.621332215448606E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.197712078672265E+09, -2.015290082646658E+09, -3.594975873171830E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.198231316389387E+09, -2.014877037900643E+09, -3.571538344918787E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.198840820999963E+09, -2.014494837197187E+09, -3.556091038705182E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.199494359797930E+09, -2.014138108062990E+09, -3.552003338561952E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.200136287171718E+09, -2.013796041469434E+09, -3.560230897266519E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.200713313815275E+09, -2.013454669273284E+09, -3.579107301595879E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.201185855422315E+09, -2.013099822210454E+09, -3.604687024488366E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.201536578203593E+09, -2.012720160331001E+09, -3.631576885881639E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.201774248107425E+09, -2.012309627972597E+09, -3.654088555140173E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.201931951176270E+09, -2.011868785347207E+09, -3.667466312063730E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.202059979230213E+09, -2.011404700360210E+09, -3.668918408591366E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.202214934172902E+09, -2.010929415024187E+09, -3.658220231318033E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.202447496409197E+09, -2.010457331806098E+09, -3.637754702977359E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.202791573482160E+09, -2.010002109265045E+09, -3.611987356253326E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.203257165997051E+09, -2.009573751341730E+09, -3.586500394120729E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.203828378058813E+09, -2.009176504461625E+09, -3.566801721683693E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.204466886867272E+09, -2.008807985259094E+09, -3.557161701034796E+07,
