JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717670952821323E+09, -2.212914523290242E+09,  1.412685956692982E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717194227163299E+09, -2.213319975606238E+09,  1.402808572152472E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716667073643107E+09, -2.213714517153117E+09,  1.408782464243221E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716297556585785E+09, -2.214081345910209E+09,  1.409756116020811E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715804077979642E+09, -2.214489397469079E+09,  1.400398340095413E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715289853335078E+09, -2.214879211715753E+09,  1.407494522205687E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714922069816908E+09, -2.215247738110419E+09,  1.406710791201544E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714412972963684E+09, -2.215657727635154E+09,  1.398171112688196E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.713913625001929E+09, -2.216042766548215E+09,  1.406116040135229E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713544278569188E+09, -2.216413699533294E+09,  1.403583888620222E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.713021193043456E+09, -2.216824901458389E+09,  1.396129121590197E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712538149421793E+09, -2.217205283171393E+09,  1.404611526534188E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712164082444870E+09, -2.217579219398600E+09,  1.400399065618610E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711629157273807E+09, -2.217990836641912E+09,  1.394265484373069E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711163236233930E+09, -2.218366834183608E+09,  1.402958427601302E+07,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000, -1.710781456170287E+09, -2.218744249503566E+09,  1.397194790968263E+07,
2444255.500000000, A.D. 1980-Jan-17 00:00:00.0000, -1.710237204685958E+09, -2.219155460592603E+09,  1.392578643263137E+07,
2444256.500000000, A.D. 1980-Jan-18 00:00:00.0000, -1.709788521986043E+09, -2.219527512972562E+09,  1.401146371148062E+07,
2444257.500000000, A.D. 1980-Jan-19 00:00:00.0000, -1.709396261798570E+09, -2.219908769454891E+09,  1.394007365538132E+07,
2444258.500000000, A.D. 1980-Jan-20 00:00:00.0000, -1.708845529350606E+09, -2.220318764340404E+09,  1.391044372788525E+07,
2444259.500000000, A.D. 1980-Jan-21 00:00:00.0000, -1.708413639742312E+09, -2.220687435746042E+09,  1.399149478374183E+07,
2444260.500000000, A.D. 1980-Jan-22 00:00:00.0000, -1.708008578283468E+09, -2.221072733629165E+09,  1.390857328698850E+07,
2444261.500000000, A.D. 1980-Jan-23 00:00:00.0000, -1.707454506550275E+09, -2.221480710234832E+09,  1.389630598831868E+07,
2444262.500000000, A.D. 1980-Jan-24 00:00:00.0000, -1.707038374066541E+09, -2.221846659966156E+09,  1.396960180847919E+07,
2444263.500000000, A.D. 1980-Jan-25 00:00:00.0000, -1.706618609018736E+09, -2.222236045479283E+09,  1.387781990861535E+07,
2444264.500000000, A.D. 1980-Jan-26 00:00:00.0000, -1.706064424314774E+09, -2.222641258642856E+09,  1.388320094550753E+07,
2444265.500000000, A.D. 1980-Jan-27 00:00:00.0000, -1.705662342305159E+09, -2.223005249814037E+09,  1.394592255499709E+07,
2444266.500000000, A.D. 1980-Jan-28 00:00:00.0000, -1.705226394755598E+09, -2.223398646623526E+09,  1.384816833991766E+07,
2444267.500000000, A.D. 1980-Jan-29 00:00:00.0000, -1.704675356335565E+09, -2.223800441756842E+09,  1.387077846721542E+07,
2444268.500000000, A.D. 1980-Jan-30 00:00:00.0000, -1.704285153446725E+09, -2.224163290125087E+09,  1.392046136555827E+07,
2444269.500000000, A.D. 1980-Jan-31 00:00:00.0000, -1.703832130269679E+09, -2.224560468213074E+09,  1.381980734824145E+07,
2444270.500000000, A.D. 1980-Feb-01 00:00:00.0000, -1.703287437387280E+09, -2.224958287745638E+09,  1.385862121715999E+07,
2444271.500000000, A.D. 1980-Feb-02 00:00:00.0000, -1.702906556450710E+09, -2.225320822309208E+09,  1.389331372105789E+07,
2444272.500000000, A.D. 1980-Feb-03 00:00:00.0000, -1.702436126700989E+09, -2.225721405945564E+09,  1.379299579452348E+07,
2444273.500000000, A.D. 1980-Feb-04 00:00:00.0000, -1.701900697009603E+09, -2.226114831662376E+09,  1.384642696025848E+07,
2444274.500000000, A.D. 1980-Feb-05 00:00:00.0000, -1.701526214759790E+09, -2.226477890764663E+09,  1.386468904791307E+07,
2444275.500000000, A.D. 1980-Feb-06 00:00:00.0000, -1.701038616948936E+09, -2.226881387209051E+09,  1.376788975586832E+07,
2444276.500000000, A.D. 1980-Feb-07 00:00:00.0000, -1.700515070445335E+09, -2.227270147101737E+09,  1.383376704011619E+07,
2444277.500000000, A.D. 1980-Feb-08 00:00:00.0000, -1.700143908000409E+09, -2.227634521685273E+09,  1.383474660775352E+07,
2444278.500000000, A.D. 1980-Feb-09 00:00:00.0000, -1.699639983089365E+09, -2.228040317560114E+09,  1.374456772954035E+07,
2444279.500000000, A.D. 1980-Feb-10 00:00:00.0000, -1.699130534729698E+09, -2.228424287063157E+09,  1.382029365296340E+07,
2444280.500000000, A.D. 1980-Feb-11 00:00:00.0000, -1.698759510120212E+09, -2.228790696413659E+09,  1.380381683949864E+07,
2444281.500000000, A.D. 1980-Feb-12 00:00:00.0000, -1.698240586500863E+09, -2.229198093226912E+09,  1.372320463302863E+07,
2444282.500000000, A.D. 1980-Feb-13 00:00:00.0000, -1.697746842527773E+09, -2.229577332503091E+09,  1.380580962168157E+07,
