JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.770728578851216E+08,  4.506554068306265E+08, -7.601590561241746E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.764766484088862E+08,  4.517364347717431E+08, -7.494131850973219E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.758803374130470E+08,  4.528156723761382E+08, -7.387153271088153E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.752839213830056E+08,  4.538931103240479E+08, -7.280661168598682E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.746873967774044E+08,  4.549687393286036E+08, -7.174661874649256E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.740907600218177E+08,  4.560425501408833E+08, -7.069161699578196E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.734940075158056E+08,  4.571145335451841E+08, -6.964166938846678E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.728971356278627E+08,  4.581846803609323E+08, -6.859683869840592E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.723001406975435E+08,  4.592529814419389E+08, -6.755718753626108E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.717030190358806E+08,  4.603194276745800E+08, -6.652277836135864E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.711057669239802E+08,  4.613840099771167E+08, -6.549367347952664E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.705083806128800E+08,  4.624467192993099E+08, -6.446993504733980E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.699108563236824E+08,  4.635075466214594E+08, -6.345162508012563E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.693131902464706E+08,  4.645664829535174E+08, -6.243880545266300E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.687153785392156E+08,  4.656235193350480E+08, -6.143153789664954E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.681174173282222E+08,  4.666786468353255E+08, -6.042988400662869E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.675193027088330E+08,  4.677318565522543E+08, -5.943390525222749E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.669210307444205E+08,  4.687831396107174E+08, -5.844366298284411E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.663225974655483E+08,  4.698324871626257E+08, -5.745921842647582E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.657239988710283E+08,  4.708798903868448E+08, -5.648063270054787E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.651252309245467E+08,  4.719253404844192E+08, -5.550796681702793E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.645262895570798E+08,  4.729688286851022E+08, -5.454128167110860E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.639271706643292E+08,  4.740103462389992E+08, -5.358063807130575E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.633278701057379E+08,  4.750498844239625E+08, -5.262609669718415E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.627283837063479E+08,  4.760874345381881E+08, -5.167771815595418E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.621287072543272E+08,  4.771229879036314E+08, -5.073556295190960E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.615288365021020E+08,  4.781565358641697E+08, -4.979969150825769E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.609287671652795E+08,  4.791880697837600E+08, -4.887016417447567E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.603284949208775E+08,  4.802175810464538E+08, -4.794704121940255E+06,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.597280154068756E+08,  4.812450610562110E+08, -4.703038283430398E+06,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.591273242218883E+08,  4.822705012361090E+08, -4.612024913982213E+06,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.585264169240712E+08,  4.832938930279112E+08, -4.521670018576443E+06,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.579252890303879E+08,  4.843152278920153E+08, -4.431979595153421E+06,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.573239360168536E+08,  4.853344973067721E+08, -4.342959635714412E+06,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.567223533181164E+08,  4.863516927669980E+08, -4.254616127453774E+06,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.561205363254151E+08,  4.873668057830374E+08, -4.166955052477449E+06,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.555184803857137E+08,  4.883798278810465E+08, -4.079982387600660E+06,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.549161808023864E+08,  4.893907506023982E+08, -3.993704105732054E+06,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.543136328301764E+08,  4.903995655016898E+08, -3.908126174289256E+06,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.537108316801816E+08,  4.914062641496168E+08, -3.823254557092845E+06,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.531077725143362E+08,  4.924108381279261E+08, -3.739095215040565E+06,
2447254.500092593, A.D. 1988-Apr-03 00:00:08.0000,  5.525044504469985E+08,  4.934132790351027E+08, -3.655654103094578E+06,
2447255.500092593, A.D. 1988-Apr-04 00:00:08.0000,  5.519008605435287E+08,  4.944135784790937E+08, -3.572937175621033E+06,
2447256.500092593, A.D. 1988-Apr-05 00:00:08.0000,  5.512969978192042E+08,  4.954117280808905E+08, -3.490950383375347E+06,
2447257.500092593, A.D. 1988-Apr-06 00:00:08.0000,  5.506928572388173E+08,  4.964077194723430E+08, -3.409699675486624E+06,
2447258.500092593, A.D. 1988-Apr-07 00:00:08.0000,  5.500884337145915E+08,  4.974015442951062E+08, -3.329190999335885E+06,
2447259.500092593, A.D. 1988-Apr-08 00:00:08.0000,  5.494837221046835E+08,  4.983931942014254E+08, -3.249430299471408E+06,
2447260.500092593, A.D. 1988-Apr-09 00:00:08.0000,  5.488787172129234E+08,  4.993826608539641E+08, -3.170423518206358E+06,
2447261.500092593, A.D. 1988-Apr-10 00:00:08.0000,  5.482734137882562E+08,  5.003699359248235E+08, -3.092176596625000E+06,
2447262.500092593, A.D. 1988-Apr-11 00:00:08.0000,  5.476678065234092E+08,  5.013550110950902E+08, -3.014695474606276E+06,
2447263.500092593, A.D. 1988-Apr-12 00:00:08.0000,  5.470618900538423E+08,  5.023378780546430E+08, -2.937986090883523E+06,
2447264.500092593, A.D. 1988-Apr-13 00:00:08.0000,  5.464556589571811E+08,  5.033185285012195E+08, -2.862054384073228E+06,
2447265.500092593, A.D. 1988-Apr-14 00:00:08.0000,  5.458491077517463E+08,  5.042969541392756E+08, -2.786906293183446E+06,
2447266.500092593, A.D. 1988-Apr-15 00:00:08.0000,  5.452422308941748E+08,  5.052731466800558E+08, -2.712547756469309E+06,
2447267.500092593, A.D. 1988-Apr-16 00:00:08.0000,  5.446350227790389E+08,  5.062470978420783E+08, -2.638984711461425E+06,
2447268.500092593, A.D. 1988-Apr-17 00:00:08.0000,  5.440274777391959E+08,  5.072187993500572E+08, -2.566223096864134E+06,
2447269.500092593, A.D. 1988-Apr-18 00:00:08.0000,  5.434195900397149E+08,  5.081882429350882E+08, -2.494268848703474E+06,
2447270.500092593, A.D. 1988-Apr-19 00:00:08.0000,  5.428113538852235E+08,  5.091554203345410E+08, -2.423127906336725E+06,
2447271.500092593, A.D. 1988-Apr-20 00:00:08.0000,  5.422027634102590E+08,  5.101203232901454E+08, -2.352806208410352E+06,
2447272.500092593, A.D. 1988-Apr-21 00:00:08.0000,  5.415938126851418E+08,  5.110829435510796E+08, -2.283309694413245E+06,
2447273.500092593, A.D. 1988-Apr-22 00:00:08.0000,  5.409844957092249E+08,  5.120432728691877E+08, -2.214644305609375E+06,
2447274.500092593, A.D. 1988-Apr-23 00:00:08.0000,  5.403748064122373E+08,  5.130013030021496E+08, -2.146815983679712E+06,
2447275.500092593, A.D. 1988-Apr-24 00:00:08.0000,  5.397647386523311E+08,  5.139570257120262E+08, -2.079830671764284E+06,
2447276.500092593, A.D. 1988-Apr-25 00:00:08.0000,  5.391542862138450E+08,  5.149104327655071E+08, -2.013694313576490E+06,
2447277.500092593, A.D. 1988-Apr-26 00:00:08.0000,  5.385434428066108E+08,  5.158615159350370E+08, -1.948412852854669E+06,
2447278.500092593, A.D. 1988-Apr-27 00:00:08.0000,  5.379322020651776E+08,  5.168102669984213E+08, -1.883992234402537E+06,
2447279.500092593, A.D. 1988-Apr-28 00:00:08.0000,  5.373205575470030E+08,  5.177566777379756E+08, -1.820438404814243E+06,
2447280.500092593, A.D. 1988-Apr-29 00:00:08.0000,  5.367085027303430E+08,  5.187007399406213E+08, -1.757757311979890E+06,
2447281.500092593, A.D. 1988-Apr-30 00:00:08.0000,  5.360960310125538E+08,  5.196424453981736E+08, -1.695954904748827E+06,
2447282.500092593, A.D. 1988-May-01 00:00:08.0000,  5.354831357083676E+08,  5.205817859068211E+08, -1.635037133443505E+06,
2447283.500092593, A.D. 1988-May-02 00:00:08.0000,  5.348698100475188E+08,  5.215187532667638E+08, -1.575009949631095E+06,
2447284.500092593, A.D. 1988-May-03 00:00:08.0000,  5.342560471725442E+08,  5.224533392830768E+08, -1.515879304619879E+06,
2447285.500092593, A.D. 1988-May-04 00:00:08.0000,  5.336418401381384E+08,  5.233855357657989E+08, -1.457651149939418E+06,
2447286.500092593, A.D. 1988-May-05 00:00:08.0000,  5.330271819100173E+08,  5.243153345283073E+08, -1.400331439309597E+06,
2447287.500092593, A.D. 1988-May-06 00:00:08.0000,  5.324120653602855E+08,  5.252427273896831E+08, -1.343926123566061E+06,
2447288.500092593, A.D. 1988-May-07 00:00:08.0000,  5.317964832710977E+08,  5.261677061708403E+08, -1.288441158341110E+06,
2447289.500092593, A.D. 1988-May-08 00:00:08.0000,  5.311804283258322E+08,  5.270902626962399E+08, -1.233882497476608E+06,
2447290.500092593, A.D. 1988-May-09 00:00:08.0000,  5.305638931152052E+08,  5.280103887946195E+08, -1.180256096499592E+06,
2447291.500092593, A.D. 1988-May-10 00:00:08.0000,  5.299468701275404E+08,  5.289280762967325E+08, -1.127567910058916E+06,
2447292.500092593, A.D. 1988-May-11 00:00:08.0000,  5.293293517520441E+08,  5.298433170376294E+08, -1.075823892137259E+06,
2447293.500092593, A.D. 1988-May-12 00:00:08.0000,  5.287113302759468E+08,  5.307561028556935E+08, -1.025029996355116E+06,
