JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.693851409615829E+08,  9.782875883450119E+08, -6.116929013002676E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.688376397879297E+08,  9.789428361524262E+08, -6.108124799117267E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.682885804874285E+08,  9.795979425136212E+08, -6.099264487736106E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.677379651431768E+08,  9.802528984965248E+08, -6.090349205608171E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.671857959472544E+08,  9.809076952915133E+08, -6.081380066521311E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.666320751958401E+08,  9.815623242100953E+08, -6.072358171362138E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.660768052910293E+08,  9.822167766804836E+08, -6.063284608538914E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.655199887411681E+08,  9.828710442481995E+08, -6.054160454081726E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.649616281461513E+08,  9.835251185775225E+08, -6.044986771293747E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.644017261958051E+08,  9.841789914472780E+08, -6.035764611070240E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.638402856669841E+08,  9.848326547494223E+08, -6.026495012016016E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.632773094206666E+08,  9.854861004876266E+08, -6.017179000562948E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.627128003990504E+08,  9.861393207758596E+08, -6.007817591087425E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.621467616226484E+08,  9.867923078369720E+08, -5.998411786027831E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.615791961873832E+08,  9.874450540012774E+08, -5.988962576002026E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.610101072616820E+08,  9.880975517051342E+08, -5.979470939924872E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.604394980835718E+08,  9.887497934895267E+08, -5.969937845125657E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.598673719577731E+08,  9.894017719986473E+08, -5.960364247465658E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.592937322527947E+08,  9.900534799784746E+08, -5.950751091455573E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.587185823980284E+08,  9.907049102753546E+08, -5.941099310373080E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.581419258808415E+08,  9.913560558345797E+08, -5.931409826380301E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.575637662436721E+08,  9.920069096989678E+08, -5.921683550641340E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.569841070811226E+08,  9.926574650074406E+08, -5.911921383439738E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.564029520370530E+08,  9.933077149936013E+08, -5.902124214296067E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.558203048029779E+08,  9.939576529823655E+08, -5.892292922012508E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.552361691214792E+08,  9.946072723909601E+08, -5.882428374912059E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.546505487797911E+08,  9.952565667289381E+08, -5.872531431030881E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.540634476059588E+08,  9.959055295946258E+08, -5.862602938150227E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.534748694672252E+08,  9.965541546738770E+08, -5.852643733917654E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.528848182684201E+08,  9.972024357388257E+08, -5.842654645968044E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.522932979503478E+08,  9.978503666466378E+08, -5.832636492044687E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.517003124881761E+08,  9.984979413382623E+08, -5.822590080120486E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.511058658898242E+08,  9.991451538371806E+08, -5.812516208518934E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.505099621943521E+08,  9.997919982481544E+08, -5.802415666035420E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.499126054703516E+08,  1.000438468755972E+09, -5.792289232058257E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.493137998143344E+08,  1.001084559624193E+09, -5.782137676689953E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.487135493491266E+08,  1.001730265193893E+09, -5.771961760868365E+07,
