JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.561661423385330E+08,  9.809388636338630E+08, -5.520162228070289E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.556443136304214E+08,  9.816236559703369E+08, -5.525217146161664E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.551739381209345E+08,  9.821902990639699E+08, -5.524599953158993E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.546404247914671E+08,  9.826469504455378E+08, -5.517665352871239E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.539707665581279E+08,  9.830755557829382E+08, -5.508013529932618E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.531831463684506E+08,  9.835760035337389E+08, -5.501035469619912E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.523729668329370E+08,  9.841992061088740E+08, -5.500284354712838E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.516490384686748E+08,  9.849152574642606E+08, -5.505213961040562E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.510635892117558E+08,  9.856337020844325E+08, -5.511583433803159E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.505782911613413E+08,  9.862614066259278E+08, -5.514165156988961E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.500873398036668E+08,  9.867640372817115E+08, -5.510175153596836E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.494875180415344E+08,  9.871907339690329E+08, -5.501218689154416E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.487486213463407E+08,  9.876412394319115E+08, -5.492229739853668E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.479327724328775E+08,  9.881980949541844E+08, -5.488105601262933E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.471513582514913E+08,  9.888729538277818E+08, -5.490496306485575E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.464924483481032E+08,  9.896004842795240E+08, -5.496807077064276E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.459643554001867E+08,  9.902804260757297E+08, -5.501870632639039E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.454886628143208E+08,  9.908424160982368E+08, -5.501273460024655E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.449506004901145E+08,  9.912940552549846E+08, -5.494341456670719E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.442767043212305E+08,  9.917168996688662E+08, -5.484656071073335E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.434844475695200E+08,  9.922107781697799E+08, -5.477604447282118E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.426685372139229E+08,  9.928271699987013E+08, -5.476765015396696E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.419379503987607E+08,  9.935370671271503E+08, -5.481637082314980E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.413458779102237E+08,  9.942503381216017E+08, -5.487999630641335E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.408547344352616E+08,  9.948733871749444E+08, -5.490602378371453E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.403588204195065E+08,  9.953712240949093E+08, -5.486626806491363E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.397546163135855E+08,  9.957925396149006E+08, -5.477655706118363E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.390113256539890E+08,  9.962368073875778E+08, -5.468609901047587E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.381902643061174E+08,  9.967868015915393E+08, -5.464396061714470E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.374025923560218E+08,  9.974549919529064E+08, -5.466704902641463E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.367369689727941E+08,  9.981767504520419E+08, -5.472979393042666E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.362026676778096E+08,  9.988517446610932E+08, -5.478051084143567E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.357216746345789E+08,  9.994089988387372E+08, -5.477474035338694E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.351790739235030E+08,  9.998555503943450E+08, -5.470544204553598E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.345009776037858E+08,  1.000272569720697E+09, -5.460824274624467E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.337041040151136E+08,  1.000759827314347E+09, -5.453697554974872E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.328825620280203E+08,  1.001369365454643E+09, -5.452769456768185E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.321454145464813E+08,  1.002073052251079E+09, -5.457583986071038E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.315467910823013E+08,  1.002781065001483E+09, -5.463939299339849E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.310498565077990E+08,  1.003399374190521E+09, -5.466563478469539E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.305490241750561E+08,  1.003892378816372E+09, -5.462604794508010E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.299404814515579E+08,  1.004308298093321E+09, -5.453621574720997E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.291928667515197E+08,  1.004746290805884E+09, -5.444519136512119E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.283666690321740E+08,  1.005289370755869E+09, -5.440214393417585E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.275727498810281E+08,  1.005950850146192E+09, -5.442440537403369E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.269004556147469E+08,  1.006666804924325E+09, -5.448680050259662E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.263599695380871E+08,  1.007336771065729E+09, -5.453759768051916E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.258736826588918E+08,  1.007889203608860E+09, -5.453202791828322E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.253265800373302E+08,  1.008330623207800E+09, -5.446276899488604E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.246443615538520E+08,  1.008741770597438E+09, -5.436523088193697E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.238429262541339E+08,  1.009222324404946E+09, -5.429318618823916E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.230157749901747E+08,  1.009824943854992E+09, -5.428299550279582E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.222721301670655E+08,  1.010522352860437E+09, -5.433055367173648E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.216670421405344E+08,  1.011225031516582E+09, -5.439403487978166E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.211643681523063E+08,  1.011838534192961E+09, -5.442050346802878E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.206586464597287E+08,  1.012326664409704E+09, -5.438110874883276E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.200458301112187E+08,  1.012737150822427E+09, -5.429117465290380E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.192939400229578E+08,  1.013168809736379E+09, -5.419957601372391E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.184626818963323E+08,  1.013704936094553E+09, -5.415561543009758E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.176625703329916E+08,  1.014359666851683E+09, -5.417704660801488E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.169836294655844E+08,  1.015069749728473E+09, -5.423908176713902E+07,
2440858.500266204, A.D. 1970-Sep-29 00:00:23.0000,  9.164369814453918E+08,  1.015734610300158E+09, -5.428995761696064E+07,
2440859.500266204, A.D. 1970-Sep-30 00:00:23.0000,  9.159454237101219E+08,  1.016282172092317E+09, -5.428460915176994E+07,
2440860.500266204, A.D. 1970-Oct-01 00:00:23.0000,  9.153938658625154E+08,  1.016718420882893E+09, -5.421541351696157E+07,
2440861.500266204, A.D. 1970-Oct-02 00:00:23.0000,  9.147076041424693E+08,  1.017123643509533E+09, -5.411754348815858E+07,
