JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.563881061422362E+08,  9.809884733616475E+08, -5.524840956297565E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.557798332352506E+08,  9.813284793301623E+08, -5.511075303620768E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.549626495099844E+08,  9.820995839520485E+08, -5.517846930281729E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.545785538662021E+08,  9.825974941402658E+08, -5.514552387422270E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.536745569915713E+08,  9.831220135120871E+08, -5.507633494325030E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.532106527032199E+08,  9.838741143960125E+08, -5.516897152705282E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.525249518315794E+08,  9.842162443034990E+08, -5.502598807413638E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.517697777998402E+08,  9.850186669831320E+08, -5.511717091916680E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513513795565244E+08,  9.854550427556787E+08, -5.504973530057007E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.504353761806133E+08,  9.860443374552431E+08, -5.501437182859015E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.500188206936727E+08,  9.867410924650837E+08, -5.508366522687602E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.492593080422522E+08,  9.871034959621089E+08, -5.494521763515234E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.485752246929752E+08,  9.879197770160958E+08, -5.505160110931176E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.481052541300740E+08,  9.883058582512074E+08, -5.495389386782390E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.471984121529673E+08,  9.889593143004396E+08, -5.495408466463280E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.468112949212009E+08,  9.895916483487494E+08, -5.499354692072934E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.459867015617732E+08,  9.899911051979051E+08, -5.486927294424611E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.453765888637502E+08,  9.908026782390649E+08, -5.498140941987234E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.448411970440769E+08,  9.911534031540843E+08, -5.485991822605377E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.439634773482034E+08,  9.918651369079937E+08, -5.489451534934050E+07,
