JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.877895973444058E+08,  4.357613365348126E+08, -8.307742444582552E+06,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.870766272577568E+08,  4.370418097110798E+08, -8.312234769486427E+06,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.863663680450257E+08,  4.383230671649749E+08, -8.319510296240062E+06,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.856589293574934E+08,  4.396050167910719E+08, -8.329626061941296E+06,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.849544207609572E+08,  4.408875602791482E+08, -8.342638378873050E+06,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.842529514490116E+08,  4.421705928197619E+08, -8.358602612960428E+06,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.835546299226543E+08,  4.434540030578398E+08, -8.377572979182661E+06,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.828595636605526E+08,  4.447376728907166E+08, -8.399602314701408E+06,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.821678587493651E+08,  4.460214773769843E+08, -8.424741832292289E+06,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.814796195087510E+08,  4.473052846602911E+08, -8.453040885103196E+06,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.807949480948324E+08,  4.485889558999038E+08, -8.484546715292037E+06,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.801139440753112E+08,  4.498723452458914E+08, -8.519304183224022E+06,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.794367039895022E+08,  4.511552998534608E+08, -8.557355496458918E+06,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.787633208953198E+08,  4.524376599212291E+08, -8.598739937451541E+06,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.780938838921758E+08,  4.537192587685976E+08, -8.643493572308391E+06,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.774284776233375E+08,  4.549999229763349E+08, -8.691648945562154E+06,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.767671817813727E+08,  4.562794725841509E+08, -8.743234792354882E+06,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.761100706225905E+08,  4.575577213221036E+08, -8.798275772065371E+06,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.754572124609734E+08,  4.588344768881446E+08, -8.856792178775251E+06,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.748086691615822E+08,  4.601095412994447E+08, -8.918799653941780E+06,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.741644957156963E+08,  4.613827112647679E+08, -8.984309012093395E+06,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.735247396397936E+08,  4.626537786438811E+08, -9.053325831321955E+06,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.728894406708823E+08,  4.639225309052327E+08, -9.125850412716389E+06,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.722586301676493E+08,  4.651887517876027E+08, -9.201877366215855E+06,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.716323308524969E+08,  4.664522218041679E+08, -9.281395600136012E+06,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.710105563621339E+08,  4.677127189556578E+08, -9.364388061695606E+06,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.703933109603420E+08,  4.689700194337699E+08, -9.450831646288872E+06,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.697805892715522E+08,  4.702238983392876E+08, -9.540697125661612E+06,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.691723760356172E+08,  4.714741304530950E+08, -9.633949072747141E+06,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.685686459363021E+08,  4.727204910421245E+08, -9.730545837542683E+06,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.679693634939016E+08,  4.739627566834213E+08, -9.830439570028543E+06,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.673744830082980E+08,  4.752007061069685E+08, -9.933576270448983E+06,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.667839485767747E+08,  4.764341210511593E+08, -1.003989588402912E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.661976942021286E+08,  4.776627871052359E+08, -1.014933246172667E+07,
