JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  5.952611671281402E+08,  4.127135498647110E+08, -1.224503205761701E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  5.944314402149544E+08,  4.137312025334083E+08, -1.218995762187868E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  5.936002863446547E+08,  4.147489452813328E+08, -1.213497762118345E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  5.927677135800989E+08,  4.157667771286609E+08, -1.208009450384927E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.919337300494168E+08,  4.167846970871769E+08, -1.202531073264343E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.910983439463660E+08,  4.178027041660797E+08, -1.197062878619292E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.902615635325063E+08,  4.188207973663847E+08, -1.191605115808278E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.894233971368936E+08,  4.198389756836579E+08, -1.186158035768065E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.885838531578177E+08,  4.208572381066582E+08, -1.180721891012824E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.877429400633113E+08,  4.218755836157016E+08, -1.175296935623950E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.869006663913262E+08,  4.228940111824483E+08, -1.169883425270578E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.860570407506460E+08,  4.239125197695369E+08, -1.164481617228693E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.852120718217444E+08,  4.249311083296239E+08, -1.159091770386374E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.843657683570879E+08,  4.259497758047246E+08, -1.153714145254546E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.835181391816709E+08,  4.269685211261572E+08, -1.148349003993216E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.826691931942856E+08,  4.279873432142176E+08, -1.142996610434476E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.818189393685894E+08,  4.290062409769753E+08, -1.137657230084053E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.809673867532879E+08,  4.300252133090726E+08, -1.132331130119821E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.801145444729205E+08,  4.310442590915513E+08, -1.127018579417235E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.792604217294215E+08,  4.320633771909900E+08, -1.121719848560837E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.784050278002080E+08,  4.330825664565532E+08, -1.116435209791017E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.775483720418957E+08,  4.341018257236238E+08, -1.111164937136018E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.766904638885719E+08,  4.351211538076949E+08, -1.105909306278047E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.758313128538767E+08,  4.361405495108061E+08, -1.100668594762275E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.749709285314866E+08,  4.371600116135153E+08, -1.095443081813031E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.741093205957489E+08,  4.381795388783407E+08, -1.090233048459744E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.732464988029003E+08,  4.391991300473196E+08, -1.085038777507815E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.723824729910544E+08,  4.402187838402153E+08, -1.079860553519025E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.715172530804772E+08,  4.412384989545705E+08, -1.074698662844446E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.706508490746119E+08,  4.422582740650337E+08, -1.069553393642598E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.697832710608593E+08,  4.432781078220072E+08, -1.064425035877499E+07,
2447244.500092593, A.D. 1988-Mar-24 00:00:08.0000,  5.689145292109349E+08,  4.442979988509037E+08, -1.059313881331089E+07,
2447245.500092593, A.D. 1988-Mar-25 00:00:08.0000,  5.680446337816548E+08,  4.453179457517393E+08, -1.054220223628789E+07,
2447246.500092593, A.D. 1988-Mar-26 00:00:08.0000,  5.671735951162304E+08,  4.463379470978357E+08, -1.049144358243939E+07,
2447247.500092593, A.D. 1988-Mar-27 00:00:08.0000,  5.663014236448563E+08,  4.473580014338233E+08, -1.044086582476753E+07,
2447248.500092593, A.D. 1988-Mar-28 00:00:08.0000,  5.654281298843932E+08,  4.483781072744949E+08, -1.039047195450342E+07,
2447249.500092593, A.D. 1988-Mar-29 00:00:08.0000,  5.645537244392483E+08,  4.493982631044549E+08, -1.034026498140144E+07,
2447250.500092593, A.D. 1988-Mar-30 00:00:08.0000,  5.636782180028629E+08,  4.504184673765672E+08, -1.029024793374166E+07,
2447251.500092593, A.D. 1988-Mar-31 00:00:08.0000,  5.628016213548151E+08,  4.514387185107740E+08, -1.024042385805622E+07,
2447252.500092593, A.D. 1988-Apr-01 00:00:08.0000,  5.619239453671867E+08,  4.524590148945883E+08, -1.019079582019284E+07,
2447253.500092593, A.D. 1988-Apr-02 00:00:08.0000,  5.610452009998488E+08,  4.534793548789721E+08, -1.014136690394330E+07,
