JDTDB,Calendar Date (TDB),X,Y,Z,
2446431.500000000, A.D. 1986-Jan-01 00:00:00.0000, -5.624255963230894E+08, -2.804181280698885E+09, -3.077096472449780E+06,
2446432.500000000, A.D. 1986-Jan-02 00:00:00.0000, -5.617346211617267E+08, -2.804360645381170E+09, -3.168884568411350E+06,
2446433.500000000, A.D. 1986-Jan-03 00:00:00.0000, -5.612329059933318E+08, -2.804469461914913E+09, -3.049837526263714E+06,
2446434.500000000, A.D. 1986-Jan-04 00:00:00.0000, -5.606460621128185E+08, -2.804635564441010E+09, -3.204644396627665E+06,
2446435.500000000, A.D. 1986-Jan-05 00:00:00.0000, -5.600245583594353E+08, -2.804767519054765E+09, -3.071641548623681E+06,
2446436.500000000, A.D. 1986-Jan-06 00:00:00.0000, -5.595514927782290E+08, -2.804904082359878E+09, -3.190538744969726E+06,
2446437.500000000, A.D. 1986-Jan-07 00:00:00.0000, -5.588431399652449E+08, -2.805065835289486E+09, -3.138373446546197E+06,
2446438.500000000, A.D. 1986-Jan-08 00:00:00.0000, -5.584162030268128E+08, -2.805176347756647E+09, -3.145980139276385E+06,
2446439.500000000, A.D. 1986-Jan-09 00:00:00.0000, -5.577116302421170E+08, -2.805354462643248E+09, -3.214769951690435E+06,
2446440.500000000, A.D. 1986-Jan-10 00:00:00.0000, -5.572314280110438E+08, -2.805460037649326E+09, -3.111353226825118E+06,
2446441.500000000, A.D. 1986-Jan-11 00:00:00.0000, -5.566187310726752E+08, -2.805629987346855E+09, -3.260527515551090E+06,
2446442.500000000, A.D. 1986-Jan-12 00:00:00.0000, -5.560224046486968E+08, -2.805754864507202E+09, -3.121774166145325E+06,
2446443.500000000, A.D. 1986-Jan-13 00:00:00.0000, -5.555284811317888E+08, -2.805897256856689E+09, -3.256390006808519E+06,
2446444.500000000, A.D. 1986-Jan-14 00:00:00.0000, -5.548319440165443E+08, -2.806052318970350E+09, -3.181187718942761E+06,
2446445.500000000, A.D. 1986-Jan-15 00:00:00.0000, -5.544033139488541E+08, -2.806166112443367E+09, -3.215347617661238E+06,
2446446.500000000, A.D. 1986-Jan-16 00:00:00.0000, -5.536893531551014E+08, -2.806341805901946E+09, -3.259258014763474E+06,
2446447.500000000, A.D. 1986-Jan-17 00:00:00.0000, -5.532277124778806E+08, -2.806445284943936E+09, -3.175070732390046E+06,
2446448.500000000, A.D. 1986-Jan-18 00:00:00.0000, -5.525904781575189E+08, -2.806618159233628E+09, -3.314102061650872E+06,
2446449.500000000, A.D. 1986-Jan-19 00:00:00.0000, -5.520201211431484E+08, -2.806736452076454E+09, -3.174269431499720E+06,
2446450.500000000, A.D. 1986-Jan-20 00:00:00.0000, -5.515028199365318E+08, -2.806884631070596E+09, -3.320487106820345E+06,
2446451.500000000, A.D. 1986-Jan-21 00:00:00.0000, -5.508220366627836E+08, -2.807032521962981E+09, -3.224827551973224E+06,
2446452.500000000, A.D. 1986-Jan-22 00:00:00.0000, -5.503869974958205E+08, -2.807150482064717E+09, -3.284631883169889E+06,
2446453.500000000, A.D. 1986-Jan-23 00:00:00.0000, -5.496680451768136E+08, -2.807322646578832E+09, -3.302519886943221E+06,
2446454.500000000, A.D. 1986-Jan-24 00:00:00.0000, -5.492213293363080E+08, -2.807425240656421E+09, -3.240576924201727E+06,
2446455.500000000, A.D. 1986-Jan-25 00:00:00.0000, -5.485615911641201E+08, -2.807600014678671E+09, -3.365327424649596E+06,
2446456.500000000, A.D. 1986-Jan-26 00:00:00.0000, -5.480171285834733E+08, -2.807712420897065E+09, -3.229208338955760E+06,
2446457.500000000, A.D. 1986-Jan-27 00:00:00.0000, -5.474746725140471E+08, -2.807866140811085E+09, -3.382605597594023E+06,
2446458.500000000, A.D. 1986-Jan-28 00:00:00.0000, -5.468131048577389E+08, -2.808006590582075E+09, -3.269830033332467E+06,
2446459.500000000, A.D. 1986-Jan-29 00:00:00.0000, -5.463672547602214E+08, -2.808129425277955E+09, -3.353594852684975E+06,
2446460.500000000, A.D. 1986-Jan-30 00:00:00.0000, -5.456479563726637E+08, -2.808297013458271E+09, -3.345124037243605E+06,
2446461.500000000, A.D. 1986-Jan-31 00:00:00.0000, -5.452120942916857E+08, -2.808399917990359E+09, -3.307665748627424E+06,
2446462.500000000, A.D. 1986-Feb-01 00:00:00.0000, -5.445326223540312E+08, -2.808575465557114E+09, -3.414406611512661E+06,
2446463.500000000, A.D. 1986-Feb-02 00:00:00.0000, -5.440131482145668E+08, -2.808682836949411E+09, -3.286613450490475E+06,
2446464.500000000, A.D. 1986-Feb-03 00:00:00.0000, -5.434445642872338E+08, -2.808841636850618E+09, -3.442474548083663E+06,
2446465.500000000, A.D. 1986-Feb-04 00:00:00.0000, -5.428049911330606E+08, -2.808974589647068E+09, -3.316390912980795E+06,
2446466.500000000, A.D. 1986-Feb-05 00:00:00.0000, -5.423441827356147E+08, -2.809102844464410E+09, -3.421671501268029E+06,
2446467.500000000, A.D. 1986-Feb-06 00:00:00.0000, -5.416291433449425E+08, -2.809264938767253E+09, -3.387361679137588E+06,
2446468.500000000, A.D. 1986-Feb-07 00:00:00.0000, -5.411996618561459E+08, -2.809369329621103E+09, -3.375876807829618E+06,
2446469.500000000, A.D. 1986-Feb-08 00:00:00.0000, -5.405038207213205E+08, -2.809544482786441E+09, -3.461492026039004E+06,
2446470.500000000, A.D. 1986-Feb-09 00:00:00.0000, -5.400075904859138E+08, -2.809647825488937E+09, -3.346446258267283E+06,
2446471.500000000, A.D. 1986-Feb-10 00:00:00.0000, -5.394127742081693E+08, -2.809811058796881E+09, -3.500070292612672E+06,
2446472.500000000, A.D. 1986-Feb-11 00:00:00.0000, -5.387973497594293E+08, -2.809936660701245E+09, -3.364958965681553E+06,
2446473.500000000, A.D. 1986-Feb-12 00:00:00.0000, -5.383179666233284E+08, -2.810070665842778E+09, -3.488598950971484E+06,
2446474.500000000, A.D. 1986-Feb-13 00:00:00.0000, -5.376116974176865E+08, -2.810226485594735E+09, -3.429792769049644E+06,
2446475.500000000, A.D. 1986-Feb-14 00:00:00.0000, -5.371839609939504E+08, -2.810333450702611E+09, -3.444900816425323E+06,
2446476.500000000, A.D. 1986-Feb-15 00:00:00.0000, -5.364756692667935E+08, -2.810507012387638E+09, -3.506915165174127E+06,
2446477.500000000, A.D. 1986-Feb-16 00:00:00.0000, -5.360002003334434E+08, -2.810607421134877E+09, -3.408535318746328E+06,
2446478.500000000, A.D. 1986-Feb-17 00:00:00.0000, -5.353798215648688E+08, -2.810774276816061E+09, -3.555241332394361E+06,
2446479.500000000, A.D. 1986-Feb-18 00:00:00.0000, -5.347898880489199E+08, -2.810892888140815E+09, -3.415654008836150E+06,
2446480.500000000, A.D. 1986-Feb-19 00:00:00.0000, -5.342888642591431E+08, -2.811032768277824E+09, -3.553886235146046E+06,
2446481.500000000, A.D. 1986-Feb-20 00:00:00.0000, -5.335955309180583E+08, -2.811181716344053E+09, -3.472691502521157E+06,
2446482.500000000, A.D. 1986-Feb-21 00:00:00.0000, -5.331647594289300E+08, -2.811292258501226E+09, -3.514188987101674E+06,
2446483.500000000, A.D. 1986-Feb-22 00:00:00.0000, -5.324482658123472E+08, -2.811463078380061E+09, -3.550960634222031E+06,
2446484.500000000, A.D. 1986-Feb-23 00:00:00.0000, -5.319904238531662E+08, -2.811561729477378E+09, -3.472747317541957E+06,
2446485.500000000, A.D. 1986-Feb-24 00:00:00.0000, -5.313460258023642E+08, -2.811731246424971E+09, -3.608128701997161E+06,
2446486.500000000, A.D. 1986-Feb-25 00:00:00.0000, -5.307821563572887E+08, -2.811843422747774E+09, -3.468819212935567E+06,
2446487.500000000, A.D. 1986-Feb-26 00:00:00.0000, -5.302572173791623E+08, -2.811989066720919E+09, -3.617421383240104E+06,
2446488.500000000, A.D. 1986-Feb-27 00:00:00.0000, -5.295806553488646E+08, -2.812130714245311E+09, -3.516628890810490E+06,
2446489.500000000, A.D. 1986-Feb-28 00:00:00.0000, -5.291422335544479E+08, -2.812245665867530E+09, -3.583362795870900E+06,
2446490.500000000, A.D. 1986-Mar-01 00:00:00.0000, -5.284220123201378E+08, -2.812412642725536E+09, -3.593939483638287E+06,
2446491.500000000, A.D. 1986-Mar-02 00:00:00.0000, -5.279780215751820E+08, -2.812510751691731E+09, -3.538690040062189E+06,
2446492.500000000, A.D. 1986-Mar-03 00:00:00.0000, -5.273118534502806E+08, -2.812681866416351E+09, -3.658697614201546E+06,
2446493.500000000, A.D. 1986-Mar-04 00:00:00.0000, -5.267737251911534E+08, -2.812788353577932E+09, -3.524393568540812E+06,
2446494.500000000, A.D. 1986-Mar-05 00:00:00.0000, -5.262232984405866E+08, -2.812939454982719E+09, -3.678840469523430E+06,
2446495.500000000, A.D. 1986-Mar-06 00:00:00.0000, -5.255667643015388E+08, -2.813073592880188E+09, -3.561907709487200E+06,
2446496.500000000, A.D. 1986-Mar-07 00:00:00.0000, -5.251163040613825E+08, -2.813193632467965E+09, -3.651990897570372E+06,
2446497.500000000, A.D. 1986-Mar-08 00:00:00.0000, -5.243969819326677E+08, -2.813355753928287E+09, -3.636282197414279E+06,
2446498.500000000, A.D. 1986-Mar-09 00:00:00.0000, -5.239626020424179E+08, -2.813454534180853E+09, -3.606072171510458E+06,
2446499.500000000, A.D. 1986-Mar-10 00:00:00.0000, -5.232776153467105E+08, -2.813626108328702E+09, -3.707204177261353E+06,
2446500.500000000, A.D. 1986-Mar-11 00:00:00.0000, -5.227641190614752E+08, -2.813727807308021E+09, -3.582528684175253E+06,
2446501.500000000, A.D. 1986-Mar-12 00:00:00.0000, -5.221875341231940E+08, -2.813883839608310E+09, -3.738124001389265E+06,
2446502.500000000, A.D. 1986-Mar-13 00:00:00.0000, -5.215537127984527E+08, -2.814010450998472E+09, -3.608990135521770E+06,
2446503.500000000, A.D. 1986-Mar-14 00:00:00.0000, -5.210872409531643E+08, -2.814136049964675E+09, -3.719711387427211E+06,
