JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.645009088040589E+08,  9.926388314631037E+08, -5.566906005435276E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.639564961246676E+08,  9.931294049515868E+08, -5.566684717358410E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.634109278146672E+08,  9.936184780804909E+08, -5.566456514689308E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.628641917363744E+08,  9.941060553841910E+08, -5.566221252536780E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.623162757209201E+08,  9.945921415138613E+08, -5.565978785374272E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.617671675663863E+08,  9.950767412451558E+08, -5.565728967017323E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.612168550434258E+08,  9.955598594760051E+08, -5.565471650565094E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.606653259006481E+08,  9.960415012292534E+08, -5.565206688224506E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.601125678596853E+08,  9.965216716502793E+08, -5.564933931491691E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.595585686131725E+08,  9.970003760076202E+08, -5.564653231237143E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.590033158247142E+08,  9.974776196953757E+08, -5.564364437725854E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.584467971300482E+08,  9.979534082364008E+08, -5.564067400598639E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.578890001387705E+08,  9.984277472855307E+08, -5.563761968836373E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.573299124361229E+08,  9.989006426323215E+08, -5.563447990723723E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.567695215845000E+08,  9.993721002030234E+08, -5.563125313824099E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.562078151244684E+08,  9.998421260617385E+08, -5.562793784973025E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.556447805752482E+08,  1.000310726410952E+09, -5.562453250291747E+07,
