JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.566176252344337E+08,  9.806161415829184E+08, -5.507690882270044E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.557476925467268E+08,  9.817836676831781E+08, -5.534482315131903E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.547667739268540E+08,  9.818513193171092E+08, -5.502972952246594E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.548000749265189E+08,  9.825260075901490E+08, -5.513026652435935E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.536055448278586E+08,  9.834895621900854E+08, -5.526081791106617E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.530112227077850E+08,  9.834603557123874E+08, -5.493390606646299E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.528477079000378E+08,  9.844613142089446E+08, -5.518552460307431E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.515215468196404E+08,  9.850917500083395E+08, -5.513046129858094E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513007298304669E+08,  9.851729758557329E+08, -5.489830008589154E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.507712871857448E+08,  9.863511409362423E+08, -5.520684506649655E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.495458796987336E+08,  9.866339013763797E+08, -5.498140282546067E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.495562001480597E+08,  9.869991107892392E+08, -5.492031707685685E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.486231265982982E+08,  9.881431049572856E+08, -5.517211103521353E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.476937342529896E+08,  9.881787161367251E+08, -5.484775505206126E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.477077734255533E+08,  9.889049963325781E+08, -5.497553605934441E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.464748277994668E+08,  9.898190754173689E+08, -5.507891894445223E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.459384033310293E+08,  9.897894078269107E+08, -5.475978676790124E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.457235258345315E+08,  9.908255675332155E+08, -5.502697619791853E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.443940459304692E+08,  9.913970117946932E+08, -5.494325486113703E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.442164002813907E+08,  9.915080686032004E+08, -5.473317097701186E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.436208937689414E+08,  9.926914038139931E+08, -5.504023699735755E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.424255562601035E+08,  9.929240495737939E+08, -5.479403735430950E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.424480451013509E+08,  9.933376060649409E+08, -5.476160759685332E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.414562877017081E+08,  9.944543906344209E+08, -5.499582481543803E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.405784437462007E+08,  9.944633601816705E+08, -5.466502656937355E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.405681189902041E+08,  9.952379172099923E+08, -5.481783917423707E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.393024446693223E+08,  9.961015668570130E+08, -5.489413506959778E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.388206735124048E+08,  9.960759017425342E+08, -5.458479440800184E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.385526238097590E+08,  9.971418129059387E+08, -5.486455984653997E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.372249456920060E+08,  9.976560767061493E+08, -5.475364165611422E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.370854189716629E+08,  9.977992087461785E+08, -5.456631542016906E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.364258129524624E+08,  9.989823136103084E+08, -5.486930574478662E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.352637492509427E+08,  9.991687200866363E+08, -5.460469206928682E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.352930170170423E+08,  9.996301328218772E+08, -5.460014332815152E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.342473702100588E+08,  1.000716333698625E+09, -5.481551894466543E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.334213645002744E+08,  1.000703604109959E+09, -5.448088622767955E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.333825729639802E+08,  1.001523538158130E+09, -5.465683142455399E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.320896452354698E+08,  1.002336244128643E+09, -5.470632795762509E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.316596541173527E+08,  1.002319012073386E+09, -5.440880841817498E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.313368016505338E+08,  1.003410181662024E+09, -5.469866918760222E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.300154161121342E+08,  1.003869294112134E+09, -5.456206589914942E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.299088447496213E+08,  1.004046700861037E+09, -5.439814293002570E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.291866206962326E+08,  1.005224888039131E+09, -5.469478536262208E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.280602229472611E+08,  1.005368781824584E+09, -5.441394376269454E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.280909574104124E+08,  1.005877346147545E+09, -5.443639942976886E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.269954946624048E+08,  1.006929590175338E+09, -5.463159921043056E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.262211673633622E+08,  1.006899426678257E+09, -5.429534524340314E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.261503032503045E+08,  1.007761447298286E+09, -5.449237250185597E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.248355505936829E+08,  1.008522475090364E+09, -5.451523851476175E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.244546272970737E+08,  1.008517288857962E+09, -5.423116086323357E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.240762171621851E+08,  1.009629265978208E+09, -5.452874476792014E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.227657460267384E+08,  1.010035307864996E+09, -5.436800610714054E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.226876244729035E+08,  1.010248980100727E+09, -5.422808811975932E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.219048112544757E+08,  1.011418226325853E+09, -5.451650720014828E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.208162471660551E+08,  1.011523608636853E+09, -5.422174199164832E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.208433525929191E+08,  1.012078607914428E+09, -5.427034090820187E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.197020719671905E+08,  1.013094499612310E+09, -5.444453078606534E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.189787164765683E+08,  1.013051168619254E+09, -5.410881452533072E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.188720421362413E+08,  1.013952122748207E+09, -5.432493319289213E+07,
