JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717589005783067E+09, -2.212943822822402E+09,  1.404457478596771E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717117825060871E+09, -2.213332942925291E+09,  1.405529403619778E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716652709597725E+09, -2.213720277517968E+09,  1.406849802546060E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716194181187380E+09, -2.214106012508531E+09,  1.408203925800371E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715742069903904E+09, -2.214490485748263E+09,  1.409376242961085E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715295525571127E+09, -2.214874160618649E+09,  1.410167611674416E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714853137421656E+09, -2.215257564346272E+09,  1.410420721733475E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714413009196376E+09, -2.215641252089001E+09,  1.410034146032798E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.713973030835657E+09, -2.216025738981388E+09,  1.408968542036569E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713531081920399E+09, -2.216411439163747E+09,  1.407258526874197E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.713085218667688E+09, -2.216798637352152E+09,  1.405003808947301E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712633916421783E+09, -2.217187446456802E+09,  1.402361674008846E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712176173025693E+09, -2.217577809163266E+09,  1.399529732116938E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711711674115293E+09, -2.217969494577756E+09,  1.396722378368485E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711240793603919E+09, -2.218362118571996E+09,  1.394156216116714E+07,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000, -1.710764521051577E+09, -2.218755201532846E+09,  1.392020111219692E+07,
2444255.500000000, A.D. 1980-Jan-17 00:00:00.0000, -1.710284428771765E+09, -2.219148200060530E+09,  1.390457527235591E+07,
2444256.500000000, A.D. 1980-Jan-18 00:00:00.0000, -1.709802458238079E+09, -2.219540571713956E+09,  1.389553543036842E+07,
2444257.500000000, A.D. 1980-Jan-19 00:00:00.0000, -1.709320760895716E+09, -2.219931826141881E+09,  1.389323143189800E+07,
2444258.500000000, A.D. 1980-Jan-20 00:00:00.0000, -1.708841448982203E+09, -2.220321573341391E+09,  1.389715628717935E+07,
2444259.500000000, A.D. 1980-Jan-21 00:00:00.0000, -1.708366352406706E+09, -2.220709579557147E+09,  1.390612516780221E+07,
2444260.500000000, A.D. 1980-Jan-22 00:00:00.0000, -1.707896901035918E+09, -2.221095770895894E+09,  1.391843329475427E+07,
2444261.500000000, A.D. 1980-Jan-23 00:00:00.0000, -1.707433904537247E+09, -2.221480252781731E+09,  1.393206172126758E+07,
2444262.500000000, A.D. 1980-Jan-24 00:00:00.0000, -1.706977495666596E+09, -2.221863301345366E+09,  1.394482691265762E+07,
2444263.500000000, A.D. 1980-Jan-25 00:00:00.0000, -1.706527115948192E+09, -2.222245328139756E+09,  1.395465568849242E+07,
2444264.500000000, A.D. 1980-Jan-26 00:00:00.0000, -1.706081557370646E+09, -2.222626848476741E+09,  1.395974720119321E+07,
2444265.500000000, A.D. 1980-Jan-27 00:00:00.0000, -1.705639150005534E+09, -2.223008408968325E+09,  1.395879799804544E+07,
2444266.500000000, A.D. 1980-Jan-28 00:00:00.0000, -1.705197854757796E+09, -2.223390545392212E+09,  1.395115891856325E+07,
2444267.500000000, A.D. 1980-Jan-29 00:00:00.0000, -1.704755513958405E+09, -2.223773728312125E+09,  1.393683269740224E+07,
2444268.500000000, A.D. 1980-Jan-30 00:00:00.0000, -1.704310091727226E+09, -2.224158301274618E+09,  1.391654087248135E+07,
2444269.500000000, A.D. 1980-Jan-31 00:00:00.0000, -1.703859842219450E+09, -2.224544459480015E+09,  1.389161322606468E+07,
2444270.500000000, A.D. 1980-Feb-01 00:00:00.0000, -1.703403535303065E+09, -2.224932217415931E+09,  1.386386679845941E+07,
2444271.500000000, A.D. 1980-Feb-02 00:00:00.0000, -1.702940520712961E+09, -2.225321420002397E+09,  1.383542680144775E+07,
2444272.500000000, A.D. 1980-Feb-03 00:00:00.0000, -1.702470846657439E+09, -2.225711756441381E+09,  1.380844120325673E+07,
2444273.500000000, A.D. 1980-Feb-04 00:00:00.0000, -1.701995268831872E+09, -2.226102777726315E+09,  1.378494115967679E+07,
2444274.500000000, A.D. 1980-Feb-05 00:00:00.0000, -1.701515112153208E+09, -2.226493961646386E+09,  1.376659281847167E+07,
2444275.500000000, A.D. 1980-Feb-06 00:00:00.0000, -1.701032193922277E+09, -2.226884754428633E+09,  1.375451904527652E+07,
2444276.500000000, A.D. 1980-Feb-07 00:00:00.0000, -1.700548590776986E+09, -2.227274634015036E+09,  1.374921042677844E+07,
2444277.500000000, A.D. 1980-Feb-08 00:00:00.0000, -1.700066456787715E+09, -2.227663163326322E+09,  1.375042832857883E+07,
2444278.500000000, A.D. 1980-Feb-09 00:00:00.0000, -1.699587799556587E+09, -2.228050025551537E+09,  1.375730309846687E+07,
2444279.500000000, A.D. 1980-Feb-10 00:00:00.0000, -1.699114211047563E+09, -2.228435078591640E+09,  1.376836493074000E+07,
2444280.500000000, A.D. 1980-Feb-11 00:00:00.0000, -1.698646782084676E+09, -2.228818353937873E+09,  1.378168472111464E+07,
2444281.500000000, A.D. 1980-Feb-12 00:00:00.0000, -1.698185948313606E+09, -2.229200055356764E+09,  1.379512510825074E+07,
2444282.500000000, A.D. 1980-Feb-13 00:00:00.0000, -1.697731457196731E+09, -2.229580542380745E+09,  1.380650994405591E+07,
2444283.500000000, A.D. 1980-Feb-14 00:00:00.0000, -1.697282403388504E+09, -2.229960283571814E+09,  1.381390295223212E+07,
