JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.068383923547204E+08,  4.197658663634129E+08, -2.553367920406422E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.060226806385143E+08,  4.206362946074656E+08, -2.545882601547733E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.052049495609342E+08,  4.215069666648699E+08, -2.538328619279213E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.043852083286979E+08,  4.223778843628855E+08, -2.530706414292143E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  6.035634661619279E+08,  4.232490495008440E+08, -2.523016428186508E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  6.027397322875478E+08,  4.241204638507341E+08, -2.515259103255267E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  6.019140159461328E+08,  4.249921291592442E+08, -2.507434882576801E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  6.010863263889334E+08,  4.258640471470301E+08, -2.499544210035241E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  6.002566728798285E+08,  4.267362195106933E+08, -2.491587530271381E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.994250646973066E+08,  4.276086479226624E+08, -2.483565288787979E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.985915111347891E+08,  4.284813340307040E+08, -2.475477932039547E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.977560215012356E+08,  4.293542794586086E+08, -2.467325907442230E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.969186051223570E+08,  4.302274858067110E+08, -2.459109663408333E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.960792713413894E+08,  4.311009546515588E+08, -2.450829649431583E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.952380295192927E+08,  4.319746875460227E+08, -2.442486316128141E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.943948890353776E+08,  4.328486860205058E+08, -2.434080115207398E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.935498592887521E+08,  4.337229515836625E+08, -2.425611499492875E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.927029496995143E+08,  4.345974857216959E+08, -2.417080923037654E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.918541697090380E+08,  4.354722898988138E+08, -2.408488841140506E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.910035287811555E+08,  4.363473655588299E+08, -2.399835710297826E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.901510364045914E+08,  4.372227141207598E+08, -2.391121988594341E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.892967020901371E+08,  4.380983369845368E+08, -2.382348135291690E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.884405353761001E+08,  4.389742355264469E+08, -2.373514611276481E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.875825458222197E+08,  4.398504111023825E+08, -2.364621878786805E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.867227430176960E+08,  4.407268650468200E+08, -2.355670401632476E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.858611365777159E+08,  4.416035986733306E+08, -2.346660645154256E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.849977361459892E+08,  4.424806132752485E+08, -2.337593076255077E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.841325513962753E+08,  4.433579101244788E+08, -2.328468163531327E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.832655920321046E+08,  4.442354904710162E+08, -2.319286377335429E+07,
2447242.500092593, A.D. 1988-Mar-22 00:00:08.0000,  5.823968677874166E+08,  4.451133555435770E+08, -2.310048189780071E+07,
2447243.500092593, A.D. 1988-Mar-23 00:00:08.0000,  5.815263884278233E+08,  4.459915065497457E+08, -2.300754074778426E+07,
