JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.212042026436004E+09, -2.009404459707396E+09, -4.604885892927659E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.212465431755718E+09, -2.009027822065246E+09, -4.605712844152367E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.212888660639963E+09, -2.008651153697345E+09, -4.606533274908864E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.213311713105434E+09, -2.008274454324394E+09, -4.607347197216892E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.213734589169010E+09, -2.007897723668506E+09, -4.608154623072636E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.214157288847795E+09, -2.007520961453250E+09, -4.608955564449489E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.214579812159126E+09, -2.007144167403658E+09, -4.609750033297551E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.215002159120612E+09, -2.006767341246243E+09, -4.610538041544592E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.215424329750187E+09, -2.006390482709024E+09, -4.611319601096916E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.215846324066186E+09, -2.006013591521538E+09, -4.612094723840106E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.216268142087418E+09, -2.005636667414844E+09, -4.612863421639907E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.216689783833259E+09, -2.005259710121508E+09, -4.613625706343055E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.217111249323751E+09, -2.004882719375575E+09, -4.614381589777994E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.217532538579705E+09, -2.004505694912506E+09, -4.615131083755481E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.217953651622804E+09, -2.004128636469102E+09, -4.615874200068903E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.218374588475698E+09, -2.003751543783384E+09, -4.616610950494313E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.218795349162081E+09, -2.003374416594445E+09, -4.617341346790051E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.219215933706742E+09, -2.002997254642283E+09, -4.618065400695848E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.219636342135573E+09, -2.002620057667598E+09, -4.618783123931384E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.220056574475539E+09, -2.002242825411587E+09, -4.619494528194439E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.220476630754590E+09, -2.001865557615736E+09, -4.620199625158405E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.220896511001520E+09, -2.001488254021635E+09, -4.620898426469612E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.221316215245782E+09, -2.001110914370816E+09, -4.621590943744409E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.221735743517272E+09, -2.000733538404655E+09, -4.622277188566375E+07,
2420979.500370370, A.D. 1916-Apr-26 00:00:32.0000,  2.222155095846070E+09, -2.000356125864319E+09, -4.622957172483635E+07,
2420980.500370370, A.D. 1916-Apr-27 00:00:32.0000,  2.222574272262210E+09, -1.999978676490776E+09, -4.623630907006907E+07,
2420981.500370370, A.D. 1916-Apr-28 00:00:32.0000,  2.222993272795440E+09, -1.999601190024868E+09, -4.624298403607988E+07,
2420982.500370370, A.D. 1916-Apr-29 00:00:32.0000,  2.223412097475022E+09, -1.999223666207427E+09, -4.624959673718858E+07,
2420983.500370370, A.D. 1916-Apr-30 00:00:32.0000,  2.223830746329572E+09, -1.998846104779434E+09, -4.625614728731728E+07,
2420984.500370370, A.D. 1916-May-01 00:00:32.0000,  2.224249219386952E+09, -1.998468505482190E+09, -4.626263579999292E+07,
2420985.500370370, A.D. 1916-May-02 00:00:32.0000,  2.224667516674197E+09, -1.998090868057502E+09, -4.626906238835907E+07,
2420986.500370370, A.D. 1916-May-03 00:00:32.0000,  2.225085638217495E+09, -1.997713192247858E+09, -4.627542716518712E+07,
2420987.500370370, A.D. 1916-May-04 00:00:32.0000,  2.225503584042205E+09, -1.997335477796591E+09, -4.628173024289393E+07,
2420988.500370370, A.D. 1916-May-05 00:00:32.0000,  2.225921354172894E+09, -1.996957724448020E+09, -4.628797173355484E+07,
2420989.500370370, A.D. 1916-May-06 00:00:32.0000,  2.226338948633402E+09, -1.996579931947560E+09, -4.629415174892282E+07,
2420990.500370370, A.D. 1916-May-07 00:00:32.0000,  2.226756367446913E+09, -1.996202100041822E+09, -4.630027040044045E+07,
2420991.500370370, A.D. 1916-May-08 00:00:32.0000,  2.227173610636038E+09, -1.995824228478671E+09, -4.630632779925609E+07,
2420992.500370370, A.D. 1916-May-09 00:00:32.0000,  2.227590678222893E+09, -1.995446317007280E+09, -4.631232405623364E+07,
2420993.500370370, A.D. 1916-May-10 00:00:32.0000,  2.228007570229173E+09, -1.995068365378155E+09, -4.631825928196418E+07,
2420994.500370370, A.D. 1916-May-11 00:00:32.0000,  2.228424286676230E+09, -1.994690373343149E+09, -4.632413358677351E+07,
2420995.500370370, A.D. 1916-May-12 00:00:32.0000,  2.228840827585143E+09, -1.994312340655473E+09, -4.632994708073282E+07,
2420996.500370370, A.D. 1916-May-13 00:00:32.0000,  2.229257192976792E+09, -1.993934267069709E+09, -4.633569987366593E+07,
2420997.500370370, A.D. 1916-May-14 00:00:32.0000,  2.229673382871881E+09, -1.993556152341776E+09, -4.634139207514787E+07,
2420998.500370370, A.D. 1916-May-15 00:00:32.0000,  2.230089397290977E+09, -1.993177996228911E+09, -4.634702379450858E+07,
2420999.500370370, A.D. 1916-May-16 00:00:32.0000,  2.230505236254552E+09, -1.992799798489652E+09, -4.635259514083731E+07,
2421000.500370370, A.D. 1916-May-17 00:00:32.0000,  2.230920899783011E+09, -1.992421558883817E+09, -4.635810622298336E+07,
2421001.500370370, A.D. 1916-May-18 00:00:32.0000,  2.231336387896714E+09, -1.992043277172488E+09, -4.636355714955699E+07,
2421002.500370370, A.D. 1916-May-19 00:00:32.0000,  2.231751700615998E+09, -1.991664953117983E+09, -4.636894802893174E+07,
2421003.500370370, A.D. 1916-May-20 00:00:32.0000,  2.232166837961195E+09, -1.991286586483845E+09, -4.637427896924400E+07,
2421004.500370370, A.D. 1916-May-21 00:00:32.0000,  2.232581799952638E+09, -1.990908177034819E+09, -4.637955007839406E+07,
2421005.500370370, A.D. 1916-May-22 00:00:32.0000,  2.232996586610682E+09, -1.990529724536831E+09, -4.638476146404600E+07,
2421006.500370370, A.D. 1916-May-23 00:00:32.0000,  2.233411197955702E+09, -1.990151228756980E+09, -4.638991323362792E+07,
2421007.500370370, A.D. 1916-May-24 00:00:32.0000,  2.233825634008103E+09, -1.989772689463514E+09, -4.639500549433243E+07,
2421008.500370370, A.D. 1916-May-25 00:00:32.0000,  2.234239894788324E+09, -1.989394106425820E+09, -4.640003835311592E+07,
2421009.500370370, A.D. 1916-May-26 00:00:32.0000,  2.234653980316840E+09, -1.989015479414409E+09, -4.640501191669881E+07,
2421010.500370370, A.D. 1916-May-27 00:00:32.0000,  2.235067890614169E+09, -1.988636808200906E+09, -4.640992629156601E+07,
2421011.500370370, A.D. 1916-May-28 00:00:32.0000,  2.235481625700864E+09, -1.988258092558035E+09, -4.641478158396661E+07,
2421012.500370370, A.D. 1916-May-29 00:00:32.0000,  2.235895185597523E+09, -1.987879332259612E+09, -4.641957789991415E+07,
2421013.500370370, A.D. 1916-May-30 00:00:32.0000,  2.236308570324783E+09, -1.987500527080533E+09, -4.642431534518492E+07,
2421014.500370370, A.D. 1916-May-31 00:00:32.0000,  2.236721779903325E+09, -1.987121676796768E+09, -4.642899402532172E+07,
2421015.500370370, A.D. 1916-Jun-01 00:00:32.0000,  2.237134814353864E+09, -1.986742781185348E+09, -4.643361404562998E+07,
2421016.500370370, A.D. 1916-Jun-02 00:00:32.0000,  2.237547673697161E+09, -1.986363840024364E+09, -4.643817551118088E+07,
2421017.500370370, A.D. 1916-Jun-03 00:00:32.0000,  2.237960357954012E+09, -1.985984853092955E+09, -4.644267852680933E+07,
2421018.500370370, A.D. 1916-Jun-04 00:00:32.0000,  2.238372867145250E+09, -1.985605820171304E+09, -4.644712319711590E+07,
2421019.500370370, A.D. 1916-Jun-05 00:00:32.0000,  2.238785201291742E+09, -1.985226741040631E+09, -4.645150962646604E+07,
2421020.500370370, A.D. 1916-Jun-06 00:00:32.0000,  2.239197360414392E+09, -1.984847615483191E+09, -4.645583791899073E+07,
2421021.500370370, A.D. 1916-Jun-07 00:00:32.0000,  2.239609344534134E+09, -1.984468443282264E+09, -4.646010817858708E+07,
2421022.500370370, A.D. 1916-Jun-08 00:00:32.0000,  2.240021153671932E+09, -1.984089224222154E+09, -4.646432050891781E+07,
2421023.500370370, A.D. 1916-Jun-09 00:00:32.0000,  2.240432787848780E+09, -1.983709958088186E+09, -4.646847501341224E+07,
2421024.500370370, A.D. 1916-Jun-10 00:00:32.0000,  2.240844247085697E+09, -1.983330644666698E+09, -4.647257179526734E+07,
2421025.500370370, A.D. 1916-Jun-11 00:00:32.0000,  2.241255531403726E+09, -1.982951283745044E+09, -4.647661095744693E+07,
2421026.500370370, A.D. 1916-Jun-12 00:00:32.0000,  2.241666640823934E+09, -1.982571875111586E+09, -4.648059260268223E+07,
2421027.500370370, A.D. 1916-Jun-13 00:00:32.0000,  2.242077575367408E+09, -1.982192418555697E+09, -4.648451683347416E+07,
2421028.500370370, A.D. 1916-Jun-14 00:00:32.0000,  2.242488335055251E+09, -1.981812913867754E+09, -4.648838375209153E+07,
2421029.500370370, A.D. 1916-Jun-15 00:00:32.0000,  2.242898919908583E+09, -1.981433360839143E+09, -4.649219346057403E+07,
2421030.500370370, A.D. 1916-Jun-16 00:00:32.0000,  2.243309329948536E+09, -1.981053759262251E+09, -4.649594606073046E+07,
2421031.500370370, A.D. 1916-Jun-17 00:00:32.0000,  2.243719565196262E+09, -1.980674108930488E+09, -4.649964165414250E+07,
2421032.500370370, A.D. 1916-Jun-18 00:00:32.0000,  2.244129625672938E+09, -1.980294409638283E+09, -4.650328034216583E+07,
2421033.500370370, A.D. 1916-Jun-19 00:00:32.0000,  2.244539511399751E+09, -1.979914661181085E+09, -4.650686222592890E+07,
2421034.500370370, A.D. 1916-Jun-20 00:00:32.0000,  2.244949222397893E+09, -1.979534863355353E+09, -4.651038740633523E+07,
2421035.500370370, A.D. 1916-Jun-21 00:00:32.0000,  2.245358758688564E+09, -1.979155015958572E+09, -4.651385598406327E+07,
