JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.352261148654031E+09, -1.258068028235953E+09,  1.261591564568837E+08,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.352172838317307E+09, -1.258458768863427E+09,  1.262026573890558E+08,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.352036233786552E+09, -1.258831778432997E+09,  1.262332074703311E+08,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.351855026878272E+09, -1.259220708205203E+09,  1.262398752676027E+08,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.351652987273303E+09, -1.259652049970583E+09,  1.262224946037291E+08,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.351463264176818E+09, -1.260133165592643E+09,  1.261917381581783E+08,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.351313431883101E+09, -1.260648958385376E+09,  1.261642899097100E+08,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.351213055023482E+09, -1.261168702214131E+09,  1.261553260961562E+08,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.351149402541443E+09, -1.261659913486050E+09,  1.261716962190114E+08,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.351093197231650E+09, -1.262102952209499E+09,  1.262088661733650E+08,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.351011762844168E+09, -1.262499841360196E+09,  1.262529401629102E+08,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.350883722617949E+09, -1.262873384844605E+09,  1.262868834365294E+08,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.350708660083120E+09, -1.263256960665206E+09,  1.262981765781308E+08,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.350507407709808E+09, -1.263679483828125E+09,  1.262845082153513E+08,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.350312650954780E+09, -1.264152270090945E+09,  1.262548702434860E+08,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.350154114028090E+09, -1.264663894137184E+09,  1.262254933433275E+08,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.350045082190575E+09, -1.265185375230493E+09,  1.262124758333267E+08,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.349976452414938E+09, -1.265683354500316E+09,  1.262244821805534E+08,
