JDTDB,Calendar Date (TDB),X,Y,Z,
2433282.500000000, A.D. 1950-Jan-01 00:00:00.0000, -4.307861225345879E+09, -1.266890574345920E+09,  8.385581588873845E+07,
2433283.500000000, A.D. 1950-Jan-02 00:00:00.0000, -4.307722805985050E+09, -1.267358389455169E+09,  8.387096395801663E+07,
2433284.500000000, A.D. 1950-Jan-03 00:00:00.0000, -4.307584349987675E+09, -1.267826187965543E+09,  8.388612021345609E+07,
2433285.500000000, A.D. 1950-Jan-04 00:00:00.0000, -4.307445857348177E+09, -1.268293969876116E+09,  8.390128465026814E+07,
2433286.500000000, A.D. 1950-Jan-05 00:00:00.0000, -4.307307328060078E+09, -1.268761735185885E+09,  8.391645726357275E+07,
2433287.500000000, A.D. 1950-Jan-06 00:00:00.0000, -4.307168762115917E+09, -1.269229483893612E+09,  8.393163804840511E+07,
2433288.500000000, A.D. 1950-Jan-07 00:00:00.0000, -4.307030159507219E+09, -1.269697215997647E+09,  8.394682699972570E+07,
2433289.500000000, A.D. 1950-Jan-08 00:00:00.0000, -4.306891520224489E+09, -1.270164931495724E+09,  8.396202411243731E+07,
2433290.500000000, A.D. 1950-Jan-09 00:00:00.0000, -4.306752844257268E+09, -1.270632630384754E+09,  8.397722938140583E+07,
2433291.500000000, A.D. 1950-Jan-10 00:00:00.0000, -4.306614131594235E+09, -1.271100312660627E+09,  8.399244280148655E+07,
2433292.500000000, A.D. 1950-Jan-11 00:00:00.0000, -4.306475382223365E+09, -1.271567978318027E+09,  8.400766436755228E+07,
2433293.500000000, A.D. 1950-Jan-12 00:00:00.0000, -4.306336596132120E+09, -1.272035627350297E+09,  8.402289407452339E+07,
2433294.500000000, A.D. 1950-Jan-13 00:00:00.0000, -4.306197773307693E+09, -1.272503259749347E+09,  8.403813191739577E+07,
2433295.500000000, A.D. 1950-Jan-14 00:00:00.0000, -4.306058913737244E+09, -1.272970875505625E+09,  8.405337789126629E+07,
2433296.500000000, A.D. 1950-Jan-15 00:00:00.0000, -4.305920017408154E+09, -1.273438474608150E+09,  8.406863199135268E+07,
2433297.500000000, A.D. 1950-Jan-16 00:00:00.0000, -4.305781084308251E+09, -1.273906057044598E+09,  8.408389421300632E+07,
2433298.500000000, A.D. 1950-Jan-17 00:00:00.0000, -4.305642114426001E+09, -1.274373622801436E+09,  8.409916455171984E+07,
2433299.500000000, A.D. 1950-Jan-18 00:00:00.0000, -4.305503107750648E+09, -1.274841171864085E+09,  8.411444300312680E+07,
2433300.500000000, A.D. 1950-Jan-19 00:00:00.0000, -4.305364064272330E+09, -1.275308704217105E+09,  8.412972956299520E+07,
2433301.500000000, A.D. 1950-Jan-20 00:00:00.0000, -4.305224983982128E+09, -1.275776219844380E+09,  8.414502422721940E+07,
2433302.500000000, A.D. 1950-Jan-21 00:00:00.0000, -4.305085866872071E+09, -1.276243718729293E+09,  8.416032699180430E+07,
2433303.500000000, A.D. 1950-Jan-22 00:00:00.0000, -4.304946712935132E+09, -1.276711200854887E+09,  8.417563785285246E+07,
2433304.500000000, A.D. 1950-Jan-23 00:00:00.0000, -4.304807522165167E+09, -1.277178666204000E+09,  8.419095680654722E+07,
2433305.500000000, A.D. 1950-Jan-24 00:00:00.0000, -4.304668294556859E+09, -1.277646114759379E+09,  8.420628384913898E+07,
2433306.500000000, A.D. 1950-Jan-25 00:00:00.0000, -4.304529030105646E+09, -1.278113546503767E+09,  8.422161897692978E+07,
2433307.500000000, A.D. 1950-Jan-26 00:00:00.0000, -4.304389728807637E+09, -1.278580961419970E+09,  8.423696218626243E+07,
2433308.500000000, A.D. 1950-Jan-27 00:00:00.0000, -4.304250390659547E+09, -1.279048359490896E+09,  8.425231347350860E+07,
2433309.500000000, A.D. 1950-Jan-28 00:00:00.0000, -4.304111015658607E+09, -1.279515740699591E+09,  8.426767283506012E+07,
2433310.500000000, A.D. 1950-Jan-29 00:00:00.0000, -4.303971603802523E+09, -1.279983105029251E+09,  8.428304026732302E+07,
2433311.500000000, A.D. 1950-Jan-30 00:00:00.0000, -4.303832155089390E+09, -1.280450452463225E+09,  8.429841576670998E+07,
2433312.500000000, A.D. 1950-Jan-31 00:00:00.0000, -4.303692669517666E+09, -1.280917782985013E+09,  8.431379932963645E+07,
2433313.500000000, A.D. 1950-Feb-01 00:00:00.0000, -4.303553147086111E+09, -1.281385096578262E+09,  8.432919095251876E+07,
2433314.500000000, A.D. 1950-Feb-02 00:00:00.0000, -4.303413587793760E+09, -1.281852393226745E+09,  8.434459063176990E+07,
2433315.500000000, A.D. 1950-Feb-03 00:00:00.0000, -4.303273991639892E+09, -1.282319672914356E+09,  8.435999836379957E+07,
2433316.500000000, A.D. 1950-Feb-04 00:00:00.0000, -4.303134358624000E+09, -1.282786935625090E+09,  8.437541414501238E+07,
2433317.500000000, A.D. 1950-Feb-05 00:00:00.0000, -4.302994688745784E+09, -1.283254181343029E+09,  8.439083797180831E+07,
2433318.500000000, A.D. 1950-Feb-06 00:00:00.0000, -4.302854982005124E+09, -1.283721410052327E+09,  8.440626984058142E+07,
2433319.500000000, A.D. 1950-Feb-07 00:00:00.0000, -4.302715238402082E+09, -1.284188621737196E+09,  8.442170974772203E+07,
2433320.500000000, A.D. 1950-Feb-08 00:00:00.0000, -4.302575457936882E+09, -1.284655816381895E+09,  8.443715768961561E+07,
2433321.500000000, A.D. 1950-Feb-09 00:00:00.0000, -4.302435640609913E+09, -1.285122993970713E+09,  8.445261366264403E+07,
2433322.500000000, A.D. 1950-Feb-10 00:00:00.0000, -4.302295786421723E+09, -1.285590154487965E+09,  8.446807766318619E+07,
2433323.500000000, A.D. 1950-Feb-11 00:00:00.0000, -4.302155895373022E+09, -1.286057297917979E+09,  8.448354968761945E+07,
2433324.500000000, A.D. 1950-Feb-12 00:00:00.0000, -4.302015967464674E+09, -1.286524424245091E+09,  8.449902973231995E+07,
2433325.500000000, A.D. 1950-Feb-13 00:00:00.0000, -4.301876002697707E+09, -1.286991533453635E+09,  8.451451779366374E+07,
2433326.500000000, A.D. 1950-Feb-14 00:00:00.0000, -4.301736001073309E+09, -1.287458625527944E+09,  8.453001386802781E+07,
2433327.500000000, A.D. 1950-Feb-15 00:00:00.0000, -4.301595962592834E+09, -1.287925700452336E+09,  8.454551795178998E+07,
2433328.500000000, A.D. 1950-Feb-16 00:00:00.0000, -4.301455887257806E+09, -1.288392758211122E+09,  8.456103004133117E+07,
2433329.500000000, A.D. 1950-Feb-17 00:00:00.0000, -4.301315775069920E+09, -1.288859798788596E+09,  8.457655013303494E+07,
2433330.500000000, A.D. 1950-Feb-18 00:00:00.0000, -4.301175626031051E+09, -1.289326822169036E+09,  8.459207822328860E+07,
2433331.500000000, A.D. 1950-Feb-19 00:00:00.0000, -4.301035440143250E+09, -1.289793828336706E+09,  8.460761430848461E+07,
2433332.500000000, A.D. 1950-Feb-20 00:00:00.0000, -4.300895217408760E+09, -1.290260817275855E+09,  8.462315838502032E+07,
2433333.500000000, A.D. 1950-Feb-21 00:00:00.0000, -4.300754957830008E+09, -1.290727788970715E+09,  8.463871044929880E+07,
2433334.500000000, A.D. 1950-Feb-22 00:00:00.0000, -4.300614661409621E+09, -1.291194743405510E+09,  8.465427049773002E+07,
2433335.500000000, A.D. 1950-Feb-23 00:00:00.0000, -4.300474328150424E+09, -1.291661680564454E+09,  8.466983852673078E+07,
2433336.500000000, A.D. 1950-Feb-24 00:00:00.0000, -4.300333958055446E+09, -1.292128600431752E+09,  8.468541453272563E+07,
2433337.500000000, A.D. 1950-Feb-25 00:00:00.0000, -4.300193551127924E+09, -1.292595502991612E+09,  8.470099851214671E+07,
2433338.500000000, A.D. 1950-Feb-26 00:00:00.0000, -4.300053107371313E+09, -1.293062388228240E+09,  8.471659046143508E+07,
2433339.500000000, A.D. 1950-Feb-27 00:00:00.0000, -4.299912626789283E+09, -1.293529256125851E+09,  8.473219037704039E+07,
2433340.500000000, A.D. 1950-Feb-28 00:00:00.0000, -4.299772109385725E+09, -1.293996106668674E+09,  8.474779825542122E+07,
2433341.500000000, A.D. 1950-Mar-01 00:00:00.0000, -4.299631555164766E+09, -1.294462939840956E+09,  8.476341409304595E+07,
2433342.500000000, A.D. 1950-Mar-02 00:00:00.0000, -4.299490964130754E+09, -1.294929755626971E+09,  8.477903788639235E+07,
2433343.500000000, A.D. 1950-Mar-03 00:00:00.0000, -4.299350336288281E+09, -1.295396554011025E+09,  8.479466963194829E+07,
2433344.500000000, A.D. 1950-Mar-04 00:00:00.0000, -4.299209671642180E+09, -1.295863334977469E+09,  8.481030932621151E+07,
2433345.500000000, A.D. 1950-Mar-05 00:00:00.0000, -4.299068970197524E+09, -1.296330098510700E+09,  8.482595696568954E+07,
2433346.500000000, A.D. 1950-Mar-06 00:00:00.0000, -4.298928231959640E+09, -1.296796844595177E+09,  8.484161254690057E+07,
2433347.500000000, A.D. 1950-Mar-07 00:00:00.0000, -4.298787456934105E+09, -1.297263573215431E+09,  8.485727606637228E+07,
2433348.500000000, A.D. 1950-Mar-08 00:00:00.0000, -4.298646645126756E+09, -1.297730284356072E+09,  8.487294752064228E+07,
2433349.500000000, A.D. 1950-Mar-09 00:00:00.0000, -4.298505796543688E+09, -1.298196978001807E+09,  8.488862690625793E+07,
2433350.500000000, A.D. 1950-Mar-10 00:00:00.0000, -4.298364911191262E+09, -1.298663654137447E+09,  8.490431421977556E+07,
2433351.500000000, A.D. 1950-Mar-11 00:00:00.0000, -4.298223989076103E+09, -1.299130312747929E+09,  8.492000945776016E+07,
2433352.500000000, A.D. 1950-Mar-12 00:00:00.0000, -4.298083030205110E+09, -1.299596953818326E+09,  8.493571261678487E+07,
2433353.500000000, A.D. 1950-Mar-13 00:00:00.0000, -4.297942034585446E+09, -1.300063577333867E+09,  8.495142369342959E+07,
2433354.500000000, A.D. 1950-Mar-14 00:00:00.0000, -4.297801002224552E+09, -1.300530183279958E+09,  8.496714268428099E+07,
2433355.500000000, A.D. 1950-Mar-15 00:00:00.0000, -4.297659933130131E+09, -1.300996771642200E+09,  8.498286958592939E+07,
2433356.500000000, A.D. 1950-Mar-16 00:00:00.0000, -4.297518827310163E+09, -1.301463342406412E+09,  8.499860439496857E+07,
2433357.500000000, A.D. 1950-Mar-17 00:00:00.0000, -4.297377684772887E+09, -1.301929895558660E+09,  8.501434710799378E+07,
2433358.500000000, A.D. 1950-Mar-18 00:00:00.0000, -4.297236505526801E+09, -1.302396431085279E+09,  8.503009772159803E+07,
2433359.500000000, A.D. 1950-Mar-19 00:00:00.0000, -4.297095289580649E+09, -1.302862948972908E+09,  8.504585623237085E+07,
