JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.197464180513377E+09, -2.016229911512521E+09, -3.599551296545804E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.197951186689466E+09, -2.015856654290352E+09, -3.610140380530810E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.198212282350177E+09, -2.015427964533923E+09, -3.615653005793834E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.198611922665846E+09, -2.015003167905962E+09, -3.601830991963422E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.199130995705148E+09, -2.014630602345493E+09, -3.607908155114210E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.199419705177868E+09, -2.014213893796813E+09, -3.618059720152569E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.199765427731849E+09, -2.013778598663188E+09, -3.605187559790790E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.200297563488891E+09, -2.013401483547196E+09, -3.605894218323767E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.200629513804143E+09, -2.012998151044115E+09, -3.619215301521540E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.200928316464369E+09, -2.012556531646626E+09, -3.609283374677563E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.201452475232567E+09, -2.012170266623529E+09, -3.604565651682591E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.201836760118584E+09, -2.011779648887046E+09, -3.619103325131667E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.202102718246130E+09, -2.011336807706682E+09, -3.613658201769173E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.202599056600006E+09, -2.010938150172137E+09, -3.604281724201155E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.203036863446269E+09, -2.010557641639426E+09, -3.617902469235086E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.203288942866035E+09, -2.010118834393703E+09, -3.617820413267303E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.203741734160065E+09, -2.009706371265758E+09, -3.605253370374477E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.204226094125115E+09, -2.009331797332500E+09, -3.615962490608442E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.204485263081713E+09, -2.008901618703315E+09, -3.621306979456890E+07,
