JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.558920507801663E+08,  9.810896383879602E+08, -5.524999649738032E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.554123614777580E+08,  9.810818289273353E+08, -5.494584590839684E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.554412294083078E+08,  9.816721834755347E+08, -5.500448554965287E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.548752375091963E+08,  9.828443615085535E+08, -5.530478516600233E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.535881472324520E+08,  9.836241749457344E+08, -5.532790982097864E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.526369353515643E+08,  9.836831165099108E+08, -5.501114830657786E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.525258885719410E+08,  9.838738166289375E+08, -5.484879054583549E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.523802561030818E+08,  9.848334161109576E+08, -5.508243833975601E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.513798529988914E+08,  9.859347763287861E+08, -5.530266945614904E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.501093110487741E+08,  9.863177279639217E+08, -5.512244166987383E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.495944063757787E+08,  9.863012625288126E+08, -5.481212416890925E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.496212242195455E+08,  9.868588825311086E+08, -5.485545399011683E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.490844394688071E+08,  9.880220220649899E+08, -5.515593440698475E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.478044291979686E+08,  9.888256315009966E+08, -5.519405506220627E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.468213479216917E+08,  9.888962639950322E+08, -5.488204279180157E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.466865555316216E+08,  9.890616962123708E+08, -5.470605439786345E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.465592851590837E+08,  9.899949811218791E+08, -5.492980592719251E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.455838934687059E+08,  9.911067243902001E+08, -5.515988744172019E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.442989771987938E+08,  9.915141942923082E+08, -5.499285595876026E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.437485660450780E+08,  9.914909091892800E+08, -5.467730480621254E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.437717207443025E+08,  9.920160388983405E+08, -5.470529703026164E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.432638142936100E+08,  9.931691110181732E+08, -5.500539823655349E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.419920348173342E+08,  9.939961245020858E+08, -5.505843780438423E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.409775955696503E+08,  9.940795920386395E+08, -5.475183278766543E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.408175234671943E+08,  9.942207881275184E+08, -5.456260575308388E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.407069624348342E+08,  9.951266644150271E+08, -5.477573546544421E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.397572727405652E+08,  9.962472207315538E+08, -5.501493191077101E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.384593077036215E+08,  9.966793669338379E+08, -5.486132441935712E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.378731903868184E+08,  9.966502650465205E+08, -5.454105087301439E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.378914516951505E+08,  9.971427690105551E+08, -5.455351894110721E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.374122918605652E+08,  9.982841599650264E+08, -5.485239698667586E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.361507602393950E+08,  9.991337926235955E+08, -5.492015962542111E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.351061531024696E+08,  9.992314091567094E+08, -5.461977246356642E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.349199846620488E+08,  9.993493877660507E+08, -5.441776037016004E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.348251677456954E+08,  1.000227279146850E+09, -5.461987813380444E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.339018866645584E+08,  1.001355673176039E+09, -5.486776214860564E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.325923254559590E+08,  1.001813026746134E+09, -5.472800963721228E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.319702696878150E+08,  1.001779871550565E+09, -5.440391556716883E+07,
