JDTDB,Calendar Date (TDB),X,Y,Z,
2444239.500000000, A.D. 1980-Jan-01 00:00:00.0000, -1.717578520071109E+09, -2.212945143926881E+09,  1.405313978793144E+07,
2444240.500000000, A.D. 1980-Jan-02 00:00:00.0000, -1.717128693139919E+09, -2.213320397078779E+09,  1.412947146640062E+07,
2444241.500000000, A.D. 1980-Jan-03 00:00:00.0000, -1.716751320805083E+09, -2.213689948606101E+09,  1.413077825778532E+07,
2444242.500000000, A.D. 1980-Jan-04 00:00:00.0000, -1.716322737857928E+09, -2.214083041472154E+09,  1.404405733764517E+07,
2444243.500000000, A.D. 1980-Jan-05 00:00:00.0000, -1.715795657191018E+09, -2.214493600280380E+09,  1.398786052139044E+07,
2444244.500000000, A.D. 1980-Jan-06 00:00:00.0000, -1.715269934803223E+09, -2.214889285267499E+09,  1.403515545040751E+07,
2444245.500000000, A.D. 1980-Jan-07 00:00:00.0000, -1.714843309435804E+09, -2.215259842647727E+09,  1.410414536303020E+07,
2444246.500000000, A.D. 1980-Jan-08 00:00:00.0000, -1.714465204118740E+09, -2.215632432568755E+09,  1.408066745314598E+07,
2444247.500000000, A.D. 1980-Jan-09 00:00:00.0000, -1.714012471279354E+09, -2.216031017558946E+09,  1.398873371526539E+07,
2444248.500000000, A.D. 1980-Jan-10 00:00:00.0000, -1.713473329521868E+09, -2.216440571035256E+09,  1.395470466361654E+07,
2444249.500000000, A.D. 1980-Jan-11 00:00:00.0000, -1.712965091419159E+09, -2.216829512796067E+09,  1.401840013616872E+07,
2444250.500000000, A.D. 1980-Jan-12 00:00:00.0000, -1.712558739781085E+09, -2.217196935490811E+09,  1.407349435327280E+07,
2444251.500000000, A.D. 1980-Jan-13 00:00:00.0000, -1.712172821606545E+09, -2.217573940154683E+09,  1.402658761332572E+07,
2444252.500000000, A.D. 1980-Jan-14 00:00:00.0000, -1.711695280145899E+09, -2.217977154968980E+09,  1.393667095720303E+07,
2444253.500000000, A.D. 1980-Jan-15 00:00:00.0000, -1.711150853604867E+09, -2.218383885737408E+09,  1.392709690640795E+07,
2444254.500000000, A.D. 1980-Jan-16 00:00:00.0000, -1.710664204202680E+09, -2.218766024719793E+09,  1.400110700014210E+07,
2444255.500000000, A.D. 1980-Jan-17 00:00:00.0000, -1.710273462561180E+09, -2.219132085766412E+09,  1.403698147995472E+07,
2444256.500000000, A.D. 1980-Jan-18 00:00:00.0000, -1.709873289496147E+09, -2.219514450940632E+09,  1.397007933553720E+07,
2444257.500000000, A.D. 1980-Jan-19 00:00:00.0000, -1.709372316555263E+09, -2.219920997524171E+09,  1.388930736607528E+07,
2444258.500000000, A.D. 1980-Jan-20 00:00:00.0000, -1.708829700997869E+09, -2.220323308345518E+09,  1.390438707986844E+07,
2444259.500000000, A.D. 1980-Jan-21 00:00:00.0000, -1.708366765721665E+09, -2.220699153726529E+09,  1.398167993988621E+07,
2444260.500000000, A.D. 1980-Jan-22 00:00:00.0000, -1.707985563742837E+09, -2.221065722412283E+09,  1.399455066376007E+07,
2444261.500000000, A.D. 1980-Jan-23 00:00:00.0000, -1.707565912563054E+09, -2.221453902028673E+09,  1.391268837385607E+07,
2444262.500000000, A.D. 1980-Jan-24 00:00:00.0000, -1.707044958687998E+09, -2.221862145753790E+09,  1.384732076847327E+07,
2444263.500000000, A.D. 1980-Jan-25 00:00:00.0000, -1.706511193687514E+09, -2.222258750228826E+09,  1.388511134258783E+07,
2444264.500000000, A.D. 1980-Jan-26 00:00:00.0000, -1.706072150414217E+09, -2.222629270797929E+09,  1.395844416966009E+07,
2444265.500000000, A.D. 1980-Jan-27 00:00:00.0000, -1.705693622290053E+09, -2.222998098480291E+09,  1.394663685393429E+07,
2444266.500000000, A.D. 1980-Jan-28 00:00:00.0000, -1.705250866198509E+09, -2.223391995604734E+09,  1.385627228663754E+07,
2444267.500000000, A.D. 1980-Jan-29 00:00:00.0000, -1.704714960980783E+09, -2.223800125134294E+09,  1.381132877581275E+07,
2444268.500000000, A.D. 1980-Jan-30 00:00:00.0000, -1.704196170909385E+09, -2.224190208920577E+09,  1.386794538994145E+07,
2444269.500000000, A.D. 1980-Jan-31 00:00:00.0000, -1.703779017905038E+09, -2.224556814626937E+09,  1.393036416268730E+07,
2444270.500000000, A.D. 1980-Feb-01 00:00:00.0000, -1.703395988156487E+09, -2.224929440432548E+09,  1.389422145991743E+07,
2444271.500000000, A.D. 1980-Feb-02 00:00:00.0000, -1.702928469001831E+09, -2.225328435949080E+09,  1.380244132871306E+07,
2444272.500000000, A.D. 1980-Feb-03 00:00:00.0000, -1.702383971405721E+09, -2.225734598788935E+09,  1.378112819667518E+07,
2444273.500000000, A.D. 1980-Feb-04 00:00:00.0000, -1.701885038350698E+09, -2.226117846034906E+09,  1.385107525614738E+07,
2444274.500000000, A.D. 1980-Feb-05 00:00:00.0000, -1.701485899208022E+09, -2.226482223813653E+09,  1.389661162711418E+07,
2444275.500000000, A.D. 1980-Feb-06 00:00:00.0000, -1.701091537658521E+09, -2.226859814548347E+09,  1.383860616908693E+07,
2444276.500000000, A.D. 1980-Feb-07 00:00:00.0000, -1.700599665741000E+09, -2.227262813005681E+09,  1.375263777852416E+07,
2444277.500000000, A.D. 1980-Feb-08 00:00:00.0000, -1.700053617512111E+09, -2.227665289645129E+09,  1.375611978585458E+07,
2444278.500000000, A.D. 1980-Feb-09 00:00:00.0000, -1.699577676172584E+09, -2.228041933640216E+09,  1.383272908544302E+07,
2444279.500000000, A.D. 1980-Feb-10 00:00:00.0000, -1.699191127851291E+09, -2.228405915672408E+09,  1.385682993328524E+07,
2444280.500000000, A.D. 1980-Feb-11 00:00:00.0000, -1.698779604237508E+09, -2.228789157160634E+09,  1.378130669478059E+07,
2444281.500000000, A.D. 1980-Feb-12 00:00:00.0000, -1.698265903130862E+09, -2.229194657184120E+09,  1.370793818117762E+07,
2444282.500000000, A.D. 1980-Feb-13 00:00:00.0000, -1.697725445610956E+09, -2.229591988645500E+09,  1.373534499256921E+07,
2444283.500000000, A.D. 1980-Feb-14 00:00:00.0000, -1.697273556245707E+09, -2.229962788623890E+09,  1.381145811949563E+07,
2444284.500000000, A.D. 1980-Feb-15 00:00:00.0000, -1.696892959512363E+09, -2.230328216411880E+09,  1.381143411318541E+07,
2444285.500000000, A.D. 1980-Feb-16 00:00:00.0000, -1.696459776390368E+09, -2.230717296082561E+09,  1.372420590066385E+07,
