JDTDB,Calendar Date (TDB),X,Y,Z,
2420955.500370370, A.D. 1916-Apr-02 00:00:32.0000,  2.213091219575479E+09, -2.001638077015039E+09, -3.898049150003397E+07,
2420956.500370370, A.D. 1916-Apr-03 00:00:32.0000,  2.213486310117264E+09, -2.001267686847401E+09, -3.899719964984596E+07,
2420957.500370370, A.D. 1916-Apr-04 00:00:32.0000,  2.213881249223730E+09, -2.000897285504549E+09, -3.901389372341287E+07,
2420958.500370370, A.D. 1916-Apr-05 00:00:32.0000,  2.214276036673288E+09, -2.000526873031827E+09, -3.903057362564349E+07,
2420959.500370370, A.D. 1916-Apr-06 00:00:32.0000,  2.214670672243211E+09, -2.000156449474720E+09, -3.904723926095295E+07,
2420960.500370370, A.D. 1916-Apr-07 00:00:32.0000,  2.215065155709626E+09, -1.999786014878854E+09, -3.906389053323507E+07,
2420961.500370370, A.D. 1916-Apr-08 00:00:32.0000,  2.215459486847562E+09, -1.999415569290048E+09, -3.908052734588194E+07,
2420962.500370370, A.D. 1916-Apr-09 00:00:32.0000,  2.215853665431014E+09, -1.999045112754355E+09, -3.909714960179555E+07,
2420963.500370370, A.D. 1916-Apr-10 00:00:32.0000,  2.216247691232992E+09, -1.998674645318084E+09, -3.911375720339561E+07,
2420964.500370370, A.D. 1916-Apr-11 00:00:32.0000,  2.216641564025586E+09, -1.998304167027823E+09, -3.913035005261815E+07,
2420965.500370370, A.D. 1916-Apr-12 00:00:32.0000,  2.217035283580042E+09, -1.997933677930439E+09, -3.914692805092275E+07,
2420966.500370370, A.D. 1916-Apr-13 00:00:32.0000,  2.217428849666852E+09, -1.997563178073071E+09, -3.916349109929299E+07,
2420967.500370370, A.D. 1916-Apr-14 00:00:32.0000,  2.217822262055840E+09, -1.997192667503097E+09, -3.918003909824002E+07,
2420968.500370370, A.D. 1916-Apr-15 00:00:32.0000,  2.218215520516276E+09, -1.996822146268086E+09, -3.919657194780338E+07,
2420969.500370370, A.D. 1916-Apr-16 00:00:32.0000,  2.218608624816960E+09, -1.996451614415715E+09, -3.921308954754865E+07,
2420970.500370370, A.D. 1916-Apr-17 00:00:32.0000,  2.219001574726325E+09, -1.996081071993652E+09, -3.922959179656339E+07,
2420971.500370370, A.D. 1916-Apr-18 00:00:32.0000,  2.219394370012501E+09, -1.995710519049419E+09, -3.924607859344721E+07,
2420972.500370370, A.D. 1916-Apr-19 00:00:32.0000,  2.219787010443372E+09, -1.995339955630219E+09, -3.926254983629930E+07,
2420973.500370370, A.D. 1916-Apr-20 00:00:32.0000,  2.220179495786571E+09, -1.994969381782739E+09, -3.927900542269778E+07,
2420974.500370370, A.D. 1916-Apr-21 00:00:32.0000,  2.220571825809454E+09, -1.994598797552950E+09, -3.929544524967623E+07,
2420975.500370370, A.D. 1916-Apr-22 00:00:32.0000,  2.220964000279002E+09, -1.994228202985900E+09, -3.931186921369421E+07,
2420976.500370370, A.D. 1916-Apr-23 00:00:32.0000,  2.221356018961681E+09, -1.993857598125527E+09, -3.932827721060538E+07,
2420977.500370370, A.D. 1916-Apr-24 00:00:32.0000,  2.221747881623250E+09, -1.993486983014512E+09, -3.934466913562298E+07,
2420978.500370370, A.D. 1916-Apr-25 00:00:32.0000,  2.222139588028541E+09, -1.993116357694172E+09, -3.936104488328671E+07,
2420979.500370370, A.D. 1916-Apr-26 00:00:32.0000,  2.222531137941201E+09, -1.992745722204413E+09, -3.937740434743166E+07,
2420980.500370370, A.D. 1916-Apr-27 00:00:32.0000,  2.222922531123455E+09, -1.992375076583746E+09, -3.939374742116308E+07,
2420981.500370370, A.D. 1916-Apr-28 00:00:32.0000,  2.223313767335858E+09, -1.992004420869362E+09, -3.941007399683583E+07,
2420982.500370370, A.D. 1916-Apr-29 00:00:32.0000,  2.223704846337102E+09, -1.991633755097249E+09, -3.942638396604133E+07,
2420983.500370370, A.D. 1916-Apr-30 00:00:32.0000,  2.224095767883842E+09, -1.991263079302350E+09, -3.944267721960187E+07,
2420984.500370370, A.D. 1916-May-01 00:00:32.0000,  2.224486531730588E+09, -1.990892393518748E+09, -3.945895364756942E+07,
2420985.500370370, A.D. 1916-May-02 00:00:32.0000,  2.224877137629629E+09, -1.990521697779843E+09, -3.947521313923085E+07,
2420986.500370370, A.D. 1916-May-03 00:00:32.0000,  2.225267585331012E+09, -1.990150992118539E+09, -3.949145558311582E+07,
2420987.500370370, A.D. 1916-May-04 00:00:32.0000,  2.225657874582548E+09, -1.989780276567403E+09, -3.950768086700690E+07,
2420988.500370370, A.D. 1916-May-05 00:00:32.0000,  2.226048005129853E+09, -1.989409551158815E+09, -3.952388887795007E+07,
2420989.500370370, A.D. 1916-May-06 00:00:32.0000,  2.226437976716406E+09, -1.989038815925077E+09, -3.954007950226736E+07,
2420990.500370370, A.D. 1916-May-07 00:00:32.0000,  2.226827789083619E+09, -1.988668070898518E+09, -3.955625262556458E+07,
2420991.500370370, A.D. 1916-May-08 00:00:32.0000,  2.227217441970911E+09, -1.988297316111555E+09, -3.957240813274062E+07,
2420992.500370370, A.D. 1916-May-09 00:00:32.0000,  2.227606935115787E+09, -1.987926551596745E+09, -3.958854590799534E+07,
2420993.500370370, A.D. 1916-May-10 00:00:32.0000,  2.227996268253906E+09, -1.987555777386821E+09, -3.960466583483279E+07,
2420994.500370370, A.D. 1916-May-11 00:00:32.0000,  2.228385441119157E+09, -1.987184993514703E+09, -3.962076779606605E+07,
2420995.500370370, A.D. 1916-May-12 00:00:32.0000,  2.228774453443707E+09, -1.986814200013508E+09, -3.963685167381775E+07,
2420996.500370370, A.D. 1916-May-13 00:00:32.0000,  2.229163304958010E+09, -1.986443396916500E+09, -3.965291734948039E+07,
