JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.674804859805964E+08,  9.684345373547479E+08, -6.990807774005497E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.668753681054695E+08,  9.690947270064368E+08, -6.993290144836682E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.662695923738081E+08,  9.697548625042045E+08, -6.995731851600558E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.656631581139433E+08,  9.704149415423455E+08, -6.998132793917406E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.650560646559378E+08,  9.710749618137571E+08, -7.000492871617949E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.644483113315510E+08,  9.717349210098785E+08, -7.002811984739023E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.638398974740971E+08,  9.723948168202603E+08, -7.005090033517313E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.632308224185516E+08,  9.730546469327273E+08, -7.007326918395495E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.626210855015954E+08,  9.737144090337064E+08, -7.009522540014225E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.620106860614572E+08,  9.743741008078374E+08, -7.011676799202567E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.613996234378837E+08,  9.750337199378949E+08, -7.013789596975279E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.607878969721104E+08,  9.756932641047093E+08, -7.015860834530020E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.601755060068302E+08,  9.763527309870868E+08, -7.017890413244653E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.595624498861643E+08,  9.770121182617278E+08, -7.019878234674525E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.589487279556305E+08,  9.776714236031473E+08, -7.021824200549692E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.583343395621126E+08,  9.783306446835918E+08, -7.023728212772238E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.577192840538294E+08,  9.789897791729581E+08, -7.025590173413527E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.571035607803035E+08,  9.796488247387102E+08, -7.027409984711504E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.564871690923294E+08,  9.803077790457960E+08, -7.029187549067932E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.558701083419428E+08,  9.809666397565646E+08, -7.030922769045764E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.552523778823876E+08,  9.816254045306808E+08, -7.032615547366327E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.546339770680851E+08,  9.822840710250421E+08, -7.034265786906701E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.540149052546014E+08,  9.829426368936929E+08, -7.035873390696990E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.533951617986156E+08,  9.836010997877396E+08, -7.037438261917609E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.527747460579000E+08,  9.842594573552624E+08, -7.038960303853202E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.521536573913122E+08,  9.849177072411143E+08, -7.040439419932181E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.515318951587325E+08,  9.855758470868995E+08, -7.041875513762140E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.509094587210311E+08,  9.862338745309312E+08, -7.043268489083427E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.502863474400431E+08,  9.868917872081259E+08, -7.044618249767655E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.496625606785452E+08,  9.875495827499007E+08, -7.045924699816215E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.490380978002305E+08,  9.882072587840635E+08, -7.047187743358630E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.484129581696846E+08,  9.888648129347076E+08, -7.048407284651232E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.477871411523615E+08,  9.895222428221034E+08, -7.049583228075504E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.471606461145604E+08,  9.901795460625857E+08, -7.050715478136748E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.465334724234029E+08,  9.908367202684445E+08, -7.051803939462548E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.459056194468110E+08,  9.914937630478097E+08, -7.052848516801369E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.452770865534865E+08,  9.921506720045370E+08, -7.053849115021157E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.446478731128924E+08,  9.928074447380893E+08, -7.054805639107972E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.440179784952352E+08,  9.934640788434185E+08, -7.055717994164652E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.433874020714512E+08,  9.941205719108430E+08, -7.056586085409546E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.427561432131954E+08,  9.947769215259241E+08, -7.057409818175232E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.421242012928351E+08,  9.954331252693404E+08, -7.058189097907358E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.414915756834922E+08,  9.960891807171611E+08, -7.058923830150050E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.408582657590437E+08,  9.967450854402829E+08, -7.059613920553988E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.402242708940748E+08,  9.974008370039752E+08, -7.060259274889499E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.395895904639336E+08,  9.980564329681740E+08, -7.060859799034274E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.389542238447704E+08,  9.987118708873447E+08, -7.061415398973161E+07,
