JDTDB,Calendar Date (TDB),X,Y,Z,
2447213.500092593, A.D. 1988-Feb-22 00:00:08.0000,  6.017502731749777E+08,  4.659126559695068E+08, -1.623857947277448E+07,
2447214.500092593, A.D. 1988-Feb-23 00:00:08.0000,  6.012135791835949E+08,  4.667829804702291E+08, -1.629443577708825E+07,
2447215.500092593, A.D. 1988-Feb-24 00:00:08.0000,  6.006753136998078E+08,  4.676508084129803E+08, -1.635019274435753E+07,
2447216.500092593, A.D. 1988-Feb-25 00:00:08.0000,  6.001354681487975E+08,  4.685161323940810E+08, -1.640584587091744E+07,
2447217.500092593, A.D. 1988-Feb-26 00:00:08.0000,  5.995940337991496E+08,  4.693789450293307E+08, -1.646139058962750E+07,
2447218.500092593, A.D. 1988-Feb-27 00:00:08.0000,  5.990510017618257E+08,  4.702392389450519E+08, -1.651682226775396E+07,
2447219.500092593, A.D. 1988-Feb-28 00:00:08.0000,  5.985063629854382E+08,  4.710970067899660E+08, -1.657213620707443E+07,
2447220.500092593, A.D. 1988-Feb-29 00:00:08.0000,  5.979601082554972E+08,  4.719522412309653E+08, -1.662732764215660E+07,
2447221.500092593, A.D. 1988-Mar-01 00:00:08.0000,  5.974122281903981E+08,  4.728049349568659E+08, -1.668239173950091E+07,
2447222.500092593, A.D. 1988-Mar-02 00:00:08.0000,  5.968627132393825E+08,  4.736550806825696E+08, -1.673732359676710E+07,
2447223.500092593, A.D. 1988-Mar-03 00:00:08.0000,  5.963115536810130E+08,  4.745026711508077E+08, -1.679211824169981E+07,
2447224.500092593, A.D. 1988-Mar-04 00:00:08.0000,  5.957587396205467E+08,  4.753476991343476E+08, -1.684677063107720E+07,
2447225.500092593, A.D. 1988-Mar-05 00:00:08.0000,  5.952042609874414E+08,  4.761901574390502E+08, -1.690127564976043E+07,
2447226.500092593, A.D. 1988-Mar-06 00:00:08.0000,  5.946481075335596E+08,  4.770300389061980E+08, -1.695562810964313E+07,
2447227.500092593, A.D. 1988-Mar-07 00:00:08.0000,  5.940902688307325E+08,  4.778673364141086E+08, -1.700982274845824E+07,
2447228.500092593, A.D. 1988-Mar-08 00:00:08.0000,  5.935307342672238E+08,  4.787020428807592E+08, -1.706385422867718E+07,
2447229.500092593, A.D. 1988-Mar-09 00:00:08.0000,  5.929694930449452E+08,  4.795341512678934E+08, -1.711771713663852E+07,
2447230.500092593, A.D. 1988-Mar-10 00:00:08.0000,  5.924065341782073E+08,  4.803636545846124E+08, -1.717140598164067E+07,
2447231.500092593, A.D. 1988-Mar-11 00:00:08.0000,  5.918418464909102E+08,  4.811905458893645E+08, -1.722491519470936E+07,
2447232.500092593, A.D. 1988-Mar-12 00:00:08.0000,  5.912754186125278E+08,  4.820148182936128E+08, -1.727823912756917E+07,
2447233.500092593, A.D. 1988-Mar-13 00:00:08.0000,  5.907072389809899E+08,  4.828364649678852E+08, -1.733137205229127E+07,
2447234.500092593, A.D. 1988-Mar-14 00:00:08.0000,  5.901372958328202E+08,  4.836554791392854E+08, -1.738430815892506E+07,
2447235.500092593, A.D. 1988-Mar-15 00:00:08.0000,  5.895655772077221E+08,  4.844718541024576E+08, -1.743704155619186E+07,
2447236.500092593, A.D. 1988-Mar-16 00:00:08.0000,  5.889920709410460E+08,  4.852855832126873E+08, -1.748956626805240E+07,
2447237.500092593, A.D. 1988-Mar-17 00:00:08.0000,  5.884167646640834E+08,  4.860966599002875E+08, -1.754187623503259E+07,
2447238.500092593, A.D. 1988-Mar-18 00:00:08.0000,  5.878396458001034E+08,  4.869050776677080E+08, -1.759396531169564E+07,
2447239.500092593, A.D. 1988-Mar-19 00:00:08.0000,  5.872607015615834E+08,  4.877108300967086E+08, -1.764582726624519E+07,
2447240.500092593, A.D. 1988-Mar-20 00:00:08.0000,  5.866799189494245E+08,  4.885139108537720E+08, -1.769745577989742E+07,
2447241.500092593, A.D. 1988-Mar-21 00:00:08.0000,  5.860972847511013E+08,  4.893143136924637E+08, -1.774884444553047E+07,
