JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.507979976161532E+08,  9.635454992647853E+08, -5.187795826735425E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.500704883479162E+08,  9.641757859677968E+08, -5.180942460880679E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.493428549886885E+08,  9.648064644724977E+08, -5.174102100666958E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.486151020624514E+08,  9.654375336518985E+08, -5.167275015190142E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.478872341040277E+08,  9.660689923592397E+08, -5.160461474151647E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.471592556590893E+08,  9.667008394280040E+08, -5.153661747858351E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.464311712898504E+08,  9.673330736596291E+08, -5.146876107507718E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.457029855706544E+08,  9.679656938344128E+08, -5.140104824979442E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.449747030829717E+08,  9.685986987210305E+08, -5.133348172589409E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.442463284208831E+08,  9.692320870638056E+08, -5.126606423361957E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.435178661910833E+08,  9.698658575827178E+08, -5.119879851029778E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.427893210128831E+08,  9.705000089734077E+08, -5.113168730033857E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.420606975182106E+08,  9.711345399071829E+08, -5.106473335523480E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.413320003516144E+08,  9.717694490310224E+08, -5.099793943356144E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.406032341702636E+08,  9.724047349675804E+08, -5.093130830097574E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.398744036439502E+08,  9.730403963151904E+08, -5.086484273021650E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.391455134550893E+08,  9.736764316478682E+08, -5.079854550110382E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.384165682987207E+08,  9.743128395153136E+08, -5.073241940053934E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.376875728825094E+08,  9.749496184429142E+08, -5.066646722250497E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.369585319267461E+08,  9.755867669317456E+08, -5.060069176806396E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.362294501643476E+08,  9.762242834585732E+08, -5.053509584535992E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.355003323408576E+08,  9.768621664758527E+08, -5.046968226961690E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.347711832144461E+08,  9.775004144117310E+08, -5.040445386313909E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.340420075559101E+08,  9.781390256700459E+08, -5.033941345531160E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.333128101514400E+08,  9.787779986128196E+08, -5.027456388449746E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.325835958008893E+08,  9.794173315761434E+08, -5.020990799689794E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.318543693153403E+08,  9.800570228838803E+08, -5.014544864479667E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.311251355196297E+08,  9.806970708294691E+08, -5.008118868825167E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.303958992523484E+08,  9.813374736759207E+08, -5.001713099509519E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.296666653658407E+08,  9.819782296558145E+08, -4.995327844093406E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.289374387262043E+08,  9.826193369712914E+08, -4.988963390914977E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.282082242132903E+08,  9.832607937940482E+08, -4.982620029090011E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.274790267207035E+08,  9.839025982653294E+08, -4.976298048511809E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.267498511558025E+08,  9.845447484959173E+08, -4.969997739851451E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.260207024397023E+08,  9.851872425661224E+08, -4.963719394557792E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.252915855072749E+08,  9.858300785257694E+08, -4.957463304857630E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.245625053071539E+08,  9.864732543941833E+08, -4.951229763755828E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.238334668017398E+08,  9.871167681601732E+08, -4.945019065035588E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.231044749672060E+08,  9.877606177820129E+08, -4.938831503258532E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.223755347935097E+08,  9.884048011874216E+08, -4.932667373765105E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.216466512844049E+08,  9.890493162735388E+08, -4.926526972674799E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.209178294574594E+08,  9.896941609069017E+08, -4.920410596886581E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.201890743445623E+08,  9.903393329033778E+08, -4.914318544161206E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.194603909926715E+08,  9.909848300460572E+08, -4.908251113107175E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.187317844629486E+08,  9.916306501005554E+08, -4.902208603079766E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.180032598307471E+08,  9.922767907941203E+08, -4.896191314234298E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.172748221856676E+08,  9.929232498156095E+08, -4.890199547526878E+07,
