JDTDB,Calendar Date (TDB),X,Y,Z,
2440797.500266204, A.D. 1970-Jul-30 00:00:23.0000,  9.460316765265807E+08,  9.801556499574403E+08, -5.028296076465863E+07,
2440798.500266204, A.D. 1970-Jul-31 00:00:23.0000,  9.454310373784366E+08,  9.809112450537940E+08, -5.029930038086820E+07,
2440799.500266204, A.D. 1970-Aug-01 00:00:23.0000,  9.448319983963128E+08,  9.816665598606725E+08, -5.031655158423191E+07,
2440800.500266204, A.D. 1970-Aug-02 00:00:23.0000,  9.442345829937571E+08,  9.824215617189631E+08, -5.033472295838875E+07,
2440801.500266204, A.D. 1970-Aug-03 00:00:23.0000,  9.436388143477399E+08,  9.831762168859705E+08, -5.035382289879084E+07,
2440802.500266204, A.D. 1970-Aug-04 00:00:23.0000,  9.430447153633959E+08,  9.839304905172075E+08, -5.037385959441823E+07,
2440803.500266204, A.D. 1970-Aug-05 00:00:23.0000,  9.424523086121172E+08,  9.846843466717184E+08, -5.039484099819386E+07,
2440804.500266204, A.D. 1970-Aug-06 00:00:23.0000,  9.418616163044753E+08,  9.854377482840228E+08, -5.041677481997848E+07,
2440805.500266204, A.D. 1970-Aug-07 00:00:23.0000,  9.412726602700112E+08,  9.861906571418809E+08, -5.043966851180351E+07,
2440806.500266204, A.D. 1970-Aug-08 00:00:23.0000,  9.406854618911655E+08,  9.869430338962432E+08, -5.046352923395544E+07,
2440807.500266204, A.D. 1970-Aug-09 00:00:23.0000,  9.401000420573914E+08,  9.876948380494299E+08, -5.048836383334845E+07,
2440808.500266204, A.D. 1970-Aug-10 00:00:23.0000,  9.395164211176209E+08,  9.884460279465482E+08, -5.051417882122451E+07,
2440809.500266204, A.D. 1970-Aug-11 00:00:23.0000,  9.389346188310826E+08,  9.891965607701523E+08, -5.054098035017991E+07,
2440810.500266204, A.D. 1970-Aug-12 00:00:23.0000,  9.383546543164741E+08,  9.899463925381415E+08, -5.056877419051933E+07,
2440811.500266204, A.D. 1970-Aug-13 00:00:23.0000,  9.377765459994862E+08,  9.906954781049016E+08, -5.059756570593667E+07,
2440812.500266204, A.D. 1970-Aug-14 00:00:23.0000,  9.372003115586809E+08,  9.914437711656847E+08, -5.062735982852346E+07,
2440813.500266204, A.D. 1970-Aug-15 00:00:23.0000,  9.366259678697217E+08,  9.921912242642312E+08, -5.065816103310341E+07,
2440814.500266204, A.D. 1970-Aug-16 00:00:23.0000,  9.360535309479576E+08,  9.929377888036315E+08, -5.068997331089479E+07,
2440815.500266204, A.D. 1970-Aug-17 00:00:23.0000,  9.354830158893608E+08,  9.936834150604286E+08, -5.072280014249939E+07,
2440816.500266204, A.D. 1970-Aug-18 00:00:23.0000,  9.349144368098155E+08,  9.944280522019622E+08, -5.075664447021931E+07,
2440817.500266204, A.D. 1970-Aug-19 00:00:23.0000,  9.343478067827616E+08,  9.951716483069524E+08, -5.079150866969937E+07,
2440818.500266204, A.D. 1970-Aug-20 00:00:23.0000,  9.337831377751912E+08,  9.959141503893244E+08, -5.082739452089822E+07,
2440819.500266204, A.D. 1970-Aug-21 00:00:23.0000,  9.332204405819975E+08,  9.966555044252750E+08, -5.086430317838514E+07,
2440820.500266204, A.D. 1970-Aug-22 00:00:23.0000,  9.326597247586781E+08,  9.973956553835781E+08, -5.090223514096510E+07,
2440821.500266204, A.D. 1970-Aug-23 00:00:23.0000,  9.321009985945380E+08,  9.981345472608302E+08, -5.094119025759661E+07,
2440822.500266204, A.D. 1970-Aug-24 00:00:23.0000,  9.315442690155163E+08,  9.988721231330453E+08, -5.098116767030740E+07,
2440823.500266204, A.D. 1970-Aug-25 00:00:23.0000,  9.309895415036191E+08,  9.996083251957804E+08, -5.102216576899952E+07,
2440824.500266204, A.D. 1970-Aug-26 00:00:23.0000,  9.304368200728577E+08,  1.000343094811726E+09, -5.106418220052612E+07,
2440825.500266204, A.D. 1970-Aug-27 00:00:23.0000,  9.298861072000920E+08,  1.001076372567631E+09, -5.110721383866519E+07,
2440826.500266204, A.D. 1970-Aug-28 00:00:23.0000,  9.293374037593552E+08,  1.001808098335679E+09, -5.115125675627208E+07,
2440827.500266204, A.D. 1970-Aug-29 00:00:23.0000,  9.287907089596608E+08,  1.002538211339327E+09, -5.119630619961274E+07,
2440828.500266204, A.D. 1970-Aug-30 00:00:23.0000,  9.282460202862911E+08,  1.003266650223588E+09, -5.124235656487727E+07,
2440829.500266204, A.D. 1970-Aug-31 00:00:23.0000,  9.277033334455671E+08,  1.003993353129781E+09, -5.128940137687230E+07,
2440830.500266204, A.D. 1970-Sep-01 00:00:23.0000,  9.271626423131012E+08,  1.004718257774727E+09, -5.133743326989508E+07,
2440831.500266204, A.D. 1970-Sep-02 00:00:23.0000,  9.266239388855315E+08,  1.005441301534402E+09, -5.138644397078651E+07,
2440832.500266204, A.D. 1970-Sep-03 00:00:23.0000,  9.260872132357389E+08,  1.006162421532047E+09, -5.143642428416544E+07,
2440833.500266204, A.D. 1970-Sep-04 00:00:23.0000,  9.255524534715468E+08,  1.006881554730724E+09, -5.148736407984143E+07,
2440834.500266204, A.D. 1970-Sep-05 00:00:23.0000,  9.250196456979041E+08,  1.007598638030339E+09, -5.153925228241026E+07,
2440835.500266204, A.D. 1970-Sep-06 00:00:23.0000,  9.244887739825525E+08,  1.008313608369109E+09, -5.159207686302727E+07,
2440836.500266204, A.D. 1970-Sep-07 00:00:23.0000,  9.239598203251760E+08,  1.009026402829485E+09, -5.164582483336294E+07,
2440837.500266204, A.D. 1970-Sep-08 00:00:23.0000,  9.234327646300381E+08,  1.009736958748532E+09, -5.170048224173754E+07,
2440838.500266204, A.D. 1970-Sep-09 00:00:23.0000,  9.229075846821027E+08,  1.010445213832759E+09, -5.175603417143738E+07,
2440839.500266204, A.D. 1970-Sep-10 00:00:23.0000,  9.223842561245379E+08,  1.011151106241195E+09, -5.181246472470266E+07,
2440840.500266204, A.D. 1970-Sep-11 00:00:23.0000,  9.218627524853138E+08,  1.011854574751336E+09, -5.186975704823416E+07,
2440841.500266204, A.D. 1970-Sep-12 00:00:23.0000,  9.213430451664405E+08,  1.012555558870650E+09, -5.192789335011637E+07,
2440842.500266204, A.D. 1970-Sep-13 00:00:23.0000,  9.208251034337919E+08,  1.013253998914206E+09, -5.198685489193392E+07,
2440843.500266204, A.D. 1970-Sep-14 00:00:23.0000,  9.203088944324152E+08,  1.013949836135859E+09, -5.204662200492489E+07,
2440844.500266204, A.D. 1970-Sep-15 00:00:23.0000,  9.197943832082609E+08,  1.014643012855689E+09, -5.210717410892916E+07,
2440845.500266204, A.D. 1970-Sep-16 00:00:23.0000,  9.192815327363331E+08,  1.015333472583690E+09, -5.216848973413241E+07,
2440846.500266204, A.D. 1970-Sep-17 00:00:23.0000,  9.187703039552605E+08,  1.016021160139729E+09, -5.223054654560602E+07,
2440847.500266204, A.D. 1970-Sep-18 00:00:23.0000,  9.182606558082870E+08,  1.016706021769760E+09, -5.229332137064183E+07,
2440848.500266204, A.D. 1970-Sep-19 00:00:23.0000,  9.177525452906792E+08,  1.017388005258317E+09, -5.235679022888172E+07,
2440849.500266204, A.D. 1970-Sep-20 00:00:23.0000,  9.172459275035496E+08,  1.018067060037269E+09, -5.242092836524063E+07,
2440850.500266204, A.D. 1970-Sep-21 00:00:23.0000,  9.167407557140856E+08,  1.018743137290861E+09, -5.248571028562278E+07,
2440851.500266204, A.D. 1970-Sep-22 00:00:23.0000,  9.162369814221827E+08,  1.019416190057032E+09, -5.255110979542994E+07,
2440852.500266204, A.D. 1970-Sep-23 00:00:23.0000,  9.157345544334673E+08,  1.020086173325010E+09, -5.261710004086131E+07,
2440853.500266204, A.D. 1970-Sep-24 00:00:23.0000,  9.152334229387032E+08,  1.020753044129191E+09, -5.268365355300307E+07,
2440854.500266204, A.D. 1970-Sep-25 00:00:23.0000,  9.147335335995680E+08,  1.021416761639285E+09, -5.275074229470891E+07,
2440855.500266204, A.D. 1970-Sep-26 00:00:23.0000,  9.142348316407945E+08,  1.022077287246728E+09, -5.281833771027017E+07,
2440856.500266204, A.D. 1970-Sep-27 00:00:23.0000,  9.137372609486673E+08,  1.022734584647341E+09, -5.288641077787614E+07,
2440857.500266204, A.D. 1970-Sep-28 00:00:23.0000,  9.132407641738276E+08,  1.023388619919285E+09, -5.295493205188179E+07,
